date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,31,25,0.0,11.5,7,31,10:31 AM,10:45 PM,07:01 AM,06:46 PM,24,33,33,28,14,15,79,0.6,1010,31,9,212,10,Benin
2009-01-02,32,25,0.0,11.5,7,38,11:11 AM,11:31 PM,07:01 AM,06:46 PM,24,34,34,29,12,6,77,0.0,1010,32,10,208,9,Benin
2009-01-03,32,24,0.0,11.5,7,45,11:51 AM,No moonset,07:01 AM,06:47 PM,24,34,34,29,10,5,77,0.0,1010,32,10,198,7,Benin
2009-01-04,33,24,0.0,11.5,7,52,12:33 PM,12:17 AM,07:02 AM,06:47 PM,24,34,34,29,9,8,77,0.0,1010,33,10,209,7,Benin
2009-01-05,32,24,0.0,11.5,7,60,01:18 PM,01:06 AM,07:02 AM,06:48 PM,24,32,32,28,12,12,78,0.3,1010,32,9,216,9,Benin
2009-01-06,32,25,0.0,11.5,7,67,02:09 PM,01:59 AM,07:03 AM,06:48 PM,24,33,33,29,15,7,77,0.0,1008,32,10,225,11,Benin
2009-01-07,33,25,0.0,11.5,7,74,03:05 PM,02:58 AM,07:03 AM,06:49 PM,24,33,33,29,17,10,78,0.0,1007,33,10,231,12,Benin
2009-01-08,30,26,0.0,11.5,7,82,04:07 PM,04:01 AM,07:03 AM,06:49 PM,24,33,33,28,21,13,80,0.3,1008,30,10,223,15,Benin
2009-01-09,31,26,0.0,11.5,7,89,05:14 PM,05:07 AM,07:04 AM,06:50 PM,24,32,32,28,21,31,77,2.1,1010,31,10,227,15,Benin
2009-01-10,30,26,0.0,11.5,7,96,06:21 PM,06:13 AM,07:04 AM,06:50 PM,24,32,32,28,17,40,79,3.1,1011,30,10,228,12,Benin
2009-01-11,31,25,0.0,11.5,7,100,07:26 PM,07:16 AM,07:04 AM,06:51 PM,24,33,33,28,18,12,79,1.0,1010,31,10,217,13,Benin
2009-01-12,29,26,0.0,11.5,7,89,08:26 PM,08:13 AM,07:05 AM,06:51 PM,24,32,32,28,17,25,83,2.4,1010,29,10,223,12,Benin
2009-01-13,32,25,0.0,11.5,7,82,09:22 PM,09:05 AM,07:05 AM,06:52 PM,25,33,33,28,11,20,82,1.2,1010,32,9,220,8,Benin
2009-01-14,32,25,0.0,11.5,7,75,10:13 PM,09:53 AM,07:05 AM,06:52 PM,25,34,34,29,12,13,81,0.4,1009,32,10,232,9,Benin
2009-01-15,33,25,0.0,11.5,7,68,11:02 PM,10:36 AM,07:05 AM,06:53 PM,24,33,33,29,16,7,78,0.0,1008,33,9,241,11,Benin
2009-01-16,31,25,0.0,11.5,7,60,11:50 PM,11:19 AM,07:06 AM,06:53 PM,24,32,32,28,22,12,80,0.0,1008,31,10,231,16,Benin
2009-01-17,31,26,0.0,11.5,7,53,No moonrise,12:01 PM,07:06 AM,06:54 PM,23,32,32,28,24,30,75,0.0,1009,31,10,238,17,Benin
2009-01-18,32,26,0.0,11.5,7,46,12:37 AM,12:43 PM,07:06 AM,06:54 PM,24,33,33,28,22,23,76,0.1,1009,32,10,227,16,Benin
2009-01-19,31,27,0.0,11.5,7,38,01:26 AM,01:28 PM,07:06 AM,06:54 PM,24,33,33,28,19,28,76,0.0,1010,31,10,223,14,Benin
2009-01-20,32,25,0.0,11.5,7,31,02:15 AM,02:14 PM,07:07 AM,06:55 PM,21,31,31,28,16,28,68,0.0,1010,32,10,231,11,Benin
2009-01-21,33,24,0.0,11.5,7,24,03:06 AM,03:03 PM,07:07 AM,06:55 PM,14,28,28,28,13,17,45,0.0,1009,33,10,266,8,Benin
2009-01-22,33,24,0.0,11.5,7,17,03:57 AM,03:53 PM,07:07 AM,06:56 PM,13,28,28,28,13,28,42,0.0,1010,33,10,225,8,Benin
2009-01-23,33,23,0.0,11.5,7,9,04:47 AM,04:44 PM,07:07 AM,06:56 PM,11,28,28,28,14,6,38,0.0,1011,33,10,151,9,Benin
2009-01-24,34,23,0.0,11.5,7,2,05:37 AM,05:35 PM,07:07 AM,06:56 PM,12,28,28,28,12,8,40,0.0,1011,34,10,269,8,Benin
2009-01-25,32,23,0.0,11.5,7,0,06:24 AM,06:24 PM,07:07 AM,06:57 PM,20,31,31,28,12,5,63,0.0,1010,32,10,217,8,Benin
2009-01-26,33,24,0.0,11.5,7,0,07:09 AM,07:13 PM,07:07 AM,06:57 PM,23,32,32,29,11,5,75,0.0,1010,33,10,216,9,Benin
2009-01-27,32,24,0.0,11.5,7,5,07:51 AM,07:59 PM,07:08 AM,06:57 PM,23,32,32,28,15,12,76,0.0,1011,32,9,236,11,Benin
2009-01-28,32,25,0.0,11.5,7,12,08:31 AM,08:44 PM,07:08 AM,06:58 PM,24,33,33,28,16,11,79,0.0,1010,32,9,222,12,Benin
2009-01-29,31,25,0.0,11.5,7,20,09:11 AM,09:30 PM,07:08 AM,06:58 PM,24,32,32,28,16,17,81,1.4,1010,31,9,219,11,Benin
2009-01-30,30,25,0.0,11.5,7,27,09:51 AM,10:15 PM,07:08 AM,06:58 PM,24,31,31,27,17,37,82,2.7,1010,30,9,202,12,Benin
2009-01-31,31,24,0.0,11.5,7,31,10:32 AM,11:03 PM,07:08 AM,06:59 PM,24,32,32,28,13,11,78,0.0,1009,31,9,196,9,Benin
2009-02-01,31,25,0.0,11.5,7,43,11:15 AM,11:53 PM,07:08 AM,06:59 PM,24,32,32,28,18,22,79,1.6,1009,31,10,211,13,Benin
2009-02-02,31,25,0.0,11.5,7,50,12:02 PM,No moonset,07:08 AM,06:59 PM,24,33,33,28,17,18,79,1.0,1010,31,10,222,12,Benin
2009-02-03,32,26,0.0,11.5,7,58,12:54 PM,12:47 AM,07:08 AM,06:59 PM,24,33,33,29,16,16,79,0.8,1010,32,10,222,12,Benin
2009-02-04,31,26,0.0,11.6,7,66,01:52 PM,01:47 AM,07:08 AM,07:00 PM,24,33,33,28,17,15,80,1.0,1010,31,10,217,12,Benin
2009-02-05,31,26,0.0,11.6,7,73,02:54 PM,02:49 AM,07:08 AM,07:00 PM,25,33,33,28,17,20,82,1.0,1009,31,10,227,12,Benin
2009-02-06,31,26,0.0,11.6,7,81,04:00 PM,03:53 AM,07:07 AM,07:00 PM,25,33,33,28,21,18,82,1.2,1010,31,10,224,15,Benin
2009-02-07,32,26,0.0,11.6,7,88,05:04 PM,04:56 AM,07:07 AM,07:00 PM,25,34,34,29,22,22,80,0.7,1010,32,10,225,16,Benin
2009-02-08,31,27,0.0,11.6,7,96,06:06 PM,05:55 AM,07:07 AM,07:00 PM,24,33,33,28,21,30,79,1.7,1010,31,10,223,15,Benin
2009-02-09,30,27,0.0,11.6,6,100,07:04 PM,06:49 AM,07:07 AM,07:01 PM,24,33,33,28,18,24,78,1.4,1010,30,10,226,13,Benin
2009-02-10,31,26,0.0,11.6,7,89,07:58 PM,07:40 AM,07:07 AM,07:01 PM,25,33,33,28,15,23,81,2.3,1011,31,10,218,10,Benin
2009-02-11,30,26,0.0,11.6,7,82,08:50 PM,08:26 AM,07:07 AM,07:01 PM,25,33,33,28,15,19,80,0.6,1009,30,10,217,11,Benin
2009-02-12,32,26,0.0,11.6,7,74,09:40 PM,09:10 AM,07:07 AM,07:01 PM,25,33,33,29,17,8,79,0.6,1008,32,10,221,13,Benin
2009-02-13,31,26,0.0,11.6,7,67,10:28 PM,09:54 AM,07:07 AM,07:01 PM,25,33,33,28,16,16,80,1.3,1007,31,10,218,12,Benin
2009-02-14,30,26,0.0,11.6,7,59,11:18 PM,10:37 AM,07:06 AM,07:01 PM,24,33,33,28,18,22,80,1.6,1007,30,10,224,13,Benin
2009-02-15,29,27,0.0,11.6,7,51,No moonrise,11:22 AM,07:06 AM,07:01 PM,25,33,33,28,13,25,83,0.1,1008,29,10,215,10,Benin
