date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,31,26,0.0,8.7,7,31,09:43 AM,09:58 PM,06:10 AM,05:59 PM,24,32,32,28,20,15,81,0.0,1010,31,10,214,14,Ghana
2009-01-02,30,26,0.0,8.7,7,38,10:22 AM,10:42 PM,06:11 AM,05:59 PM,24,31,31,28,19,14,79,0.0,1011,30,10,200,14,Ghana
2009-01-03,30,26,0.0,11.6,7,45,11:03 AM,11:28 PM,06:11 AM,06:00 PM,23,31,31,27,13,22,79,0.5,1011,30,10,186,9,Ghana
2009-01-04,29,26,0.0,11.6,7,52,11:45 AM,No moonset,06:11 AM,06:00 PM,24,31,31,27,16,17,80,0.0,1010,29,10,196,11,Ghana
2009-01-05,29,26,0.0,11.6,7,60,12:31 PM,12:17 AM,06:12 AM,06:01 PM,23,31,31,27,18,11,79,0.2,1010,29,10,221,13,Ghana
2009-01-06,31,26,0.0,11.6,7,67,01:22 PM,01:10 AM,06:12 AM,06:01 PM,24,32,32,28,21,9,79,0.1,1009,31,10,225,15,Ghana
2009-01-07,31,26,0.0,11.6,7,74,02:18 PM,02:08 AM,06:13 AM,06:02 PM,24,32,32,28,22,12,79,0.0,1007,31,10,227,16,Ghana
2009-01-08,29,27,0.0,11.6,7,82,03:21 PM,03:11 AM,06:13 AM,06:02 PM,24,32,32,28,27,19,81,0.1,1008,29,10,219,19,Ghana
2009-01-09,30,26,0.0,11.6,7,89,04:28 PM,04:17 AM,06:13 AM,06:03 PM,23,31,31,28,25,28,77,0.0,1011,30,10,229,17,Ghana
2009-01-10,30,27,0.0,11.6,7,96,05:35 PM,05:23 AM,06:14 AM,06:03 PM,23,31,31,28,20,32,73,0.0,1012,30,10,236,14,Ghana
2009-01-11,31,26,0.0,11.6,7,100,06:39 PM,06:26 AM,06:14 AM,06:04 PM,23,32,32,28,24,16,77,0.0,1010,31,10,225,17,Ghana
2009-01-12,30,26,0.0,11.6,7,89,07:39 PM,07:24 AM,06:14 AM,06:04 PM,24,32,32,28,24,13,79,0.3,1010,30,10,220,17,Ghana
2009-01-13,30,26,0.0,11.6,7,82,08:34 PM,08:16 AM,06:15 AM,06:05 PM,24,32,32,28,18,23,81,0.0,1010,30,10,211,13,Ghana
2009-01-14,29,26,0.0,11.6,7,75,09:26 PM,09:04 AM,06:15 AM,06:05 PM,24,32,32,28,15,27,82,0.6,1009,29,10,210,10,Ghana
2009-01-15,31,26,0.0,11.6,7,68,10:14 PM,09:48 AM,06:15 AM,06:05 PM,24,33,33,28,18,7,80,0.0,1009,31,10,225,13,Ghana
2009-01-16,30,26,0.0,11.6,7,60,11:01 PM,10:31 AM,06:15 AM,06:06 PM,24,32,32,28,27,9,78,0.0,1009,30,10,230,19,Ghana
2009-01-17,30,26,0.0,10.2,7,53,11:48 PM,11:14 AM,06:16 AM,06:06 PM,23,32,32,28,30,39,77,0.0,1009,30,10,236,21,Ghana
2009-01-18,31,27,0.0,11.6,7,46,No moonrise,11:57 AM,06:16 AM,06:07 PM,24,32,32,28,28,37,77,0.3,1010,31,10,231,20,Ghana
2009-01-19,31,27,0.0,11.6,7,38,12:36 AM,12:41 PM,06:16 AM,06:07 PM,23,32,32,28,21,40,72,0.0,1011,31,10,238,15,Ghana
2009-01-20,32,26,0.0,11.6,7,31,01:25 AM,01:28 PM,06:16 AM,06:07 PM,20,30,30,28,17,47,61,0.0,1010,32,10,255,10,Ghana
2009-01-21,32,26,0.0,11.6,7,24,02:15 AM,02:16 PM,06:16 AM,06:08 PM,15,28,28,28,18,25,47,0.0,1010,32,10,206,11,Ghana
2009-01-22,31,25,0.0,11.6,7,17,03:06 AM,03:07 PM,06:17 AM,06:08 PM,15,28,28,28,14,15,47,0.0,1010,31,10,175,9,Ghana
2009-01-23,31,24,0.0,11.6,7,9,03:57 AM,03:58 PM,06:17 AM,06:08 PM,13,28,28,27,16,11,43,0.0,1011,31,10,181,11,Ghana
2009-01-24,31,24,0.0,11.6,7,2,04:47 AM,04:48 PM,06:17 AM,06:09 PM,15,28,28,27,16,10,48,0.0,1011,31,10,248,11,Ghana
2009-01-25,30,25,0.0,11.6,7,0,05:34 AM,05:38 PM,06:17 AM,06:09 PM,19,29,29,27,15,10,62,0.0,1011,30,10,223,10,Ghana
2009-01-26,30,25,0.0,11.6,7,0,06:19 AM,06:25 PM,06:17 AM,06:09 PM,21,29,29,27,18,10,69,0.0,1011,30,10,219,13,Ghana
2009-01-27,31,25,0.0,11.6,7,5,07:02 AM,07:12 PM,06:17 AM,06:10 PM,23,30,30,27,23,5,77,0.0,1011,31,10,224,16,Ghana
2009-01-28,30,25,0.0,11.6,7,12,07:43 AM,07:56 PM,06:17 AM,06:10 PM,23,31,31,27,22,8,80,0.0,1010,30,10,218,15,Ghana
2009-01-29,30,26,0.0,11.6,7,20,08:23 AM,08:41 PM,06:17 AM,06:10 PM,24,31,31,27,22,13,81,0.0,1010,30,10,215,16,Ghana
2009-01-30,29,26,0.0,11.6,7,27,09:03 AM,09:27 PM,06:18 AM,06:11 PM,24,31,31,27,22,20,81,0.2,1010,29,10,203,16,Ghana
2009-01-31,30,26,0.0,11.6,7,31,09:44 AM,10:13 PM,06:18 AM,06:11 PM,23,31,31,27,20,17,78,0.0,1009,30,10,199,14,Ghana
2009-02-01,30,26,0.0,11.6,7,43,10:28 AM,11:04 PM,06:18 AM,06:11 PM,23,31,31,27,23,13,78,0.0,1009,30,10,213,16,Ghana
2009-02-02,30,26,0.0,11.6,7,50,11:16 AM,11:58 PM,06:18 AM,06:11 PM,24,32,32,28,24,15,78,0.0,1010,30,10,218,17,Ghana
2009-02-03,31,26,0.0,11.6,7,58,12:08 PM,No moonset,06:18 AM,06:12 PM,24,32,32,28,22,14,79,0.0,1010,31,10,219,15,Ghana
2009-02-04,30,26,0.0,11.6,7,66,01:06 PM,12:56 AM,06:18 AM,06:12 PM,24,32,32,28,22,13,79,0.2,1010,30,10,211,16,Ghana
2009-02-05,31,26,0.0,11.6,7,73,02:08 PM,01:59 AM,06:18 AM,06:12 PM,24,32,32,28,24,14,78,0.0,1010,31,10,223,17,Ghana
2009-02-06,30,27,0.0,11.6,7,81,03:13 PM,03:03 AM,06:17 AM,06:12 PM,24,33,33,28,25,17,80,0.5,1010,30,10,221,18,Ghana
2009-02-07,31,27,0.0,11.6,7,88,04:18 PM,04:06 AM,06:17 AM,06:12 PM,24,33,33,28,28,22,78,0.1,1010,31,10,227,20,Ghana
2009-02-08,30,27,0.0,11.6,7,96,05:19 PM,05:06 AM,06:17 AM,06:12 PM,24,32,32,28,25,36,79,1.3,1010,30,10,220,18,Ghana
2009-02-09,29,27,0.0,10.2,7,100,06:16 PM,06:00 AM,06:17 AM,06:13 PM,24,31,31,28,20,25,80,0.3,1011,29,10,226,14,Ghana
2009-02-10,30,26,0.0,11.6,7,89,07:11 PM,06:50 AM,06:17 AM,06:13 PM,24,32,32,28,20,14,80,0.3,1011,30,10,209,14,Ghana
2009-02-11,30,26,0.0,11.6,7,82,08:01 PM,07:38 AM,06:17 AM,06:13 PM,24,32,32,28,19,13,82,0.8,1010,30,10,209,13,Ghana
2009-02-12,30,26,0.0,11.6,7,74,08:50 PM,08:22 AM,06:17 AM,06:13 PM,24,32,32,28,21,13,82,0.8,1008,30,10,223,15,Ghana
2009-02-13,29,27,0.0,11.6,7,67,09:39 PM,09:06 AM,06:17 AM,06:13 PM,24,32,32,28,21,17,82,0.0,1008,29,10,218,15,Ghana
2009-02-14,29,26,0.0,11.6,7,59,10:28 PM,09:50 AM,06:17 AM,06:13 PM,24,32,32,28,25,18,82,1.5,1008,29,10,227,17,Ghana
2009-02-15,30,26,0.0,11.6,7,51,11:18 PM,10:35 AM,06:16 AM,06:13 PM,24,32,32,28,22,19,81,0.4,1008,30,10,221,15,Ghana
2009-02-16,30,26,0.0,11.6,7,44,No moonrise,11:22 AM,06:16 AM,06:13 PM,23,31,31,28,24,16,77,0.0,1008,30,10,226,17,Ghana
2009-02-17,30,26,0.0,10.2,7,36,12:08 AM,12:10 PM,06:16 AM,06:13 PM,23,31,31,28,20,32,77,1.0,1009,30,10,220,14,Ghana
2009-02-18,29,26,0.0,10.2,7,29,01:00 AM,01:01 PM,06:16 AM,06:13 PM,23,31,31,28,17,39,77,0.3,1008,29,10,242,11,Ghana
2009-02-19,29,26,0.0,11.6,7,21,01:51 AM,01:52 PM,06:16 AM,06:14 PM,23,31,31,27,21,24,79,1.6,1008,29,10,237,15,Ghana
2009-02-20,30,26,0.0,11.6,7,14,02:41 AM,02:42 PM,06:15 AM,06:14 PM,23,31,31,28,25,16,78,0.0,1008,30,10,231,18,Ghana
2009-02-21,30,26,0.0,11.6,7,6,03:29 AM,03:32 PM,06:15 AM,06:14 PM,24,32,32,28,25,12,77,0.0,1009,30,10,225,18,Ghana
2009-02-22,31,27,0.0,11.6,7,0,04:15 AM,04:20 PM,06:15 AM,06:14 PM,24,32,32,28,24,17,78,0.0,1008,31,10,226,17,Ghana
2009-02-23,30,27,0.0,11.6,7,0,04:59 AM,05:07 PM,06:14 AM,06:14 PM,24,33,33,28,26,14,79,0.4,1007,30,10,216,18,Ghana
2009-02-24,29,27,0.0,11.6,7,0,05:41 AM,05:53 PM,06:14 AM,06:14 PM,24,32,32,28,22,12,81,1.2,1008,29,10,213,16,Ghana
2009-02-25,30,27,0.0,11.6,7,1,06:21 AM,06:38 PM,06:14 AM,06:14 PM,24,32,32,28,21,15,82,0.6,1008,30,10,220,15,Ghana
2009-02-26,30,27,0.0,11.6,7,9,07:02 AM,07:24 PM,06:14 AM,06:14 PM,24,32,32,28,20,41,79,0.0,1009,30,10,222,14,Ghana
2009-02-27,31,27,0.0,11.6,7,16,07:44 AM,08:11 PM,06:13 AM,06:14 PM,24,33,33,28,22,23,77,0.0,1009,31,10,218,16,Ghana
2009-02-28,30,27,0.0,11.6,7,24,08:27 AM,09:01 PM,06:13 AM,06:14 PM,24,33,33,28,22,17,79,0.2,1009,30,10,215,16,Ghana
2009-03-01,31,27,0.0,11.6,7,30,09:14 AM,09:54 PM,06:13 AM,06:13 PM,24,33,33,28,22,27,78,0.5,1010,31,10,216,16,Ghana
2009-03-02,30,27,0.0,11.6,7,37,10:04 AM,10:51 PM,06:12 AM,06:13 PM,24,33,33,28,17,11,80,0.6,1010,30,10,198,12,Ghana
2009-03-03,30,27,0.0,11.6,7,45,11:00 AM,11:51 PM,06:12 AM,06:13 PM,24,33,33,28,18,15,78,0.1,1009,30,10,193,13,Ghana
2009-03-04,31,27,0.0,11.6,7,52,11:59 AM,No moonset,06:12 AM,06:13 PM,24,33,33,29,23,9,78,0.0,1009,31,10,209,16,Ghana
2009-03-05,31,27,0.0,11.6,7,59,01:01 PM,12:52 AM,06:11 AM,06:13 PM,24,34,34,29,24,15,77,0.0,1009,31,10,204,17,Ghana
2009-03-06,31,27,0.0,11.6,7,67,02:04 PM,01:54 AM,06:11 AM,06:13 PM,25,34,34,29,23,14,78,0.0,1009,31,10,215,17,Ghana
2009-03-07,31,27,0.0,11.6,7,74,03:05 PM,02:53 AM,06:10 AM,06:13 PM,25,34,34,29,25,16,79,0.7,1008,31,10,211,18,Ghana
2009-03-08,31,27,0.0,11.6,7,81,04:02 PM,03:48 AM,06:10 AM,06:13 PM,25,34,34,29,19,15,81,0.0,1008,31,10,225,14,Ghana
2009-03-09,30,27,0.0,11.6,7,88,04:56 PM,04:39 AM,06:10 AM,06:13 PM,25,33,33,28,24,13,80,1.2,1009,30,10,209,17,Ghana
2009-03-10,31,27,0.0,11.6,7,96,05:48 PM,05:27 AM,06:09 AM,06:13 PM,25,33,33,29,22,20,79,0.0,1009,31,10,200,16,Ghana
2009-03-11,31,27,0.0,11.6,7,100,06:38 PM,06:12 AM,06:09 AM,06:13 PM,24,33,33,29,19,13,78,0.7,1008,31,10,213,13,Ghana
2009-03-12,31,27,0.0,11.6,7,90,07:28 PM,06:56 AM,06:08 AM,06:13 PM,24,33,33,29,21,26,78,0.0,1008,31,10,224,15,Ghana
2009-03-13,31,27,0.0,11.6,7,83,08:17 PM,07:41 AM,06:08 AM,06:12 PM,24,33,33,29,21,20,78,1.3,1009,31,10,219,15,Ghana
2009-03-14,31,27,0.0,11.6,7,75,09:07 PM,08:26 AM,06:08 AM,06:12 PM,24,33,33,29,24,21,77,0.7,1009,31,10,225,17,Ghana
2009-03-15,30,27,0.0,11.6,6,68,09:58 PM,09:13 AM,06:07 AM,06:12 PM,24,33,33,28,25,26,78,1.0,1010,30,10,233,17,Ghana
2009-03-16,30,27,0.0,11.6,7,61,10:50 PM,10:02 AM,06:07 AM,06:12 PM,24,33,33,28,29,21,79,0.5,1009,30,10,226,21,Ghana
2009-03-17,31,27,0.0,11.6,7,53,11:42 PM,10:52 AM,06:06 AM,06:12 PM,23,32,32,29,24,5,73,0.0,1009,31,10,230,18,Ghana
2009-03-18,31,27,0.0,11.6,7,46,No moonrise,11:43 AM,06:06 AM,06:12 PM,24,33,33,29,27,11,74,0.0,1009,31,10,221,19,Ghana
2009-03-19,30,27,0.0,11.6,7,39,12:33 AM,12:34 PM,06:05 AM,06:12 PM,23,32,32,28,23,20,74,0.2,1010,30,10,233,17,Ghana
2009-03-20,31,26,0.0,11.6,7,32,01:22 AM,01:25 PM,06:05 AM,06:11 PM,23,32,32,29,24,23,73,0.0,1010,31,10,233,17,Ghana
2009-03-21,32,27,0.0,11.6,7,24,02:08 AM,02:13 PM,06:05 AM,06:11 PM,24,33,33,29,24,23,76,0.0,1009,32,10,216,17,Ghana
2009-03-22,31,27,0.0,11.6,7,17,02:53 AM,03:00 PM,06:04 AM,06:11 PM,24,34,34,29,23,15,78,0.4,1009,31,10,196,17,Ghana
2009-03-23,31,27,0.0,11.6,7,10,03:36 AM,03:46 PM,06:04 AM,06:11 PM,24,33,33,29,22,10,76,0.0,1008,31,10,207,16,Ghana
2009-03-24,31,27,0.0,11.6,7,3,04:16 AM,04:32 PM,06:03 AM,06:11 PM,24,33,33,29,22,11,76,0.0,1007,31,10,207,17,Ghana
2009-03-25,31,27,0.0,11.6,7,0,04:58 AM,05:18 PM,06:03 AM,06:11 PM,25,34,34,29,21,13,78,0.0,1006,31,10,206,15,Ghana
2009-03-26,30,27,0.0,11.6,7,0,05:40 AM,06:05 PM,06:02 AM,06:11 PM,25,34,34,29,21,18,78,0.0,1007,30,10,202,16,Ghana
2009-03-27,31,27,0.0,11.6,7,5,06:23 AM,06:55 PM,06:02 AM,06:10 PM,24,33,33,29,23,20,76,0.0,1007,31,10,221,16,Ghana
2009-03-28,32,27,0.0,11.6,7,12,07:10 AM,07:48 PM,06:01 AM,06:10 PM,24,34,34,29,28,18,75,0.0,1007,32,10,223,20,Ghana
2009-03-29,32,27,0.0,11.6,6,19,08:00 AM,08:45 PM,06:01 AM,06:10 PM,24,34,34,29,23,27,76,0.6,1007,32,10,222,17,Ghana
2009-03-30,31,27,0.0,11.6,7,26,08:55 AM,09:45 PM,06:01 AM,06:10 PM,25,34,34,29,26,14,78,0.6,1007,31,10,229,18,Ghana
2009-03-31,31,27,0.0,12.1,7,30,09:54 AM,10:47 PM,06:00 AM,06:10 PM,24,33,33,29,30,21,78,1.4,1008,31,10,228,21,Ghana
2009-04-01,31,27,0.0,12.1,7,42,10:56 AM,11:49 PM,06:00 AM,06:10 PM,24,33,33,28,30,24,78,0.9,1008,31,10,231,22,Ghana
2009-04-02,31,27,0.0,12.5,7,50,11:58 AM,No moonset,05:59 AM,06:10 PM,24,32,32,28,26,25,77,0.7,1009,31,10,237,18,Ghana
2009-04-03,31,27,0.0,12.5,7,58,12:58 PM,12:47 AM,05:59 AM,06:09 PM,24,33,33,29,26,12,77,1.5,1009,31,10,220,18,Ghana
2009-04-04,30,27,0.0,12.5,7,65,01:55 PM,01:42 AM,05:58 AM,06:09 PM,24,33,33,28,26,9,79,0.7,1009,30,10,223,18,Ghana
2009-04-05,30,26,0.0,12.5,7,73,02:48 PM,02:32 AM,05:58 AM,06:09 PM,24,32,32,28,20,7,77,0.0,1010,30,10,209,15,Ghana
2009-04-06,31,27,0.0,12.5,7,80,03:40 PM,03:20 AM,05:57 AM,06:09 PM,24,32,32,28,20,11,77,0.0,1010,31,10,201,15,Ghana
2009-04-07,30,27,0.0,12.5,7,88,04:29 PM,04:05 AM,05:57 AM,06:09 PM,24,33,33,28,24,15,79,0.0,1010,30,10,222,17,Ghana
2009-04-08,31,27,0.0,12.5,7,95,05:18 PM,04:49 AM,05:57 AM,06:09 PM,24,32,32,28,23,22,76,0.0,1011,31,10,235,16,Ghana
2009-04-09,31,27,0.0,12.5,7,100,06:07 PM,05:33 AM,05:56 AM,06:09 PM,24,32,32,28,22,19,76,0.0,1010,31,10,225,15,Ghana
2009-04-10,30,28,0.0,12.5,7,90,06:57 PM,06:17 AM,05:56 AM,06:09 PM,24,33,33,29,26,22,76,0.0,1009,30,10,218,18,Ghana
2009-04-11,31,27,0.0,12.5,7,82,07:48 PM,07:04 AM,05:55 AM,06:08 PM,24,33,33,28,22,9,76,0.0,1010,31,10,203,16,Ghana
2009-04-12,31,27,0.0,12.5,7,75,08:40 PM,07:53 AM,05:55 AM,06:08 PM,24,32,32,28,22,14,76,0.0,1010,31,10,224,16,Ghana
2009-04-13,29,26,0.0,12.5,7,67,09:33 PM,08:43 AM,05:55 AM,06:08 PM,24,32,32,28,17,36,81,3.1,1010,29,10,197,12,Ghana
2009-04-14,30,26,0.0,11.8,6,59,10:24 PM,09:34 AM,05:54 AM,06:08 PM,23,31,31,28,12,36,78,0.1,1011,30,10,231,8,Ghana
2009-04-15,31,26,0.0,12.5,7,52,11:14 PM,10:25 AM,05:54 AM,06:08 PM,23,32,32,28,20,18,76,0.0,1012,31,10,230,13,Ghana
2009-04-16,30,27,0.0,12.6,7,44,No moonrise,11:16 AM,05:53 AM,06:08 PM,24,32,32,28,22,30,80,0.4,1012,30,9,210,15,Ghana
2009-04-17,30,27,0.0,12.6,7,37,12:02 AM,12:05 PM,05:53 AM,06:08 PM,24,32,32,28,25,31,77,0.0,1011,30,10,212,17,Ghana
2009-04-18,30,26,0.0,12.6,7,29,12:46 AM,12:52 PM,05:53 AM,06:08 PM,24,32,32,28,21,16,78,0.0,1010,30,10,190,15,Ghana
2009-04-19,30,27,0.0,12.6,7,22,01:29 AM,01:39 PM,05:52 AM,06:08 PM,24,32,32,28,16,17,79,0.0,1010,30,10,172,12,Ghana
2009-04-20,31,26,0.0,12.6,7,14,02:10 AM,02:23 PM,05:52 AM,06:08 PM,24,32,32,28,14,8,76,0.0,1011,31,10,184,10,Ghana
2009-04-21,31,26,0.0,12.6,7,7,02:51 AM,03:09 PM,05:52 AM,06:08 PM,24,32,32,28,22,14,77,0.0,1010,31,10,207,15,Ghana
