date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,36,22,0.0,11.6,7,100,07:15 PM,07:05 AM,06:32 AM,06:17 PM,20,30,30,28,7,17,65,0.5,1011,36,9,190,5,Cote_d'Ivoire
2010-01-02,36,22,0.0,11.6,7,85,08:16 PM,08:04 AM,06:33 AM,06:17 PM,20,31,31,29,9,13,63,0.8,1011,36,9,173,6,Cote_d'Ivoire
2010-01-03,37,23,0.0,11.6,7,77,09:14 PM,08:57 AM,06:33 AM,06:18 PM,19,31,31,29,7,11,61,0.0,1010,37,9,197,4,Cote_d'Ivoire
2010-01-04,37,21,0.0,11.6,7,70,10:09 PM,09:47 AM,06:34 AM,06:18 PM,18,30,30,29,7,18,60,0.0,1011,37,9,178,4,Cote_d'Ivoire
2010-01-05,37,22,0.0,11.6,7,63,11:01 PM,10:34 AM,06:34 AM,06:19 PM,18,30,30,28,7,14,60,0.0,1010,37,9,146,4,Cote_d'Ivoire
2010-01-06,37,23,0.0,10.2,7,56,11:52 PM,11:20 AM,06:34 AM,06:19 PM,19,30,30,29,8,26,61,0.0,1010,37,10,220,5,Cote_d'Ivoire
2010-01-07,38,23,0.0,11.6,7,48,No moonrise,12:04 PM,06:35 AM,06:20 PM,19,32,32,30,9,22,57,0.0,1010,38,10,199,6,Cote_d'Ivoire
2010-01-08,38,23,0.0,11.6,7,41,12:43 AM,12:50 PM,06:35 AM,06:20 PM,19,32,32,30,9,10,58,0.0,1010,38,10,186,6,Cote_d'Ivoire
2010-01-09,38,23,0.0,11.6,7,34,01:35 AM,01:38 PM,06:35 AM,06:21 PM,20,32,32,30,9,13,60,0.0,1009,38,9,197,6,Cote_d'Ivoire
2010-01-10,37,23,0.0,11.6,7,27,02:27 AM,02:27 PM,06:36 AM,06:21 PM,19,31,31,30,9,22,59,0.0,1009,37,10,202,6,Cote_d'Ivoire
2010-01-11,37,25,0.0,11.6,7,19,03:21 AM,03:19 PM,06:36 AM,06:22 PM,18,31,31,30,9,17,55,0.0,1011,37,10,195,6,Cote_d'Ivoire
2010-01-12,37,23,0.0,11.6,7,12,04:13 AM,04:11 PM,06:36 AM,06:22 PM,16,29,29,29,9,5,55,0.0,1011,37,10,195,6,Cote_d'Ivoire
2010-01-13,38,22,0.0,11.6,7,5,05:05 AM,05:02 PM,06:37 AM,06:23 PM,17,29,29,28,9,3,57,0.0,1011,38,10,221,6,Cote_d'Ivoire
2010-01-14,37,22,0.0,11.6,7,0,05:54 AM,05:53 PM,06:37 AM,06:23 PM,18,30,30,29,10,10,59,0.0,1011,37,9,216,6,Cote_d'Ivoire
2010-01-15,38,22,0.0,11.6,7,0,06:40 AM,06:41 PM,06:37 AM,06:23 PM,19,31,31,29,9,7,59,0.0,1012,38,9,183,5,Cote_d'Ivoire
2010-01-16,37,23,0.0,11.6,7,2,07:24 AM,07:28 PM,06:38 AM,06:24 PM,19,31,31,30,10,12,59,0.0,1012,37,10,196,7,Cote_d'Ivoire
2010-01-17,38,23,0.0,11.6,7,10,08:04 AM,08:12 PM,06:38 AM,06:24 PM,18,31,31,30,9,10,55,0.0,1013,38,10,164,5,Cote_d'Ivoire
2010-01-18,37,21,0.0,11.6,7,17,08:43 AM,08:55 PM,06:38 AM,06:25 PM,18,30,30,29,7,16,57,0.0,1012,37,9,158,4,Cote_d'Ivoire
2010-01-19,36,22,0.0,11.6,7,24,09:21 AM,09:38 PM,06:38 AM,06:25 PM,18,30,30,29,8,22,59,0.0,1012,36,9,157,5,Cote_d'Ivoire
2010-01-20,37,21,0.0,11.6,7,31,09:58 AM,10:21 PM,06:38 AM,06:26 PM,16,30,30,29,7,2,51,0.0,1011,37,10,161,4,Cote_d'Ivoire
2010-01-21,37,21,0.0,11.6,7,39,10:36 AM,11:06 PM,06:39 AM,06:26 PM,16,30,30,29,8,5,54,0.0,1011,37,9,188,4,Cote_d'Ivoire
2010-01-22,38,21,0.0,11.6,7,46,11:17 AM,11:53 PM,06:39 AM,06:26 PM,16,30,30,29,8,14,53,0.0,1010,38,9,142,5,Cote_d'Ivoire
2010-01-23,37,21,0.0,11.6,7,53,12:01 PM,No moonset,06:39 AM,06:27 PM,17,30,30,29,9,6,53,0.0,1010,37,10,172,6,Cote_d'Ivoire
2010-01-24,38,22,0.0,11.6,7,60,12:50 PM,12:44 AM,06:39 AM,06:27 PM,19,31,31,30,8,17,58,0.0,1009,38,10,190,5,Cote_d'Ivoire
2010-01-25,39,24,0.0,11.6,8,68,01:44 PM,01:40 AM,06:39 AM,06:27 PM,19,32,32,30,9,14,58,0.1,1008,39,10,192,6,Cote_d'Ivoire
2010-01-26,39,24,0.0,11.6,7,75,02:43 PM,02:38 AM,06:39 AM,06:28 PM,20,32,32,30,9,17,61,2.0,1008,39,10,190,6,Cote_d'Ivoire
2010-01-27,33,24,0.0,10.2,7,82,03:46 PM,03:41 AM,06:39 AM,06:28 PM,22,31,31,28,12,44,73,1.5,1009,33,10,199,8,Cote_d'Ivoire
2010-01-28,38,23,0.0,11.6,7,90,04:51 PM,04:43 AM,06:39 AM,06:28 PM,21,31,31,29,10,28,66,0.0,1010,38,10,176,7,Cote_d'Ivoire
2010-01-29,38,23,0.0,11.6,7,97,05:55 PM,05:44 AM,06:39 AM,06:29 PM,19,32,32,30,10,15,59,0.0,1009,38,10,166,6,Cote_d'Ivoire
2010-01-30,37,23,0.0,11.6,7,100,06:56 PM,06:40 AM,06:39 AM,06:29 PM,18,31,31,30,10,3,55,0.0,1009,37,10,173,6,Cote_d'Ivoire
2010-01-31,37,22,0.0,11.6,7,100,07:54 PM,07:34 AM,06:39 AM,06:29 PM,17,31,31,29,11,5,56,0.0,1009,37,9,178,7,Cote_d'Ivoire
2010-02-01,39,22,0.0,11.6,7,77,08:49 PM,08:23 AM,06:39 AM,06:30 PM,19,32,32,30,9,9,58,0.0,1010,39,10,200,6,Cote_d'Ivoire
2010-02-02,39,23,0.0,11.6,7,69,09:43 PM,09:12 AM,06:39 AM,06:30 PM,18,31,31,30,8,11,56,0.0,1011,39,10,233,5,Cote_d'Ivoire
2010-02-03,39,23,0.0,11.6,8,62,10:35 PM,09:58 AM,06:39 AM,06:30 PM,18,32,32,30,11,17,55,0.0,1010,39,9,177,6,Cote_d'Ivoire
2010-02-04,38,23,0.0,11.6,8,54,11:29 PM,10:46 AM,06:39 AM,06:30 PM,20,32,32,30,11,15,59,0.0,1010,38,10,171,7,Cote_d'Ivoire
2010-02-05,38,24,0.0,11.6,8,47,No moonrise,11:34 AM,06:39 AM,06:31 PM,19,32,32,30,10,10,56,0.0,1010,38,10,153,7,Cote_d'Ivoire
2010-02-06,38,23,0.0,11.6,7,39,12:22 AM,12:24 PM,06:39 AM,06:31 PM,14,31,31,30,10,1,49,0.0,1008,38,9,150,6,Cote_d'Ivoire
2010-02-07,39,21,0.0,11.6,7,32,01:16 AM,01:15 PM,06:39 AM,06:31 PM,14,30,30,29,9,6,46,0.0,1009,39,10,189,5,Cote_d'Ivoire
2010-02-08,38,23,0.0,11.6,7,24,02:09 AM,02:07 PM,06:39 AM,06:31 PM,17,30,30,30,9,13,54,0.0,1008,38,9,156,6,Cote_d'Ivoire
2010-02-09,38,23,0.0,11.6,7,16,03:01 AM,02:59 PM,06:39 AM,06:31 PM,19,32,32,30,9,20,58,0.1,1008,38,10,192,7,Cote_d'Ivoire
2010-02-10,35,23,0.0,11.6,7,9,03:51 AM,03:49 PM,06:39 AM,06:32 PM,21,31,31,28,11,27,67,1.0,1009,35,10,205,8,Cote_d'Ivoire
2010-02-11,35,23,0.0,10.2,7,1,04:38 AM,04:38 PM,06:39 AM,06:32 PM,23,31,31,28,10,33,77,5.4,1008,35,10,190,6,Cote_d'Ivoire
2010-02-12,30,24,0.0,8.8,7,0,05:22 AM,05:25 PM,06:38 AM,06:32 PM,23,29,29,26,12,44,86,10.0,1009,30,9,185,8,Cote_d'Ivoire
2010-02-13,30,23,0.0,11.6,7,0,06:03 AM,06:10 PM,06:38 AM,06:32 PM,23,30,30,26,9,40,84,2.3,1011,30,7,222,6,Cote_d'Ivoire
2010-02-14,33,24,0.0,11.6,6,0,06:43 AM,06:54 PM,06:38 AM,06:32 PM,24,31,31,27,7,35,82,5.2,1011,33,6,257,4,Cote_d'Ivoire
