date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,35,16,0.0,11.6,6,100,07:17 PM,07:27 AM,06:54 AM,06:17 PM,-5,23,23,23,15,0,16,0.0,1012,35,10,66,9,Mali
2010-01-02,35,16,0.0,11.6,6,85,08:20 PM,08:23 AM,06:54 AM,06:18 PM,-6,23,23,24,15,4,14,0.0,1012,35,10,53,9,Mali
2010-01-03,35,16,0.0,11.6,6,77,09:21 PM,09:15 AM,06:54 AM,06:18 PM,-6,23,23,24,16,1,14,0.0,1013,35,10,54,9,Mali
2010-01-04,35,16,0.0,11.6,6,70,10:18 PM,10:01 AM,06:55 AM,06:19 PM,-8,23,23,23,16,0,12,0.0,1012,35,10,53,9,Mali
2010-01-05,36,15,0.0,11.6,6,63,11:14 PM,10:45 AM,06:55 AM,06:20 PM,-5,23,23,23,13,0,16,0.0,1011,36,10,57,7,Mali
2010-01-06,37,14,0.0,11.6,6,56,No moonrise,11:28 AM,06:55 AM,06:20 PM,-4,23,23,23,10,0,20,0.0,1011,37,10,58,6,Mali
2010-01-07,38,15,0.0,11.6,6,48,12:07 AM,12:10 PM,06:56 AM,06:21 PM,-4,23,23,23,10,1,19,0.0,1011,38,10,47,6,Mali
2010-01-08,36,16,0.0,11.6,6,41,01:01 AM,12:54 PM,06:56 AM,06:21 PM,-7,23,23,24,15,0,13,0.0,1012,36,10,28,8,Mali
2010-01-09,35,16,0.0,11.6,6,34,01:55 AM,01:40 PM,06:56 AM,06:22 PM,-6,23,23,24,17,3,14,0.0,1011,35,10,32,10,Mali
2010-01-10,35,15,0.0,11.6,6,27,02:49 AM,02:27 PM,06:56 AM,06:22 PM,-2,23,23,23,17,10,20,0.0,1011,35,10,36,10,Mali
2010-01-11,34,18,0.0,10.2,6,19,03:44 AM,03:18 PM,06:57 AM,06:23 PM,-3,24,24,24,19,64,18,0.0,1013,34,10,36,11,Mali
2010-01-12,31,18,0.0,7.3,5,12,04:36 AM,04:10 PM,06:57 AM,06:23 PM,-3,22,22,23,18,75,18,0.0,1014,31,10,107,10,Mali
2010-01-13,35,17,0.0,11.6,6,5,05:28 AM,05:02 PM,06:57 AM,06:24 PM,-4,23,23,24,17,16,16,0.0,1013,35,10,31,10,Mali
2010-01-14,37,16,0.0,11.6,6,0,06:16 AM,05:54 PM,06:57 AM,06:25 PM,-5,23,23,24,15,2,15,0.0,1013,37,10,41,9,Mali
2010-01-15,37,16,0.0,11.6,6,0,07:01 AM,06:44 PM,06:58 AM,06:25 PM,-7,24,24,24,15,0,13,0.0,1013,37,10,30,8,Mali
2010-01-16,37,16,0.0,11.6,6,2,07:42 AM,07:32 PM,06:58 AM,06:26 PM,-9,24,24,24,15,0,11,0.0,1014,37,10,50,9,Mali
2010-01-17,35,18,0.0,11.6,6,10,08:21 AM,08:19 PM,06:58 AM,06:26 PM,-8,24,24,24,19,0,11,0.0,1015,35,10,51,11,Mali
2010-01-18,35,16,0.0,11.6,6,17,08:57 AM,09:04 PM,06:58 AM,06:27 PM,-11,23,23,24,18,0,10,0.0,1014,35,10,52,11,Mali
2010-01-19,35,16,0.0,11.6,6,24,09:33 AM,09:49 PM,06:58 AM,06:27 PM,-7,23,23,24,17,20,13,0.0,1014,35,10,59,10,Mali
2010-01-20,34,16,0.0,11.6,6,31,10:08 AM,10:35 PM,06:58 AM,06:28 PM,-9,23,23,24,18,19,12,0.0,1013,34,10,58,11,Mali
2010-01-21,35,15,0.0,11.6,6,39,10:44 AM,11:22 PM,06:58 AM,06:28 PM,-9,23,23,23,16,3,12,0.0,1013,35,10,55,10,Mali
2010-01-22,36,17,0.0,11.6,6,46,11:23 AM,No moonset,06:58 AM,06:29 PM,-8,23,23,24,16,15,12,0.0,1012,36,10,59,9,Mali
2010-01-23,36,16,0.0,11.6,6,53,12:05 PM,12:11 AM,06:58 AM,06:29 PM,-8,24,24,24,15,4,12,0.0,1011,36,10,65,8,Mali
2010-01-24,36,16,0.0,10.2,6,60,12:51 PM,01:04 AM,06:58 AM,06:30 PM,-9,24,24,25,15,23,11,0.0,1010,36,10,43,9,Mali
2010-01-25,36,17,0.0,11.6,7,68,01:44 PM,02:01 AM,06:58 AM,06:30 PM,-9,25,25,25,16,18,10,0.0,1010,36,10,30,9,Mali
2010-01-26,34,20,0.0,11.6,7,75,02:42 PM,03:02 AM,06:58 AM,06:31 PM,-8,24,24,25,13,12,11,0.0,1010,34,10,28,8,Mali
2010-01-27,37,17,0.0,11.6,7,82,03:46 PM,04:04 AM,06:58 AM,06:31 PM,-6,24,24,25,13,22,13,0.0,1010,37,10,83,7,Mali
2010-01-28,39,20,0.0,11.6,7,90,04:52 PM,05:06 AM,06:58 AM,06:32 PM,-4,26,26,27,11,31,14,0.0,1010,39,10,77,6,Mali
2010-01-29,33,21,0.0,8.7,7,97,05:58 PM,06:04 AM,06:58 AM,06:32 PM,-4,24,24,25,13,42,14,0.0,1011,33,10,67,7,Mali
2010-01-30,38,21,0.0,11.6,7,100,07:01 PM,06:59 AM,06:58 AM,06:32 PM,-4,27,27,28,16,14,13,0.0,1009,38,10,72,10,Mali
2010-01-31,38,21,0.0,11.6,7,100,08:02 PM,07:49 AM,06:58 AM,06:33 PM,-5,27,27,28,20,7,11,0.0,1011,38,10,74,12,Mali
2010-02-01,37,22,0.0,11.6,7,77,09:00 PM,08:36 AM,06:58 AM,06:33 PM,-4,27,27,28,21,7,13,0.0,1012,37,10,62,13,Mali
2010-02-02,37,19,0.0,11.6,7,69,09:57 PM,09:21 AM,06:58 AM,06:34 PM,-5,26,26,27,20,8,12,0.0,1013,37,10,61,12,Mali
2010-02-03,39,19,0.0,11.6,7,62,10:52 PM,10:05 AM,06:58 AM,06:34 PM,-1,27,27,28,17,1,16,0.0,1011,39,10,65,10,Mali
2010-02-04,39,19,0.0,11.6,7,54,11:48 PM,10:50 AM,06:57 AM,06:34 PM,-3,27,27,28,18,7,14,0.0,1011,39,10,62,11,Mali
2010-02-05,39,21,0.0,8.7,6,47,No moonrise,11:37 AM,06:57 AM,06:35 PM,-3,28,28,29,19,38,14,0.0,1011,39,10,62,12,Mali
2010-02-06,37,23,0.0,11.6,7,39,12:43 AM,12:24 PM,06:57 AM,06:35 PM,-2,27,27,29,23,7,14,0.0,1011,37,10,51,14,Mali
2010-02-07,35,19,0.0,11.6,7,32,01:39 AM,01:15 PM,06:57 AM,06:36 PM,-3,25,25,26,18,4,15,0.0,1011,35,10,47,11,Mali
2010-02-08,36,18,0.0,10.2,7,24,02:32 AM,02:06 PM,06:56 AM,06:36 PM,-4,25,25,25,15,29,15,0.0,1010,36,10,58,9,Mali
2010-02-09,38,14,0.0,11.6,7,16,03:25 AM,02:58 PM,06:56 AM,06:36 PM,-4,25,25,26,11,6,16,0.0,1009,38,10,66,6,Mali
2010-02-10,39,15,0.0,10.2,6,9,04:13 AM,03:50 PM,06:56 AM,06:37 PM,-3,25,25,25,8,26,19,0.0,1009,39,10,90,4,Mali
2010-02-11,37,19,0.0,11.6,7,1,04:59 AM,04:40 PM,06:56 AM,06:37 PM,-5,25,25,25,14,12,14,0.0,1008,37,10,173,8,Mali
2010-02-12,38,15,0.0,11.6,7,0,05:42 AM,05:29 PM,06:55 AM,06:37 PM,-4,25,25,26,13,8,17,0.0,1008,38,10,104,7,Mali
2010-02-13,41,17,0.0,10.2,7,0,06:21 AM,06:16 PM,06:55 AM,06:37 PM,3,27,27,28,8,26,22,0.0,1009,41,10,221,5,Mali
2010-02-14,38,21,0.0,11.6,7,0,06:58 AM,07:02 PM,06:55 AM,06:38 PM,7,29,29,29,15,14,36,0.0,1010,38,10,266,9,Mali
2010-02-15,39,17,0.0,11.6,7,6,07:34 AM,07:47 PM,06:54 AM,06:38 PM,1,27,27,28,10,18,18,0.0,1010,39,10,309,6,Mali
2010-02-16,40,22,0.0,11.6,7,13,08:09 AM,08:33 PM,06:54 AM,06:38 PM,4,29,29,29,11,5,21,0.0,1010,40,10,114,6,Mali
2010-02-17,39,21,0.0,11.6,7,21,08:45 AM,09:19 PM,06:53 AM,06:39 PM,3,28,28,29,11,2,21,0.0,1009,39,10,95,7,Mali
2010-02-18,41,26,0.0,11.6,8,29,09:23 AM,10:07 PM,06:53 AM,06:39 PM,4,30,30,32,11,11,18,0.0,1010,41,10,87,6,Mali
2010-02-19,40,21,0.0,10.2,8,36,10:03 AM,10:58 PM,06:53 AM,06:39 PM,4,29,29,30,16,32,20,0.0,1010,40,10,191,10,Mali
2010-02-20,41,23,0.0,11.6,8,44,10:47 AM,11:52 PM,06:52 AM,06:39 PM,5,30,30,31,16,10,21,0.0,1010,41,10,30,10,Mali
2010-02-21,41,22,0.0,11.6,8,51,11:36 AM,No moonset,06:52 AM,06:39 PM,2,30,30,31,16,0,18,0.0,1009,41,10,45,9,Mali
2010-02-22,41,21,0.0,11.6,8,59,12:29 PM,12:49 AM,06:51 AM,06:40 PM,-0,30,30,30,18,0,16,0.0,1008,41,10,47,11,Mali
