date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,37,19,0.0,11.0,7,100,07:41 PM,08:10 AM,07:36 AM,06:39 PM,-0,25,25,26,20,17,19,0.0,1012,37,10,50,11,Mauritania
2010-01-02,37,18,0.0,11.0,7,85,08:47 PM,09:04 AM,07:36 AM,06:40 PM,-1,26,26,26,17,2,18,0.0,1013,37,10,141,9,Mauritania
2010-01-03,36,17,0.0,11.1,6,77,09:50 PM,09:53 AM,07:36 AM,06:41 PM,-1,25,25,25,21,8,20,0.0,1014,36,10,122,12,Mauritania
2010-01-04,34,19,0.0,10.1,6,70,10:50 PM,10:37 AM,07:37 AM,06:41 PM,-4,24,24,25,23,40,16,0.0,1015,34,10,78,14,Mauritania
2010-01-05,34,21,0.0,11.1,7,63,11:48 PM,11:18 AM,07:37 AM,06:42 PM,-3,25,25,26,26,9,16,0.0,1014,34,10,28,16,Mauritania
2010-01-06,33,17,0.0,11.1,6,56,No moonrise,11:58 AM,07:37 AM,06:43 PM,3,23,23,23,23,26,27,0.0,1013,33,10,68,13,Mauritania
2010-01-07,32,17,0.0,11.1,6,48,12:44 AM,12:38 PM,07:37 AM,06:43 PM,7,23,23,23,23,4,38,0.0,1014,32,10,142,13,Mauritania
2010-01-08,32,17,0.0,11.1,6,41,01:41 AM,01:20 PM,07:38 AM,06:44 PM,9,23,23,23,26,0,44,0.0,1014,32,10,146,16,Mauritania
2010-01-09,32,18,0.0,11.1,6,34,02:36 AM,02:03 PM,07:38 AM,06:44 PM,8,23,23,23,27,4,40,0.0,1014,32,10,35,17,Mauritania
2010-01-10,29,18,0.0,11.1,6,27,03:33 AM,02:50 PM,07:38 AM,06:45 PM,3,22,22,23,25,16,28,0.0,1015,29,10,45,16,Mauritania
2010-01-11,33,19,0.0,11.1,6,19,04:28 AM,03:40 PM,07:38 AM,06:46 PM,-1,23,23,24,28,7,20,0.0,1016,33,10,50,18,Mauritania
2010-01-12,33,18,0.0,11.1,6,12,05:22 AM,04:31 PM,07:38 AM,06:46 PM,-3,23,23,24,29,18,16,0.0,1017,33,10,58,18,Mauritania
2010-01-13,34,18,0.0,11.1,6,5,06:12 AM,05:24 PM,07:39 AM,06:47 PM,-1,23,23,24,30,1,20,0.0,1016,34,10,59,18,Mauritania
2010-01-14,35,16,0.0,11.1,6,0,07:00 AM,06:17 PM,07:39 AM,06:48 PM,-5,24,24,24,25,0,15,0.0,1015,35,10,59,14,Mauritania
2010-01-15,35,18,0.0,11.1,6,0,07:43 AM,07:09 PM,07:39 AM,06:48 PM,2,25,25,25,21,0,24,0.0,1015,35,10,55,13,Mauritania
2010-01-16,36,18,0.0,11.1,7,2,08:22 AM,07:59 PM,07:39 AM,06:49 PM,3,25,25,26,19,0,26,0.0,1015,36,10,59,11,Mauritania
