date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,23,13,0.0,12.5,5,100,07:01 PM,06:22 AM,05:56 AM,06:10 PM,17,19,20,19,7,52,88,7.8,1013,23,6,129,5,Rwanda
2010-01-02,22,16,0.0,12.5,5,85,08:00 PM,07:25 AM,05:57 AM,06:11 PM,17,19,20,19,9,48,86,4.4,1014,22,9,227,6,Rwanda
2010-01-03,24,15,0.0,12.5,5,77,08:54 PM,08:22 AM,05:57 AM,06:11 PM,16,20,20,20,12,17,79,0.1,1013,24,10,178,7,Rwanda
2010-01-04,24,15,0.0,12.5,5,70,09:45 PM,09:17 AM,05:58 AM,06:12 PM,16,19,20,19,12,25,83,2.4,1013,24,9,115,8,Rwanda
2010-01-05,25,14,0.0,12.5,5,63,10:33 PM,10:08 AM,05:58 AM,06:12 PM,16,19,20,19,9,53,85,3.7,1013,25,5,61,6,Rwanda
2010-01-06,25,14,0.0,12.5,5,56,11:21 PM,10:57 AM,05:59 AM,06:12 PM,17,19,20,19,12,35,86,7.9,1012,25,6,123,8,Rwanda
2010-01-07,25,15,0.0,12.5,5,48,No moonrise,11:46 AM,05:59 AM,06:13 PM,17,20,21,20,11,46,83,0.7,1012,25,8,95,7,Rwanda
2010-01-08,24,16,0.0,12.1,5,41,12:08 AM,12:35 PM,06:00 AM,06:13 PM,17,20,20,20,12,39,84,2.0,1012,24,9,161,8,Rwanda
2010-01-09,23,15,0.0,12.1,5,34,12:56 AM,01:26 PM,06:00 AM,06:14 PM,17,20,20,20,10,38,85,0.1,1013,23,8,174,6,Rwanda
2010-01-10,24,15,0.0,12.1,5,27,01:46 AM,02:17 PM,06:00 AM,06:14 PM,17,20,21,20,8,49,84,2.3,1013,24,6,144,5,Rwanda
2010-01-11,25,16,0.0,11.6,5,19,02:37 AM,03:10 PM,06:01 AM,06:14 PM,17,20,21,20,8,47,85,5.0,1013,25,6,140,5,Rwanda
2010-01-12,20,16,0.0,11.6,4,12,03:29 AM,04:02 PM,06:01 AM,06:15 PM,17,18,18,18,6,55,93,10.0,1013,20,5,190,4,Rwanda
2010-01-13,24,15,0.0,11.6,5,5,04:21 AM,04:53 PM,06:02 AM,06:15 PM,17,19,20,19,7,41,85,1.2,1014,24,8,182,5,Rwanda
2010-01-14,23,15,0.0,11.6,4,0,05:12 AM,05:42 PM,06:02 AM,06:15 PM,16,19,20,19,10,36,86,1.9,1014,23,6,144,7,Rwanda
2010-01-15,23,15,0.0,11.6,4,0,06:00 AM,06:28 PM,06:02 AM,06:16 PM,16,19,20,19,8,21,84,1.5,1014,23,8,169,6,Rwanda
2010-01-16,23,13,0.0,11.6,5,2,06:46 AM,07:12 PM,06:03 AM,06:16 PM,16,18,19,18,9,20,85,2.7,1015,23,7,151,7,Rwanda
2010-01-17,25,14,0.0,11.6,5,10,07:30 AM,07:54 PM,06:03 AM,06:16 PM,15,20,20,20,12,16,79,0.3,1016,25,8,141,8,Rwanda
2010-01-18,25,13,0.0,11.6,5,17,08:12 AM,08:33 PM,06:04 AM,06:16 PM,16,20,20,20,11,19,80,1.0,1014,25,8,161,7,Rwanda
2010-01-19,24,14,0.0,11.6,5,24,08:53 AM,09:13 PM,06:04 AM,06:17 PM,16,20,20,20,12,22,81,0.8,1014,24,9,134,8,Rwanda
2010-01-20,24,15,0.0,11.6,5,31,09:35 AM,09:53 PM,06:04 AM,06:17 PM,16,19,20,19,10,20,82,1.1,1013,24,8,160,7,Rwanda
2010-01-21,24,14,0.0,11.6,5,39,10:16 AM,10:33 PM,06:05 AM,06:17 PM,16,19,20,19,9,21,81,0.6,1014,24,9,164,6,Rwanda
2010-01-22,24,14,0.0,11.6,5,46,11:00 AM,11:18 PM,06:05 AM,06:17 PM,16,19,20,19,9,24,82,3.6,1014,24,9,181,6,Rwanda
2010-01-23,24,15,0.0,11.6,4,53,11:47 AM,No moonset,06:05 AM,06:18 PM,16,19,20,19,13,27,82,1.5,1013,24,8,166,8,Rwanda
2010-01-24,24,15,0.0,11.6,5,60,12:38 PM,12:05 AM,06:05 AM,06:18 PM,16,20,20,20,10,19,81,1.5,1011,24,9,142,7,Rwanda
2010-01-25,25,14,0.0,11.6,5,68,01:34 PM,12:57 AM,06:06 AM,06:18 PM,16,20,20,20,11,21,81,1.0,1011,25,9,123,7,Rwanda
2010-01-26,26,14,0.0,11.6,5,75,02:33 PM,01:54 AM,06:06 AM,06:18 PM,15,21,21,21,13,17,74,0.2,1011,26,9,115,9,Rwanda
2010-01-27,27,14,0.0,11.6,6,82,03:36 PM,02:55 AM,06:06 AM,06:18 PM,15,21,21,21,16,10,70,0.0,1011,27,10,129,11,Rwanda
2010-01-28,27,15,0.0,11.6,5,90,04:39 PM,03:59 AM,06:06 AM,06:19 PM,14,21,21,21,16,9,67,0.0,1012,27,10,127,11,Rwanda
2010-01-29,28,14,0.0,11.6,6,97,05:40 PM,05:02 AM,06:07 AM,06:19 PM,13,21,22,21,15,10,64,0.0,1012,28,10,138,10,Rwanda
2010-01-30,28,15,0.0,11.6,6,100,06:37 PM,06:03 AM,06:07 AM,06:19 PM,13,22,22,22,13,8,62,0.0,1013,28,10,145,9,Rwanda
2010-01-31,28,14,0.0,11.6,6,100,07:31 PM,07:01 AM,06:07 AM,06:19 PM,14,21,22,21,13,7,65,0.0,1013,28,10,148,8,Rwanda
2010-02-01,28,14,0.0,11.6,6,77,08:22 PM,07:55 AM,06:07 AM,06:19 PM,14,22,22,22,13,12,63,0.0,1012,28,10,131,8,Rwanda
2010-02-02,30,15,0.0,11.6,6,69,09:12 PM,08:47 AM,06:07 AM,06:19 PM,14,24,24,23,13,11,61,0.0,1011,30,10,143,9,Rwanda
2010-02-03,28,16,0.0,11.6,6,62,10:01 PM,09:38 AM,06:08 AM,06:19 PM,16,22,23,22,14,19,69,0.3,1011,28,10,143,9,Rwanda
2010-02-04,23,16,0.0,11.6,5,54,10:51 PM,10:29 AM,06:08 AM,06:19 PM,17,20,20,20,5,39,85,3.8,1013,23,9,225,2,Rwanda
2010-02-05,20,16,0.0,8.8,5,47,11:42 PM,11:21 AM,06:08 AM,06:19 PM,17,18,18,18,9,54,91,4.4,1013,20,9,215,6,Rwanda
2010-02-06,21,15,0.0,11.6,5,39,No moonrise,12:13 PM,06:08 AM,06:19 PM,15,18,19,18,9,27,82,1.0,1013,21,10,202,6,Rwanda
