date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,31,23,0.0,11.2,7,100,07:53 PM,08:10 AM,07:35 AM,06:52 PM,13,27,27,27,28,7,44,0.0,1011,31,10,150,14,Senegal
2010-01-02,31,23,0.0,11.2,7,85,08:57 PM,09:05 AM,07:36 AM,06:52 PM,15,28,28,27,20,5,50,0.0,1012,31,10,161,11,Senegal
2010-01-03,30,25,0.0,10.1,7,77,09:59 PM,09:55 AM,07:36 AM,06:53 PM,14,27,27,27,28,29,45,0.0,1013,30,10,19,15,Senegal
2010-01-04,29,25,0.0,11.2,7,70,10:57 PM,10:41 AM,07:36 AM,06:53 PM,13,26,26,26,37,46,43,0.0,1013,29,10,68,21,Senegal
2010-01-05,30,23,0.0,11.2,7,63,11:53 PM,11:24 AM,07:37 AM,06:54 PM,12,26,26,26,36,14,43,0.0,1012,30,10,109,21,Senegal
2010-01-06,30,23,0.0,11.2,7,56,No moonrise,12:06 PM,07:37 AM,06:55 PM,13,26,26,25,35,21,49,0.0,1012,30,10,60,21,Senegal
2010-01-07,29,23,0.0,11.2,6,48,12:48 AM,12:47 PM,07:37 AM,06:55 PM,15,26,26,25,36,7,54,0.0,1013,29,10,105,22,Senegal
2010-01-08,27,23,0.0,11.2,6,41,01:43 AM,01:31 PM,07:38 AM,06:56 PM,15,26,26,24,37,9,56,0.0,1013,27,10,14,24,Senegal
2010-01-09,28,22,0.0,7.1,5,34,02:37 AM,02:15 PM,07:38 AM,06:56 PM,15,26,26,24,35,59,56,0.0,1012,28,10,106,22,Senegal
2010-01-10,28,23,0.0,11.2,6,27,03:32 AM,03:03 PM,07:38 AM,06:57 PM,14,26,26,25,37,25,50,0.0,1012,28,10,69,23,Senegal
2010-01-11,27,23,0.0,11.2,6,19,04:26 AM,03:53 PM,07:38 AM,06:58 PM,11,25,25,24,34,15,42,0.0,1014,27,10,32,21,Senegal
2010-01-12,27,23,0.0,8.6,6,12,05:20 AM,04:45 PM,07:38 AM,06:58 PM,10,25,25,24,33,26,41,0.0,1015,27,10,43,19,Senegal
2010-01-13,29,22,0.0,11.2,6,5,06:11 AM,05:37 PM,07:39 AM,06:59 PM,10,25,25,25,35,7,39,0.0,1014,29,10,36,19,Senegal
2010-01-14,29,22,0.0,11.2,6,0,06:59 AM,06:29 PM,07:39 AM,06:59 PM,11,26,26,25,34,5,40,0.0,1013,29,10,126,18,Senegal
2010-01-15,30,22,0.0,11.6,6,0,07:43 AM,07:20 PM,07:39 AM,07:00 PM,11,26,26,25,29,1,43,0.0,1014,30,10,156,15,Senegal
2010-01-16,30,22,0.0,11.6,6,2,08:23 AM,08:09 PM,07:39 AM,07:00 PM,11,26,26,25,28,0,44,0.0,1014,30,10,150,14,Senegal
2010-01-17,30,22,0.0,11.6,7,10,09:01 AM,08:56 PM,07:39 AM,07:01 PM,11,26,26,25,28,0,42,0.0,1014,30,10,124,14,Senegal
2010-01-18,29,23,0.0,11.6,6,17,09:37 AM,09:43 PM,07:39 AM,07:02 PM,10,26,26,25,27,4,38,0.0,1014,29,10,163,14,Senegal
2010-01-19,30,21,0.0,11.6,6,24,10:12 AM,10:28 PM,07:39 AM,07:02 PM,9,25,25,24,30,21,38,0.0,1014,30,10,161,16,Senegal
2010-01-20,29,22,0.0,11.6,6,31,10:46 AM,11:15 PM,07:39 AM,07:03 PM,11,25,25,24,35,18,43,0.0,1013,29,10,114,18,Senegal
2010-01-21,30,22,0.0,11.6,6,39,11:22 AM,No moonset,07:39 AM,07:03 PM,10,26,26,25,31,9,42,0.0,1013,30,10,159,16,Senegal
2010-01-22,29,23,0.0,10.2,6,46,12:00 PM,12:02 AM,07:39 AM,07:04 PM,10,26,26,25,30,41,40,0.0,1012,29,10,159,15,Senegal
2010-01-23,29,23,0.0,10.2,6,53,12:41 PM,12:53 AM,07:39 AM,07:04 PM,11,26,26,25,33,30,43,0.0,1012,29,10,105,17,Senegal
2010-01-24,28,23,0.0,10.2,6,60,01:27 PM,01:47 AM,07:39 AM,07:05 PM,11,26,26,25,33,34,43,0.0,1011,28,10,30,19,Senegal
2010-01-25,29,23,0.0,11.6,6,68,02:19 PM,02:44 AM,07:39 AM,07:05 PM,11,26,26,25,35,19,42,0.0,1011,29,10,22,20,Senegal
2010-01-26,28,21,0.0,11.6,6,75,03:18 PM,03:46 AM,07:39 AM,07:06 PM,11,25,25,24,35,0,47,0.0,1011,28,10,153,21,Senegal
2010-01-27,26,21,0.0,11.6,6,82,04:21 PM,04:48 AM,07:39 AM,07:06 PM,13,24,24,23,28,0,54,0.0,1011,26,10,186,17,Senegal
2010-01-28,27,20,0.0,11.6,6,90,05:28 PM,05:49 AM,07:39 AM,07:07 PM,13,24,24,23,23,2,54,0.0,1012,27,10,217,13,Senegal
2010-01-29,28,21,0.0,11.6,6,97,06:34 PM,06:47 AM,07:39 AM,07:07 PM,13,25,25,24,34,8,51,0.0,1012,28,10,139,20,Senegal
2010-01-30,29,22,0.0,11.6,6,100,07:39 PM,07:41 AM,07:39 AM,07:08 PM,14,26,26,24,32,20,52,0.0,1010,29,10,135,18,Senegal
2010-01-31,28,23,0.0,11.6,6,100,08:40 PM,08:30 AM,07:39 AM,07:08 PM,15,26,26,25,33,42,55,0.0,1011,28,10,186,19,Senegal
2010-02-01,28,23,0.0,11.6,6,77,09:40 PM,09:16 AM,07:38 AM,07:09 PM,16,26,26,24,29,30,60,0.0,1012,28,10,137,17,Senegal
2010-02-02,27,22,0.0,11.6,6,69,10:37 PM,10:00 AM,07:38 AM,07:09 PM,17,26,26,24,31,27,65,0.0,1013,27,10,217,19,Senegal
2010-02-03,28,22,0.0,11.6,6,62,11:34 PM,10:43 AM,07:38 AM,07:10 PM,16,26,26,24,42,17,62,0.0,1013,28,10,99,26,Senegal
2010-02-04,30,22,0.0,11.6,6,54,No moonrise,11:27 AM,07:38 AM,07:10 PM,16,26,26,25,43,0,58,0.0,1012,30,10,57,25,Senegal
2010-02-05,31,23,0.0,10.2,7,47,12:30 AM,12:12 PM,07:38 AM,07:11 PM,15,27,27,27,36,22,50,0.0,1011,31,10,109,19,Senegal
2010-02-06,32,23,0.0,11.6,7,39,01:27 AM,01:00 PM,07:37 AM,07:11 PM,14,28,28,27,26,30,47,0.0,1011,32,10,74,13,Senegal
2010-02-07,31,25,0.0,11.6,7,32,02:22 AM,01:50 PM,07:37 AM,07:11 PM,11,27,27,27,39,7,38,0.0,1011,31,10,36,19,Senegal
2010-02-08,30,23,0.0,10.2,7,24,03:16 AM,02:41 PM,07:37 AM,07:12 PM,12,26,26,25,38,34,44,0.0,1010,30,10,154,21,Senegal
2010-02-09,29,22,0.0,11.6,6,16,04:08 AM,03:33 PM,07:36 AM,07:12 PM,15,26,26,24,34,14,57,0.0,1010,29,10,148,20,Senegal
2010-02-10,28,22,0.0,11.6,6,9,04:56 AM,04:25 PM,07:36 AM,07:13 PM,15,26,26,25,32,2,54,0.0,1010,28,10,97,17,Senegal
2010-02-11,28,23,0.0,11.6,6,1,05:42 AM,05:16 PM,07:36 AM,07:13 PM,15,26,26,25,37,2,54,0.0,1010,28,10,180,21,Senegal
2010-02-12,27,21,0.0,11.6,6,0,06:23 AM,06:05 PM,07:35 AM,07:13 PM,15,25,25,23,32,0,60,0.0,1010,27,10,220,20,Senegal
2010-02-13,26,21,0.0,11.6,6,0,07:02 AM,06:53 PM,07:35 AM,07:14 PM,16,24,24,23,24,0,66,0.0,1012,26,10,292,16,Senegal
2010-02-14,25,21,0.0,11.6,6,0,07:38 AM,07:40 PM,07:35 AM,07:14 PM,17,24,24,22,24,0,73,0.0,1013,25,10,334,16,Senegal
2010-02-15,25,20,0.0,11.6,6,6,08:13 AM,08:26 PM,07:34 AM,07:14 PM,18,22,23,22,22,1,77,0.0,1013,25,10,343,15,Senegal
2010-02-16,25,20,0.0,11.6,6,13,08:48 AM,09:12 PM,07:34 AM,07:15 PM,18,24,24,22,26,9,78,0.0,1013,25,10,222,18,Senegal
2010-02-17,26,20,0.0,11.6,6,21,09:23 AM,10:00 PM,07:33 AM,07:15 PM,16,24,24,22,25,0,68,0.0,1012,26,10,172,16,Senegal
2010-02-18,26,21,0.0,11.6,6,29,10:00 AM,10:49 PM,07:33 AM,07:15 PM,18,25,25,23,35,0,73,0.0,1014,26,10,263,24,Senegal
2010-02-19,26,21,0.0,11.6,6,36,10:39 AM,11:41 PM,07:32 AM,07:15 PM,16,24,24,23,39,0,68,0.0,1015,26,10,11,27,Senegal
2010-02-20,27,21,0.0,11.6,6,44,11:23 AM,No moonset,07:32 AM,07:16 PM,16,25,25,23,34,3,64,0.0,1013,27,10,141,22,Senegal
2010-02-21,27,22,0.0,11.6,6,51,12:11 PM,12:35 AM,07:31 AM,07:16 PM,16,26,26,24,38,0,64,0.0,1012,27,10,141,25,Senegal
2010-02-22,29,22,0.0,11.6,6,59,01:05 PM,01:33 AM,07:31 AM,07:16 PM,16,26,26,25,43,8,61,0.0,1010,29,10,98,26,Senegal
2010-02-23,32,24,0.0,11.6,7,66,02:04 PM,02:32 AM,07:30 AM,07:17 PM,15,28,28,27,43,19,49,0.0,1010,32,10,21,23,Senegal
2010-02-24,32,23,0.0,11.6,7,74,03:07 PM,03:32 AM,07:30 AM,07:17 PM,14,28,28,28,28,21,43,0.0,1010,32,10,137,14,Senegal
2010-02-25,31,24,0.0,11.6,7,81,04:11 PM,04:30 AM,07:29 AM,07:17 PM,15,28,28,27,29,0,48,0.0,1009,31,10,136,15,Senegal
2010-02-26,30,23,0.0,11.6,7,89,05:16 PM,05:24 AM,07:29 AM,07:17 PM,16,27,27,26,26,3,57,0.0,1009,30,10,281,14,Senegal
2010-02-27,29,22,0.0,11.6,6,97,06:18 PM,06:15 AM,07:28 AM,07:18 PM,16,26,26,25,27,4,56,0.0,1010,29,10,270,15,Senegal
2010-02-28,29,23,0.0,11.6,7,100,07:19 PM,07:03 AM,07:28 AM,07:18 PM,17,27,27,25,43,2,61,0.0,1011,29,10,137,25,Senegal
2010-03-01,28,23,0.0,11.6,6,100,08:18 PM,07:48 AM,07:27 AM,07:18 PM,18,26,26,25,39,0,66,0.0,1011,28,10,177,24,Senegal
2010-03-02,26,22,0.0,11.6,6,85,09:17 PM,08:32 AM,07:26 AM,07:18 PM,17,25,25,23,39,0,67,0.0,1013,26,10,135,26,Senegal
2010-03-03,27,21,0.0,11.6,6,78,10:16 PM,09:18 AM,07:26 AM,07:18 PM,16,25,25,23,37,2,66,0.0,1013,27,10,141,24,Senegal
2010-03-04,28,22,0.0,11.6,6,71,11:14 PM,10:04 AM,07:25 AM,07:19 PM,16,26,26,24,39,6,62,0.0,1012,28,10,224,25,Senegal
2010-03-05,28,23,0.0,11.6,6,63,No moonrise,10:52 AM,07:24 AM,07:19 PM,16,26,26,25,42,2,60,0.0,1010,28,10,221,26,Senegal
2010-03-06,28,22,0.0,11.6,6,56,12:12 AM,11:43 AM,07:24 AM,07:19 PM,16,26,26,24,47,0,60,0.0,1010,28,10,51,29,Senegal
2010-03-07,29,22,0.0,11.6,6,49,01:09 AM,12:35 PM,07:23 AM,07:19 PM,16,26,26,25,46,0,59,0.0,1011,29,10,143,27,Senegal
2010-03-08,29,22,0.0,11.6,6,42,02:02 AM,01:28 PM,07:23 AM,07:19 PM,16,26,26,25,41,0,58,0.0,1011,29,10,141,22,Senegal
