date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,35,20,0.0,11.6,7,15,03:02 AM,03:14 PM,05:53 AM,05:46 PM,8,26,26,26,11,11,33,0.0,1007,35,10,65,7,Central_African_Republic
2011-01-02,37,19,0.0,11.6,7,7,03:59 AM,04:10 PM,05:53 AM,05:46 PM,12,27,27,27,6,10,41,0.0,1006,37,10,170,3,Central_African_Republic
2011-01-03,38,21,0.0,11.6,7,0,04:55 AM,05:06 PM,05:54 AM,05:47 PM,15,30,30,28,5,15,47,0.1,1006,38,10,199,3,Central_African_Republic
2011-01-04,34,22,0.0,11.6,7,0,05:49 AM,05:59 PM,05:54 AM,05:47 PM,16,29,29,28,9,28,51,0.0,1007,34,10,199,5,Central_African_Republic
2011-01-05,35,21,0.0,11.6,7,0,06:38 AM,06:50 PM,05:55 AM,05:48 PM,12,28,28,27,8,10,43,0.0,1007,35,10,259,5,Central_African_Republic
2011-01-06,37,20,0.0,11.6,7,7,07:25 AM,07:37 PM,05:55 AM,05:48 PM,9,27,27,27,9,8,33,0.0,1007,37,10,257,6,Central_African_Republic
2011-01-07,35,19,0.0,11.6,7,14,08:08 AM,08:22 PM,05:55 AM,05:49 PM,6,27,27,27,11,3,27,0.0,1008,35,10,283,6,Central_African_Republic
2011-01-08,35,19,0.0,11.6,7,21,08:49 AM,09:05 PM,05:56 AM,05:49 PM,5,26,26,26,15,4,27,0.0,1008,35,10,97,9,Central_African_Republic
2011-01-09,34,18,0.0,11.6,7,29,09:29 AM,09:48 PM,05:56 AM,05:49 PM,7,25,25,25,13,7,32,0.0,1009,34,10,95,8,Central_African_Republic
2011-01-10,34,19,0.0,11.6,7,36,10:07 AM,10:29 PM,05:57 AM,05:50 PM,6,25,25,25,14,4,30,0.0,1010,34,10,99,8,Central_African_Republic
2011-01-11,34,19,0.0,11.6,7,43,10:46 AM,11:12 PM,05:57 AM,05:50 PM,4,25,25,25,15,3,26,0.0,1010,34,10,9,9,Central_African_Republic
2011-01-12,36,19,0.0,11.6,7,51,11:28 AM,11:57 PM,05:57 AM,05:51 PM,4,26,26,26,14,6,25,0.0,1008,36,10,51,8,Central_African_Republic
2011-01-13,36,21,0.0,11.6,7,58,12:10 PM,No moonset,05:58 AM,05:51 PM,5,27,27,27,12,10,26,0.0,1008,36,10,193,7,Central_African_Republic
