date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,24,11,0.0,11.6,5,15,03:37 AM,04:08 PM,06:30 AM,06:42 PM,12,17,18,17,17,53,77,0.0,1013,24,6,56,11,Kenya
2011-01-02,25,13,0.0,11.6,5,7,04:33 AM,05:05 PM,06:30 AM,06:42 PM,13,18,18,18,16,47,77,0.0,1012,25,6,67,12,Kenya
2011-01-03,25,12,0.0,11.6,5,0,05:29 AM,06:00 PM,06:31 AM,06:43 PM,12,17,18,17,16,46,75,0.0,1013,25,6,58,11,Kenya
2011-01-04,25,11,0.0,11.6,5,0,06:23 AM,06:52 PM,06:31 AM,06:43 PM,12,17,18,17,14,43,76,0.0,1013,25,7,56,9,Kenya
2011-01-05,25,12,0.0,11.6,5,0,07:15 AM,07:42 PM,06:32 AM,06:44 PM,13,18,19,18,14,20,74,0.7,1012,25,7,48,9,Kenya
2011-01-06,26,12,0.0,11.6,5,7,08:03 AM,08:27 PM,06:32 AM,06:44 PM,13,19,19,19,16,18,74,0.7,1011,26,7,42,10,Kenya
2011-01-07,26,12,0.0,11.6,5,14,08:48 AM,09:11 PM,06:33 AM,06:45 PM,13,18,19,18,17,22,73,0.3,1012,26,9,48,11,Kenya
2011-01-08,26,11,0.0,11.6,5,21,09:32 AM,09:52 PM,06:33 AM,06:45 PM,12,18,18,18,15,17,70,0.0,1012,26,8,48,10,Kenya
2011-01-09,25,12,0.0,11.6,5,29,10:13 AM,10:32 PM,06:34 AM,06:45 PM,12,19,20,19,11,15,67,0.0,1012,25,10,90,7,Kenya
2011-01-10,25,12,0.0,11.6,5,36,10:54 AM,11:12 PM,06:34 AM,06:46 PM,12,19,20,19,12,18,69,1.0,1013,25,10,145,7,Kenya
2011-01-11,26,13,0.0,11.6,5,43,11:35 AM,11:53 PM,06:35 AM,06:46 PM,13,19,20,19,15,25,73,0.0,1012,26,8,56,10,Kenya
2011-01-12,25,14,0.0,11.6,5,51,12:17 PM,No moonset,06:35 AM,06:47 PM,14,19,19,19,17,47,78,0.0,1012,25,6,57,11,Kenya
2011-01-13,25,14,0.0,11.6,5,58,01:02 PM,12:35 AM,06:35 AM,06:47 PM,14,19,19,19,14,55,77,2.0,1011,25,5,138,10,Kenya
2011-01-14,26,13,0.0,11.6,5,65,01:51 PM,01:21 AM,06:36 AM,06:47 PM,13,19,19,19,16,46,76,0.2,1012,26,7,57,11,Kenya
2011-01-15,26,12,0.0,11.6,5,72,02:42 PM,02:10 AM,06:36 AM,06:48 PM,12,19,19,19,16,12,71,0.0,1013,26,7,47,11,Kenya
2011-01-16,25,12,0.0,11.6,5,80,03:37 PM,03:03 AM,06:37 AM,06:48 PM,12,19,19,19,15,13,70,0.0,1013,25,8,132,10,Kenya
2011-01-17,25,13,0.0,11.6,5,87,04:34 PM,03:59 AM,06:37 AM,06:48 PM,13,19,20,19,15,13,70,0.8,1012,25,10,52,10,Kenya
2011-01-18,26,12,0.0,11.6,5,94,05:33 PM,04:58 AM,06:37 AM,06:48 PM,13,18,18,18,16,30,74,0.0,1011,26,7,64,11,Kenya
2011-01-19,26,10,0.0,11.6,5,100,06:30 PM,05:56 AM,06:38 AM,06:49 PM,11,18,18,18,16,36,70,0.0,1011,26,7,56,11,Kenya
2011-01-20,26,11,0.0,11.6,5,100,07:26 PM,06:54 AM,06:38 AM,06:49 PM,12,19,19,19,16,9,68,0.0,1011,26,8,53,10,Kenya
2011-01-21,26,11,0.0,11.6,5,84,08:20 PM,07:50 AM,06:38 AM,06:49 PM,11,18,19,18,17,13,69,0.0,1012,26,7,53,11,Kenya
2011-01-22,25,11,0.0,11.6,5,77,09:12 PM,08:44 AM,06:39 AM,06:50 PM,12,18,18,18,18,18,72,0.1,1012,25,8,50,12,Kenya
2011-01-23,24,11,0.0,11.6,5,69,10:03 PM,09:36 AM,06:39 AM,06:50 PM,13,18,18,18,18,41,76,0.0,1012,24,7,50,13,Kenya
2011-01-24,24,14,0.0,10.2,5,62,10:53 PM,10:28 AM,06:39 AM,06:50 PM,13,18,18,18,17,57,78,0.0,1013,24,5,69,12,Kenya
