date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-01,28,27,0.0,11.6,7,15,02:44 AM,03:10 PM,05:34 AM,05:40 PM,23,31,31,27,11,39,76,4.0,1007,28,10,260,8,Sao_Tome_and_Principe
2011-01-02,27,27,0.0,11.6,7,7,03:41 AM,04:07 PM,05:34 AM,05:40 PM,23,30,30,27,15,31,77,5.7,1007,27,9,232,11,Sao_Tome_and_Principe
2011-01-03,28,27,0.0,11.6,7,0,04:37 AM,05:02 PM,05:35 AM,05:41 PM,23,30,30,27,10,26,77,1.9,1007,28,10,238,7,Sao_Tome_and_Principe
2011-01-04,27,27,0.0,11.6,7,0,05:31 AM,05:55 PM,05:35 AM,05:41 PM,23,31,31,27,11,40,78,3.7,1008,27,9,201,8,Sao_Tome_and_Principe
2011-01-05,27,27,0.0,10.2,7,0,06:22 AM,06:44 PM,05:35 AM,05:42 PM,23,30,30,27,11,45,78,10.0,1009,27,9,207,7,Sao_Tome_and_Principe
2011-01-06,27,27,0.0,11.6,7,7,07:09 AM,07:30 PM,05:36 AM,05:42 PM,22,30,30,27,10,34,75,0.5,1009,27,10,193,7,Sao_Tome_and_Principe
2011-01-07,27,27,0.0,11.6,7,14,07:54 AM,08:13 PM,05:36 AM,05:43 PM,22,30,30,27,9,14,73,0.0,1009,27,10,201,6,Sao_Tome_and_Principe
2011-01-08,27,27,0.0,11.6,7,21,08:36 AM,08:55 PM,05:37 AM,05:43 PM,23,30,30,27,10,15,77,0.3,1009,27,10,181,7,Sao_Tome_and_Principe
2011-01-09,27,27,0.0,11.6,7,29,09:17 AM,09:36 PM,05:37 AM,05:43 PM,23,30,30,27,9,28,78,4.3,1009,27,10,204,6,Sao_Tome_and_Principe
2011-01-10,27,27,0.0,11.6,7,36,09:57 AM,10:16 PM,05:38 AM,05:44 PM,22,30,30,27,10,30,72,3.4,1010,27,10,240,7,Sao_Tome_and_Principe
2011-01-11,27,27,0.0,11.6,7,43,10:37 AM,10:58 PM,05:38 AM,05:44 PM,22,30,30,27,8,15,74,0.0,1010,27,10,243,6,Sao_Tome_and_Principe
2011-01-12,27,27,0.0,8.8,6,51,11:20 AM,11:42 PM,05:38 AM,05:45 PM,24,31,31,27,17,58,81,0.9,1010,27,9,237,12,Sao_Tome_and_Principe
2011-01-13,27,27,0.0,10.2,7,58,12:04 PM,No moonset,05:39 AM,05:45 PM,23,31,31,27,18,40,80,8.2,1009,27,9,249,12,Sao_Tome_and_Principe
2011-01-14,27,26,0.0,11.6,7,65,12:52 PM,12:28 AM,05:39 AM,05:45 PM,22,29,29,27,10,46,74,1.5,1009,27,10,244,7,Sao_Tome_and_Principe
2011-01-15,27,26,0.0,11.6,7,72,01:44 PM,01:18 AM,05:40 AM,05:46 PM,21,29,29,27,6,23,73,0.0,1009,27,10,185,4,Sao_Tome_and_Principe
2011-01-16,27,27,0.0,11.6,7,80,02:39 PM,02:11 AM,05:40 AM,05:46 PM,23,30,30,27,13,28,77,6.9,1010,27,10,216,9,Sao_Tome_and_Principe
2011-01-17,27,25,0.0,7.4,6,87,03:37 PM,03:07 AM,05:40 AM,05:46 PM,22,29,29,26,15,71,78,20.3,1010,27,8,246,10,Sao_Tome_and_Principe
2011-01-18,27,27,0.0,11.6,7,94,04:35 PM,04:06 AM,05:41 AM,05:47 PM,22,30,30,27,12,21,74,1.3,1009,27,10,249,9,Sao_Tome_and_Principe
2011-01-19,27,27,0.0,11.6,7,100,05:33 PM,05:04 AM,05:41 AM,05:47 PM,23,30,30,27,7,32,76,1.9,1008,27,10,256,5,Sao_Tome_and_Principe
2011-01-20,27,27,0.0,11.6,7,100,06:29 PM,06:01 AM,05:41 AM,05:47 PM,22,30,30,27,9,22,77,1.5,1007,27,10,221,7,Sao_Tome_and_Principe
2011-01-21,27,27,0.0,11.6,7,84,07:24 PM,06:56 AM,05:41 AM,05:48 PM,23,30,30,27,10,29,78,1.6,1007,27,10,229,7,Sao_Tome_and_Principe
2011-01-22,27,27,0.0,11.6,7,77,08:16 PM,07:49 AM,05:42 AM,05:48 PM,23,30,30,27,12,28,77,2.4,1007,27,10,250,9,Sao_Tome_and_Principe
2011-01-23,28,27,0.0,11.6,7,69,09:08 PM,08:41 AM,05:42 AM,05:48 PM,23,31,31,27,13,21,76,1.4,1007,28,10,226,9,Sao_Tome_and_Principe
2011-01-24,28,27,0.0,11.6,7,62,09:59 PM,09:32 AM,05:42 AM,05:48 PM,23,31,31,28,14,21,77,2.1,1008,28,10,202,10,Sao_Tome_and_Principe
2011-01-25,28,28,0.0,11.6,7,55,10:51 PM,10:23 AM,05:42 AM,05:49 PM,23,31,31,28,14,28,76,6.8,1009,28,9,199,10,Sao_Tome_and_Principe
2011-01-26,28,28,0.0,11.6,7,48,11:45 PM,11:16 AM,05:43 AM,05:49 PM,23,31,31,28,15,27,76,2.7,1009,28,10,221,11,Sao_Tome_and_Principe
2011-01-27,28,27,0.0,10.2,7,40,No moonrise,12:10 PM,05:43 AM,05:49 PM,23,31,31,28,13,32,77,4.8,1009,28,10,219,9,Sao_Tome_and_Principe
2011-01-28,28,27,0.0,11.6,7,33,12:40 AM,01:06 PM,05:43 AM,05:49 PM,24,31,31,28,13,17,80,2.3,1010,28,10,218,9,Sao_Tome_and_Principe
2011-01-29,28,27,0.0,11.6,7,26,01:36 AM,02:01 PM,05:43 AM,05:49 PM,24,31,31,27,16,38,81,1.7,1011,28,10,195,12,Sao_Tome_and_Principe
2011-01-30,28,28,0.0,11.6,7,19,02:31 AM,02:56 PM,05:43 AM,05:50 PM,24,32,32,28,14,24,78,2.4,1010,28,10,185,10,Sao_Tome_and_Principe
2011-01-31,28,27,0.0,11.6,7,15,03:25 AM,03:49 PM,05:44 AM,05:50 PM,23,31,31,28,12,15,77,1.4,1010,28,10,199,9,Sao_Tome_and_Principe
2011-02-01,28,27,0.0,11.6,7,0,04:16 AM,04:38 PM,05:44 AM,05:50 PM,24,32,32,28,16,22,79,1.5,1010,28,10,204,12,Sao_Tome_and_Principe
2011-02-02,28,27,0.0,11.6,7,0,05:04 AM,05:25 PM,05:44 AM,05:50 PM,24,31,31,28,17,26,80,7.6,1010,28,9,208,11,Sao_Tome_and_Principe
2011-02-03,28,28,0.0,10.2,7,0,05:50 AM,06:09 PM,05:44 AM,05:50 PM,23,31,31,28,15,38,75,8.8,1010,28,9,186,10,Sao_Tome_and_Principe
2011-02-04,28,28,0.0,11.6,7,3,06:32 AM,06:52 PM,05:44 AM,05:50 PM,23,32,32,28,12,30,74,1.0,1009,28,10,204,8,Sao_Tome_and_Principe
2011-02-05,28,27,0.0,8.8,7,11,07:14 AM,07:33 PM,05:44 AM,05:50 PM,23,31,31,28,13,45,75,7.8,1009,28,9,213,9,Sao_Tome_and_Principe
2011-02-06,28,27,0.0,11.6,7,18,07:54 AM,08:13 PM,05:44 AM,05:50 PM,23,30,30,27,13,36,76,1.9,1010,28,9,220,9,Sao_Tome_and_Principe
2011-02-07,28,27,0.0,11.6,7,26,08:34 AM,08:54 PM,05:44 AM,05:50 PM,22,30,30,27,6,26,73,0.0,1010,28,10,187,4,Sao_Tome_and_Principe
2011-02-08,28,27,0.0,11.6,7,33,09:16 AM,09:37 PM,05:44 AM,05:51 PM,22,30,30,27,8,24,74,0.0,1009,28,10,209,6,Sao_Tome_and_Principe
2011-02-09,28,27,0.0,11.6,7,41,09:59 AM,10:21 PM,05:44 AM,05:51 PM,23,31,31,28,16,36,76,8.8,1009,28,9,236,11,Sao_Tome_and_Principe
2011-02-10,28,27,0.0,10.2,6,48,10:44 AM,11:08 PM,05:44 AM,05:51 PM,23,31,31,27,19,66,77,3.7,1010,28,10,214,14,Sao_Tome_and_Principe
2011-02-11,28,27,0.0,10.2,7,56,11:33 AM,11:59 PM,05:44 AM,05:51 PM,23,31,31,27,9,62,77,0.0,1010,28,10,212,7,Sao_Tome_and_Principe
2011-02-12,28,27,0.0,11.6,7,64,12:25 PM,No moonset,05:44 AM,05:51 PM,24,31,31,27,12,43,81,0.6,1010,28,10,174,9,Sao_Tome_and_Principe
2011-02-13,28,27,0.0,11.6,6,71,01:20 PM,12:52 AM,05:44 AM,05:51 PM,24,31,31,28,14,35,79,4.2,1010,28,10,212,10,Sao_Tome_and_Principe
