date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-01-01,28,21,0.0,12.6,6,48,11:59 AM,No moonset,05:51 AM,06:13 PM,22,27,27,24,9,59,87,0.9,1012,28,7,257,6,Congo
2012-01-02,29,22,0.0,11.9,6,55,12:43 PM,12:13 AM,05:52 AM,06:13 PM,22,27,27,25,12,49,85,3.2,1012,29,8,236,8,Congo
2012-01-03,26,21,0.0,12.6,6,62,01:29 PM,12:55 AM,05:52 AM,06:14 PM,20,24,24,23,11,51,86,0.0,1012,26,8,261,7,Congo
2012-01-04,28,20,0.0,12.6,6,70,02:16 PM,01:40 AM,05:53 AM,06:14 PM,21,26,26,24,7,47,87,1.0,1012,28,7,191,5,Congo
2012-01-05,30,21,0.0,12.6,6,77,03:05 PM,02:26 AM,05:53 AM,06:15 PM,22,28,28,25,9,46,86,5.6,1012,30,7,245,6,Congo
2012-01-06,29,21,0.0,11.9,6,84,03:56 PM,03:15 AM,05:54 AM,06:15 PM,22,27,27,25,10,63,85,0.7,1011,29,6,244,6,Congo
2012-01-07,28,21,0.0,11.9,5,92,04:48 PM,04:06 AM,05:54 AM,06:15 PM,22,27,27,24,9,59,86,5.4,1011,28,7,256,5,Congo
2012-01-08,28,22,0.0,10.5,5,99,05:40 PM,04:59 AM,05:55 AM,06:16 PM,22,27,27,24,10,67,90,2.2,1012,28,5,236,7,Congo
2012-01-09,30,21,0.0,11.9,6,100,06:31 PM,05:52 AM,05:55 AM,06:16 PM,21,27,27,25,9,57,83,2.5,1011,30,8,246,5,Congo
2012-01-10,28,22,0.0,12.6,6,87,07:21 PM,06:44 AM,05:56 AM,06:17 PM,22,27,27,25,10,39,87,3.6,1011,28,7,256,7,Congo
2012-01-11,28,21,0.0,11.9,5,79,08:09 PM,07:37 AM,05:56 AM,06:17 PM,22,27,27,24,12,51,87,2.6,1011,28,6,234,8,Congo
2012-01-12,30,21,0.0,12.6,6,72,08:57 PM,08:28 AM,05:57 AM,06:17 PM,21,27,27,25,11,26,83,1.0,1012,30,8,237,7,Congo
2012-01-13,32,21,0.0,12.6,6,65,09:44 PM,09:19 AM,05:57 AM,06:18 PM,22,28,28,25,9,26,82,3.6,1012,32,9,264,5,Congo
2012-01-14,27,22,0.0,12.6,5,58,10:32 PM,10:09 AM,05:57 AM,06:18 PM,21,26,26,24,10,47,88,1.5,1012,27,7,256,7,Congo
