date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-01-01,30,19,0.0,11.3,6,48,12:55 PM,12:47 AM,07:23 AM,06:49 PM,2,23,23,24,26,4,25,0.0,1014,30,10,36,18,Guinea-Bissau
2012-01-02,33,20,0.0,11.3,7,55,01:35 PM,01:34 AM,07:23 AM,06:50 PM,4,25,25,25,20,5,26,0.0,1014,33,10,43,13,Guinea-Bissau
2012-01-03,34,21,0.0,11.3,7,62,02:15 PM,02:21 AM,07:23 AM,06:50 PM,5,26,26,26,19,10,26,0.0,1012,34,10,121,11,Guinea-Bissau
2012-01-04,34,22,0.0,11.3,7,70,02:59 PM,03:09 AM,07:24 AM,06:51 PM,5,26,26,27,20,20,25,0.0,1012,34,10,76,12,Guinea-Bissau
2012-01-05,34,23,0.0,11.3,7,77,03:46 PM,03:59 AM,07:24 AM,06:51 PM,4,27,27,28,18,20,22,0.0,1012,34,10,117,11,Guinea-Bissau
2012-01-06,34,22,0.0,11.3,7,84,04:36 PM,04:50 AM,07:24 AM,06:52 PM,6,27,27,27,22,26,26,0.0,1012,34,10,71,13,Guinea-Bissau
2012-01-07,33,21,0.0,11.3,7,92,05:28 PM,05:42 AM,07:25 AM,06:52 PM,6,26,26,26,18,6,29,0.0,1012,33,10,132,10,Guinea-Bissau
2012-01-08,34,23,0.0,11.3,7,99,06:22 PM,06:33 AM,07:25 AM,06:53 PM,7,27,27,28,15,8,27,0.0,1011,34,10,77,9,Guinea-Bissau
2012-01-09,34,21,0.0,11.3,7,100,07:17 PM,07:24 AM,07:25 AM,06:53 PM,6,26,26,27,19,16,28,0.0,1012,34,10,131,11,Guinea-Bissau
2012-01-10,35,23,0.0,11.3,7,87,08:12 PM,08:12 AM,07:26 AM,06:54 PM,6,27,27,27,15,5,26,0.0,1011,35,10,143,9,Guinea-Bissau
2012-01-11,34,20,0.0,11.3,7,79,09:06 PM,08:58 AM,07:26 AM,06:55 PM,11,27,27,27,13,7,40,0.0,1011,34,10,206,7,Guinea-Bissau
2012-01-12,36,22,0.0,11.3,7,72,10:00 PM,09:44 AM,07:26 AM,06:55 PM,13,29,29,28,15,0,43,0.0,1012,36,10,292,8,Guinea-Bissau
2012-01-13,35,22,0.0,11.3,7,65,10:53 PM,10:28 AM,07:26 AM,06:56 PM,10,27,27,27,21,1,35,0.0,1012,35,10,200,12,Guinea-Bissau
2012-01-14,34,21,0.0,11.3,7,58,11:48 PM,11:12 AM,07:27 AM,06:56 PM,12,27,27,27,13,4,41,0.0,1012,34,10,156,8,Guinea-Bissau
2012-01-15,34,21,0.0,11.3,7,50,No moonrise,11:58 AM,07:27 AM,06:57 PM,7,27,27,27,12,4,31,0.0,1012,34,10,147,7,Guinea-Bissau
2012-01-16,34,21,0.0,11.3,7,43,12:43 AM,12:45 PM,07:27 AM,06:57 PM,3,26,26,27,17,9,23,0.0,1011,34,10,80,11,Guinea-Bissau
2012-01-17,35,21,0.0,11.3,7,36,01:41 AM,01:37 PM,07:27 AM,06:58 PM,6,26,26,26,12,24,28,0.0,1011,35,10,92,7,Guinea-Bissau
2012-01-18,34,23,0.0,11.3,7,28,02:40 AM,02:31 PM,07:27 AM,06:58 PM,9,27,27,28,20,22,34,0.0,1011,34,10,138,12,Guinea-Bissau
2012-01-19,33,23,0.0,11.3,7,21,03:41 AM,03:29 PM,07:27 AM,06:59 PM,6,26,26,27,22,1,26,0.0,1011,33,10,105,13,Guinea-Bissau
2012-01-20,29,20,0.0,11.3,6,14,04:41 AM,04:28 PM,07:28 AM,06:59 PM,4,24,24,24,26,0,28,0.0,1012,29,10,41,17,Guinea-Bissau
2012-01-21,28,17,0.0,11.6,6,7,05:39 AM,05:28 PM,07:28 AM,07:00 PM,4,22,22,22,30,3,31,0.0,1013,28,10,40,20,Guinea-Bissau
2012-01-22,31,19,0.0,11.6,6,0,06:33 AM,06:26 PM,07:28 AM,07:00 PM,8,25,25,25,22,23,34,0.0,1012,31,10,38,15,Guinea-Bissau
2012-01-23,33,21,0.0,11.6,7,0,07:24 AM,07:22 PM,07:28 AM,07:01 PM,8,26,26,26,18,24,32,0.0,1011,33,10,82,12,Guinea-Bissau
2012-01-24,34,22,0.0,11.6,7,0,08:10 AM,08:14 PM,07:28 AM,07:01 PM,8,27,27,28,25,13,30,0.0,1011,34,10,36,16,Guinea-Bissau
2012-01-25,35,23,0.0,11.6,7,8,08:53 AM,09:05 PM,07:28 AM,07:02 PM,8,28,28,28,26,6,29,0.0,1011,35,10,36,16,Guinea-Bissau
2012-01-26,34,22,0.0,11.6,7,15,09:34 AM,09:53 PM,07:28 AM,07:02 PM,6,27,27,27,20,3,25,0.0,1010,34,10,24,12,Guinea-Bissau
2012-01-27,33,21,0.0,11.6,7,22,10:12 AM,10:40 PM,07:28 AM,07:03 PM,4,26,26,27,21,2,24,0.0,1011,33,10,110,13,Guinea-Bissau
2012-01-28,36,21,0.0,11.6,7,29,10:51 AM,11:27 PM,07:28 AM,07:03 PM,6,27,27,27,20,2,26,0.0,1010,36,10,125,11,Guinea-Bissau
2012-01-29,34,21,0.0,11.6,7,37,11:31 AM,No moonset,07:28 AM,07:03 PM,7,27,27,27,18,5,29,0.0,1010,34,10,203,10,Guinea-Bissau
2012-01-30,35,23,0.0,11.6,7,44,12:11 PM,12:13 AM,07:28 AM,07:04 PM,8,27,27,28,16,24,29,0.0,1010,35,10,260,9,Guinea-Bissau
2012-01-31,35,23,0.0,11.6,7,48,12:53 PM,01:01 AM,07:28 AM,07:04 PM,6,27,27,28,20,10,25,0.0,1010,35,10,131,12,Guinea-Bissau
