date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-01-01,17,7,0.0,10.0,4,48,01:01 PM,01:26 AM,08:33 AM,06:28 PM,8,13,13,13,9,0,74,0.0,1030,17,10,225,5,Morocco
2012-01-02,17,8,0.0,10.0,4,55,01:32 PM,02:20 AM,08:33 AM,06:29 PM,10,12,13,12,10,15,83,0.0,1033,17,10,117,6,Morocco
2012-01-03,17,10,0.0,10.0,4,62,02:06 PM,03:15 AM,08:33 AM,06:30 PM,10,12,13,12,19,7,83,0.0,1031,17,10,50,11,Morocco
2012-01-04,19,9,0.0,10.0,4,70,02:43 PM,04:10 AM,08:33 AM,06:31 PM,9,13,13,13,14,3,77,0.0,1030,19,10,93,8,Morocco
2012-01-05,18,9,0.0,10.0,4,77,03:26 PM,05:06 AM,08:33 AM,06:32 PM,8,14,14,14,10,0,71,0.0,1030,18,10,95,6,Morocco
2012-01-06,19,8,0.0,10.0,4,84,04:13 PM,06:00 AM,08:33 AM,06:32 PM,9,13,14,13,9,2,73,0.0,1029,19,10,120,5,Morocco
2012-01-07,17,11,0.0,8.3,4,92,05:06 PM,06:52 AM,08:33 AM,06:33 PM,9,13,14,13,17,57,74,0.2,1019,17,10,141,11,Morocco
2012-01-08,19,9,0.0,10.0,3,99,06:04 PM,07:41 AM,08:33 AM,06:34 PM,2,12,13,12,10,43,49,0.0,1023,19,10,169,5,Morocco
2012-01-09,17,11,0.0,8.3,4,100,07:05 PM,08:26 AM,08:33 AM,06:35 PM,8,13,13,13,18,58,72,0.5,1023,17,10,166,11,Morocco
2012-01-10,19,8,0.0,10.0,4,87,08:07 PM,09:07 AM,08:33 AM,06:36 PM,4,12,12,12,8,15,60,0.0,1025,19,10,200,5,Morocco
2012-01-11,19,8,0.0,10.0,4,79,09:11 PM,09:45 AM,08:33 AM,06:37 PM,5,13,13,13,8,15,61,0.0,1025,19,10,157,4,Morocco
2012-01-12,20,10,0.0,8.3,4,72,10:15 PM,10:20 AM,08:33 AM,06:38 PM,5,14,14,14,10,57,56,0.0,1025,20,10,191,6,Morocco
2012-01-13,20,10,0.0,10.1,4,65,11:20 PM,10:55 AM,08:33 AM,06:39 PM,8,14,14,14,7,21,68,0.0,1025,20,10,230,4,Morocco
2012-01-14,17,9,0.0,10.1,4,58,No moonrise,11:29 AM,08:33 AM,06:39 PM,9,13,13,13,7,6,79,0.0,1025,17,10,278,5,Morocco
2012-01-15,16,7,0.0,10.1,4,50,12:24 AM,12:04 PM,08:33 AM,06:40 PM,8,12,12,12,14,14,76,0.0,1023,16,10,190,9,Morocco
2012-01-16,14,11,0.0,5.0,3,43,01:31 AM,12:42 PM,08:32 AM,06:41 PM,9,10,12,10,34,76,82,2.1,1018,14,10,261,22,Morocco
2012-01-17,15,10,0.0,10.1,4,36,02:37 AM,01:24 PM,08:32 AM,06:42 PM,8,11,12,11,18,37,76,1.5,1023,15,10,188,11,Morocco
2012-01-18,17,8,0.0,10.1,4,28,03:45 AM,02:12 PM,08:32 AM,06:43 PM,6,10,12,10,26,4,69,0.0,1029,17,10,69,16,Morocco
2012-01-19,16,8,0.0,10.1,4,21,04:50 AM,03:06 PM,08:31 AM,06:44 PM,4,10,11,10,34,0,59,0.0,1032,16,10,75,21,Morocco
2012-01-20,16,6,0.0,10.1,3,14,05:52 AM,04:05 PM,08:31 AM,06:45 PM,2,8,10,8,22,7,61,0.0,1030,16,10,63,13,Morocco
2012-01-21,16,7,0.0,10.2,4,7,06:47 AM,05:09 PM,08:31 AM,06:46 PM,4,10,11,10,13,11,66,0.0,1026,16,10,60,8,Morocco
2012-01-22,17,7,0.0,10.2,4,0,07:37 AM,06:13 PM,08:30 AM,06:47 PM,5,11,11,11,11,6,67,0.0,1022,17,10,145,6,Morocco
2012-01-23,16,7,0.0,10.2,4,0,08:19 AM,07:18 PM,08:30 AM,06:48 PM,6,10,11,10,12,4,72,0.0,1021,16,10,218,7,Morocco
2012-01-24,17,8,0.0,10.0,4,0,08:57 AM,08:19 PM,08:29 AM,06:49 PM,5,11,12,11,15,35,66,0.0,1021,17,10,92,8,Morocco
2012-01-25,19,9,0.0,8.4,4,8,09:31 AM,09:20 PM,08:29 AM,06:50 PM,6,12,13,12,15,40,64,0.0,1019,19,10,191,8,Morocco
2012-01-26,17,10,0.0,10.0,4,15,10:02 AM,10:17 PM,08:28 AM,06:51 PM,8,12,13,12,17,46,75,0.6,1018,17,10,166,10,Morocco
2012-01-27,15,10,0.0,10.2,4,22,10:31 AM,11:14 PM,08:28 AM,06:52 PM,9,11,12,11,19,57,82,0.5,1019,15,10,231,12,Morocco
2012-01-28,16,8,0.0,10.3,4,29,11:01 AM,No moonset,08:27 AM,06:53 PM,7,11,12,11,15,9,77,0.0,1022,16,10,117,9,Morocco
2012-01-29,16,7,0.0,10.3,4,37,11:32 AM,12:09 AM,08:27 AM,06:54 PM,7,11,12,11,15,1,76,0.0,1023,16,10,180,9,Morocco
2012-01-30,16,6,0.0,10.3,4,44,12:04 PM,01:04 AM,08:26 AM,06:55 PM,6,11,12,11,16,0,69,0.0,1022,16,10,68,10,Morocco
2012-01-31,18,7,0.0,10.3,4,48,12:40 PM,01:59 AM,08:25 AM,06:56 PM,4,11,12,11,16,3,63,0.0,1021,18,10,65,9,Morocco
2012-02-01,19,7,0.0,10.3,4,61,01:20 PM,02:54 AM,08:25 AM,06:57 PM,6,12,13,12,12,4,64,0.0,1019,19,10,209,7,Morocco
2012-02-02,14,10,0.0,10.0,4,68,02:04 PM,03:49 AM,08:24 AM,06:58 PM,9,10,12,10,24,34,82,0.7,1018,14,10,259,15,Morocco
2012-02-03,12,5,0.0,10.0,3,76,02:54 PM,04:41 AM,08:23 AM,06:59 PM,3,8,10,8,19,34,65,0.0,1024,12,10,211,13,Morocco
2012-02-04,12,4,0.0,10.8,3,83,03:50 PM,05:31 AM,08:22 AM,07:00 PM,-1,5,7,5,20,11,59,0.0,1029,12,10,83,12,Morocco
2012-02-05,13,3,0.0,10.8,3,91,04:49 PM,06:18 AM,08:22 AM,07:01 PM,0,7,8,7,11,1,60,0.0,1036,13,10,159,6,Morocco
2012-02-06,15,7,0.0,8.5,4,99,05:52 PM,07:01 AM,08:21 AM,07:02 PM,5,9,10,9,17,35,71,0.1,1034,15,10,254,9,Morocco
2012-02-07,17,6,0.0,10.8,4,100,06:56 PM,07:42 AM,08:20 AM,07:03 PM,9,11,11,11,12,11,83,0.0,1028,17,10,224,7,Morocco
2012-02-08,15,8,0.0,10.1,4,86,08:02 PM,08:19 AM,08:19 AM,07:04 PM,5,10,11,10,19,24,69,0.5,1022,15,10,307,12,Morocco
2012-02-09,13,4,0.0,10.9,3,79,09:08 PM,08:54 AM,08:18 AM,07:05 PM,1,7,9,7,22,1,60,0.0,1023,13,10,40,13,Morocco
2012-02-10,14,4,0.0,10.9,3,71,10:14 PM,09:30 AM,08:17 AM,07:06 PM,2,8,9,8,15,3,64,0.0,1024,14,10,163,9,Morocco
2012-02-11,15,6,0.0,10.9,3,64,11:22 PM,10:05 AM,08:16 AM,07:07 PM,5,8,10,8,19,5,72,0.0,1022,15,10,235,12,Morocco
2012-02-12,15,8,0.0,10.9,4,56,No moonrise,10:43 AM,08:16 AM,07:08 PM,5,10,11,10,15,30,72,0.2,1021,15,10,188,9,Morocco
2012-02-13,15,3,0.0,10.9,3,49,12:30 AM,11:25 AM,08:15 AM,07:09 PM,1,7,9,7,18,0,59,0.0,1021,15,10,56,11,Morocco
2012-02-14,14,2,0.0,11.0,3,41,01:37 AM,12:11 PM,08:14 AM,07:10 PM,2,8,9,8,14,2,61,0.0,1024,14,10,179,8,Morocco
2012-02-15,16,4,0.0,11.0,3,34,02:43 AM,01:02 PM,08:13 AM,07:11 PM,3,8,9,8,18,2,65,0.0,1022,16,10,84,11,Morocco
2012-02-16,17,5,0.0,11.0,4,26,03:45 AM,01:59 PM,08:12 AM,07:12 PM,4,11,11,11,14,0,63,0.0,1022,17,10,158,8,Morocco
2012-02-17,17,5,0.0,11.0,3,18,04:41 AM,02:59 PM,08:11 AM,07:13 PM,5,11,11,11,10,4,68,0.0,1020,17,10,99,6,Morocco
2012-02-18,18,6,0.0,11.0,4,11,05:32 AM,04:02 PM,08:10 AM,07:14 PM,6,11,12,11,11,10,69,0.0,1019,18,10,171,7,Morocco
2012-02-19,18,7,0.0,11.1,4,3,06:15 AM,05:05 PM,08:08 AM,07:15 PM,7,11,12,11,14,12,74,0.0,1022,18,10,208,8,Morocco
2012-02-20,17,6,0.0,11.1,4,0,06:54 AM,06:06 PM,08:07 AM,07:15 PM,8,12,12,12,10,1,76,0.0,1024,17,10,217,6,Morocco
2012-02-21,17,7,0.0,11.1,4,0,07:29 AM,07:07 PM,08:06 AM,07:16 PM,8,12,12,12,11,6,76,0.0,1026,17,10,184,7,Morocco
2012-02-22,17,6,0.0,11.1,4,0,08:01 AM,08:05 PM,08:05 AM,07:17 PM,6,11,12,11,16,9,72,0.0,1025,17,10,54,9,Morocco
2012-02-23,19,7,0.0,11.1,4,4,08:31 AM,09:02 PM,08:04 AM,07:18 PM,2,11,12,11,28,2,52,0.0,1022,19,10,64,16,Morocco
2012-02-24,19,9,0.0,11.2,4,11,09:02 AM,09:58 PM,08:03 AM,07:19 PM,5,12,13,12,17,17,58,0.4,1023,19,10,194,10,Morocco
2012-02-25,19,10,0.0,11.2,4,19,09:32 AM,10:54 PM,08:02 AM,07:20 PM,8,13,14,13,18,9,68,0.0,1026,19,10,226,10,Morocco
2012-02-26,19,7,0.0,11.2,4,27,10:04 AM,11:49 PM,08:01 AM,07:21 PM,7,13,13,13,13,1,66,0.0,1025,19,10,202,7,Morocco
2012-02-27,19,6,0.0,11.6,4,34,10:38 AM,No moonset,07:59 AM,07:22 PM,6,12,12,12,15,2,67,0.0,1022,19,10,101,9,Morocco
2012-02-28,19,7,0.0,11.6,4,42,11:17 AM,12:43 AM,07:58 AM,07:23 PM,7,12,13,12,15,10,69,0.0,1019,19,10,122,9,Morocco
2012-02-29,19,10,0.0,11.6,4,49,11:58 AM,01:38 AM,07:57 AM,07:23 PM,10,14,14,14,14,6,79,0.0,1021,19,10,257,9,Morocco
2012-03-01,17,8,0.0,11.6,4,55,12:45 PM,02:30 AM,07:56 AM,07:24 PM,9,12,13,12,16,16,78,0.2,1024,17,10,253,10,Morocco
2012-03-02,17,9,0.0,11.6,4,62,01:37 PM,03:21 AM,07:55 AM,07:25 PM,8,12,13,12,15,10,76,0.2,1028,17,10,228,9,Morocco
2012-03-03,18,8,0.0,11.6,4,69,02:33 PM,04:08 AM,07:53 AM,07:26 PM,8,12,13,12,18,3,77,0.0,1030,18,10,90,11,Morocco
2012-03-04,18,8,0.0,11.6,4,77,03:34 PM,04:52 AM,07:52 AM,07:27 PM,9,12,13,12,16,6,79,0.0,1029,18,10,76,10,Morocco
2012-03-05,20,9,0.0,11.6,4,84,04:36 PM,05:34 AM,07:51 AM,07:28 PM,10,13,14,13,12,9,81,0.0,1027,20,10,136,8,Morocco
2012-03-06,18,7,0.0,11.6,4,91,05:42 PM,06:12 AM,07:50 AM,07:28 PM,8,12,13,12,11,8,77,0.0,1025,18,10,168,7,Morocco
2012-03-07,18,8,0.0,11.6,4,98,06:48 PM,06:49 AM,07:48 AM,07:29 PM,8,14,14,14,14,5,68,0.0,1024,18,10,148,9,Morocco
2012-03-08,19,8,0.0,11.6,4,100,07:56 PM,07:25 AM,07:47 AM,07:30 PM,3,12,13,12,17,7,52,0.0,1027,19,10,170,10,Morocco
2012-03-09,20,8,0.0,11.6,4,87,09:05 PM,08:02 AM,07:46 AM,07:31 PM,7,14,14,14,19,0,62,0.0,1024,20,10,100,11,Morocco
2012-03-10,20,11,0.0,11.6,4,80,10:15 PM,08:40 AM,07:44 AM,07:32 PM,3,14,15,14,33,1,44,0.0,1025,20,10,69,19,Morocco
2012-03-11,19,8,0.0,11.6,4,73,11:25 PM,09:22 AM,07:43 AM,07:32 PM,4,12,13,12,23,0,58,0.0,1022,19,10,48,14,Morocco
2012-03-12,22,9,0.0,11.6,4,65,No moonrise,10:08 AM,07:42 AM,07:33 PM,4,13,14,13,20,5,54,0.0,1021,22,10,97,11,Morocco
2012-03-13,23,10,0.0,11.6,4,58,12:33 AM,10:59 AM,07:40 AM,07:34 PM,7,15,16,15,12,11,59,0.0,1020,23,10,208,7,Morocco
2012-03-14,22,10,0.0,11.6,4,51,01:38 AM,11:55 AM,07:39 AM,07:35 PM,8,15,16,15,14,28,64,0.0,1022,22,10,253,9,Morocco
2012-03-15,20,8,0.0,11.6,4,43,02:37 AM,12:55 PM,07:38 AM,07:36 PM,8,14,14,14,13,4,71,0.0,1025,20,10,242,8,Morocco
2012-03-16,19,8,0.0,11.6,4,36,03:29 AM,01:56 PM,07:36 AM,07:36 PM,11,14,14,14,10,20,82,0.0,1026,19,7,209,7,Morocco
2012-03-17,20,9,0.0,10.2,4,29,04:14 AM,02:58 PM,07:35 AM,07:37 PM,10,13,14,13,15,44,82,0.0,1025,20,7,169,9,Morocco
2012-03-18,18,10,0.0,11.6,4,22,04:54 AM,03:59 PM,07:34 AM,07:38 PM,9,13,13,13,19,26,77,0.0,1026,18,10,68,12,Morocco
2012-03-19,18,8,0.0,11.6,4,14,05:30 AM,04:59 PM,07:32 AM,07:39 PM,6,12,12,12,17,7,69,0.0,1023,18,10,155,11,Morocco
2012-03-20,18,6,0.0,11.6,4,7,06:02 AM,05:57 PM,07:31 AM,07:40 PM,7,12,13,12,17,0,68,0.0,1021,18,10,45,11,Morocco
2012-03-21,17,7,0.0,11.6,4,0,06:33 AM,06:53 PM,07:30 AM,07:40 PM,4,10,12,10,24,0,60,0.0,1021,17,10,34,15,Morocco
2012-03-22,23,6,0.0,11.6,4,0,07:03 AM,07:50 PM,07:28 AM,07:41 PM,4,13,15,13,22,7,54,0.0,1017,23,10,60,13,Morocco
2012-03-23,29,14,0.0,11.6,6,0,07:33 AM,08:45 PM,07:27 AM,07:42 PM,6,20,20,20,23,27,40,1.5,1012,29,10,138,11,Morocco
2012-03-24,24,15,0.0,10.2,5,7,08:05 AM,09:40 PM,07:25 AM,07:43 PM,13,19,19,19,14,38,73,1.4,1015,24,10,198,8,Morocco
2012-03-25,24,13,0.0,11.6,5,14,08:38 AM,10:35 PM,07:24 AM,07:43 PM,13,19,19,19,13,13,74,1.6,1015,24,10,152,8,Morocco
2012-03-26,26,13,0.0,11.6,5,22,09:15 AM,11:30 PM,07:23 AM,07:44 PM,12,20,20,20,19,1,62,0.0,1013,26,10,71,10,Morocco
2012-03-27,27,15,0.0,11.6,6,29,09:55 AM,No moonset,07:21 AM,07:45 PM,10,20,21,20,22,1,54,0.0,1013,27,10,67,12,Morocco
2012-03-28,26,15,0.0,11.6,6,36,10:40 AM,12:22 AM,07:20 AM,07:46 PM,11,20,21,20,26,10,56,0.2,1011,26,10,79,14,Morocco
2012-03-29,23,15,0.0,11.6,5,44,11:29 AM,01:13 AM,07:19 AM,07:46 PM,13,18,19,18,13,43,75,0.1,1015,23,10,176,8,Morocco
2012-03-30,19,12,0.0,11.6,5,51,12:22 PM,02:00 AM,07:17 AM,07:47 PM,13,16,16,16,18,54,84,0.6,1015,19,9,246,12,Morocco
2012-03-31,20,13,0.0,11.6,5,55,01:19 PM,02:45 AM,07:16 AM,07:48 PM,12,15,16,15,26,37,78,0.3,1012,20,10,219,17,Morocco
2012-04-01,19,12,0.0,11.6,5,68,02:19 PM,03:27 AM,07:15 AM,07:49 PM,11,15,15,15,20,36,80,0.2,1011,19,10,247,14,Morocco
2012-04-02,18,11,0.0,11.6,4,75,03:22 PM,04:05 AM,07:13 AM,07:49 PM,11,14,15,14,20,22,80,0.6,1011,18,10,244,14,Morocco
2012-04-03,19,11,0.0,11.6,4,83,04:26 PM,04:42 AM,07:12 AM,07:50 PM,10,14,14,14,19,17,77,0.1,1011,19,10,253,13,Morocco
2012-04-04,18,11,0.0,8.9,4,91,05:32 PM,05:18 AM,07:10 AM,07:51 PM,10,13,14,13,20,54,80,1.5,1012,18,10,248,13,Morocco
2012-04-05,18,10,0.0,11.6,4,98,06:41 PM,05:54 AM,07:09 AM,07:52 PM,9,13,14,13,25,30,75,0.1,1013,18,10,241,17,Morocco
2012-04-06,17,9,0.0,11.6,4,100,07:51 PM,06:32 AM,07:08 AM,07:52 PM,7,12,13,12,20,15,70,0.1,1016,17,10,252,14,Morocco
2012-04-07,19,10,0.0,11.6,4,87,09:03 PM,07:13 AM,07:06 AM,07:53 PM,8,13,14,13,17,18,68,0.0,1016,19,10,225,11,Morocco
2012-04-08,22,10,0.0,11.6,5,79,10:15 PM,07:58 AM,07:05 AM,07:54 PM,10,15,16,15,18,10,70,0.0,1014,22,10,91,11,Morocco
2012-04-09,26,14,0.0,11.6,5,72,11:24 PM,08:49 AM,07:04 AM,07:55 PM,10,19,19,19,19,3,59,0.0,1011,26,10,198,11,Morocco
2012-04-10,19,13,0.0,11.6,5,64,No moonrise,09:46 AM,07:02 AM,07:55 PM,12,15,16,15,22,21,76,0.0,1016,19,10,236,15,Morocco
2012-04-11,19,11,0.0,11.6,4,57,12:27 AM,10:46 AM,07:01 AM,07:56 PM,11,15,15,15,12,22,77,0.0,1015,19,10,124,9,Morocco
2012-04-12,16,13,0.0,6.3,3,49,01:24 AM,11:49 AM,07:00 AM,07:57 PM,11,14,14,14,23,72,81,0.6,1011,16,10,239,16,Morocco
2012-04-13,17,12,0.0,11.6,4,42,02:12 AM,12:52 PM,06:59 AM,07:58 PM,9,13,14,13,26,28,73,0.6,1019,17,10,290,17,Morocco
