date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-01-01,28,27,0.0,8.9,7,48,12:14 PM,No moonset,06:10 AM,06:33 PM,23,31,31,28,34,46,77,3.8,1011,28,10,309,23,Seychelles
2012-01-02,27,27,0.0,10.2,7,55,12:58 PM,12:27 AM,06:10 AM,06:33 PM,24,31,31,27,42,45,80,27.2,1010,27,8,300,25,Seychelles
2012-01-03,27,27,0.0,6.1,6,62,01:44 PM,01:09 AM,06:11 AM,06:34 PM,23,30,30,27,40,65,81,30.4,1010,27,8,293,24,Seychelles
2012-01-04,28,27,0.0,8.9,7,70,02:30 PM,01:53 AM,06:11 AM,06:34 PM,23,31,31,27,23,60,79,2.3,1010,28,10,320,16,Seychelles
2012-01-05,27,27,0.0,11.6,7,77,03:20 PM,02:39 AM,06:12 AM,06:35 PM,23,30,30,27,15,20,78,1.5,1011,27,10,318,11,Seychelles
2012-01-06,27,27,0.0,10.2,6,84,04:10 PM,03:28 AM,06:12 AM,06:35 PM,23,30,30,27,15,41,78,3.4,1012,27,10,216,11,Seychelles
2012-01-07,28,27,0.0,8.9,6,92,05:02 PM,04:19 AM,06:13 AM,06:35 PM,23,31,31,28,25,63,78,3.9,1011,28,10,232,17,Seychelles
2012-01-08,27,27,0.0,11.6,7,99,05:54 PM,05:12 AM,06:13 AM,06:36 PM,23,30,30,27,16,25,76,0.0,1012,27,10,52,12,Seychelles
2012-01-09,28,27,0.0,8.9,6,100,06:45 PM,06:05 AM,06:14 AM,06:36 PM,23,31,31,28,25,56,77,1.6,1011,28,10,270,18,Seychelles
2012-01-10,28,27,0.0,11.6,7,87,07:35 PM,06:58 AM,06:14 AM,06:36 PM,23,31,31,27,14,33,78,0.0,1012,28,10,98,10,Seychelles
2012-01-11,27,27,0.0,11.6,7,79,08:23 PM,07:50 AM,06:15 AM,06:37 PM,23,30,30,27,9,18,78,0.0,1012,27,10,80,7,Seychelles
2012-01-12,27,27,0.0,11.6,7,72,09:11 PM,08:41 AM,06:15 AM,06:37 PM,22,30,30,27,5,9,75,0.0,1012,27,10,89,3,Seychelles
2012-01-13,28,27,0.0,11.6,7,65,09:58 PM,09:32 AM,06:15 AM,06:37 PM,23,30,30,27,17,26,77,2.8,1012,28,10,297,12,Seychelles
2012-01-14,28,27,0.0,7.5,6,58,10:46 PM,10:23 AM,06:16 AM,06:38 PM,23,31,31,27,40,67,78,29.9,1011,28,8,294,24,Seychelles
2012-01-15,28,27,0.0,11.6,6,50,11:35 PM,11:15 AM,06:16 AM,06:38 PM,23,31,31,27,30,35,79,19.9,1009,28,9,308,19,Seychelles
2012-01-16,28,27,0.0,11.6,6,43,No moonrise,12:08 PM,06:17 AM,06:38 PM,24,31,31,28,42,36,79,20.3,1008,28,8,321,27,Seychelles
2012-01-17,28,27,0.0,11.6,6,36,12:26 AM,01:04 PM,06:17 AM,06:39 PM,23,31,31,28,34,37,76,3.6,1009,28,10,307,24,Seychelles
2012-01-18,27,27,0.0,11.6,6,28,01:21 AM,02:02 PM,06:18 AM,06:39 PM,23,30,30,27,36,47,78,4.7,1009,27,10,305,26,Seychelles
2012-01-19,28,27,0.0,11.6,7,21,02:17 AM,03:01 PM,06:18 AM,06:39 PM,23,30,30,27,37,48,78,5.7,1009,28,10,286,26,Seychelles
2012-01-20,28,27,0.0,11.6,7,14,03:17 AM,04:01 PM,06:18 AM,06:39 PM,23,30,30,27,28,42,77,2.9,1010,28,10,304,20,Seychelles
