date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-01-01,16,13,0.0,5.4,3,48,11:49 AM,12:17 AM,07:32 AM,05:13 PM,11,12,14,12,42,68,85,0.4,1025,16,10,294,27,Tunisia
2012-01-02,16,11,0.0,8.7,4,55,12:18 PM,01:13 AM,07:32 AM,05:14 PM,10,13,14,13,18,12,78,0.1,1025,16,10,239,11,Tunisia
2012-01-03,13,10,0.0,8.7,4,62,12:51 PM,02:09 AM,07:33 AM,05:15 PM,8,9,12,9,42,46,76,0.1,1025,13,10,297,27,Tunisia
2012-01-04,14,10,0.0,3.7,3,70,01:27 PM,03:06 AM,07:33 AM,05:16 PM,9,10,12,10,45,60,82,0.2,1025,14,10,300,28,Tunisia
2012-01-05,14,12,0.0,8.7,4,77,02:08 PM,04:02 AM,07:33 AM,05:17 PM,9,10,13,10,62,38,76,0.1,1020,14,10,299,40,Tunisia
2012-01-06,14,11,0.0,8.7,4,84,02:55 PM,04:57 AM,07:33 AM,05:18 PM,6,10,13,10,77,13,65,0.2,1011,14,10,306,48,Tunisia
2012-01-07,15,10,0.0,5.4,4,92,03:48 PM,05:49 AM,07:33 AM,05:19 PM,7,11,12,11,27,66,72,0.2,1020,15,10,228,16,Tunisia
2012-01-08,15,11,0.0,7.0,4,99,04:46 PM,06:38 AM,07:33 AM,05:19 PM,9,10,13,10,53,53,79,0.1,1021,15,10,299,34,Tunisia
2012-01-09,15,10,0.0,5.4,4,100,05:48 PM,07:22 AM,07:33 AM,05:20 PM,7,11,13,11,23,53,72,0.4,1021,15,10,222,14,Tunisia
2012-01-10,14,9,0.0,8.7,4,87,06:52 PM,08:02 AM,07:33 AM,05:21 PM,5,9,11,9,27,0,66,0.0,1029,14,10,325,15,Tunisia
2012-01-11,14,9,0.0,8.7,4,79,07:57 PM,08:39 AM,07:32 AM,05:22 PM,7,10,11,10,22,27,77,0.2,1030,14,9,229,13,Tunisia
2012-01-12,13,8,0.0,8.7,4,72,09:03 PM,09:13 AM,07:32 AM,05:23 PM,7,10,11,10,17,17,77,0.0,1032,13,10,302,11,Tunisia
2012-01-13,15,7,0.0,8.7,4,65,10:09 PM,09:46 AM,07:32 AM,05:24 PM,6,10,11,10,18,1,70,0.0,1026,15,10,252,10,Tunisia
2012-01-14,14,9,0.0,8.7,4,58,11:16 PM,10:18 AM,07:32 AM,05:25 PM,7,9,11,9,27,44,79,0.5,1020,14,10,282,15,Tunisia
2012-01-15,14,10,0.0,8.7,3,50,No moonrise,10:51 AM,07:32 AM,05:26 PM,8,10,11,10,22,61,81,1.6,1017,14,10,268,14,Tunisia
2012-01-16,14,8,0.0,8.7,4,43,12:23 AM,11:28 AM,07:31 AM,05:27 PM,7,10,11,10,18,17,77,0.3,1015,14,10,208,10,Tunisia
2012-01-17,12,9,0.0,3.7,3,36,01:32 AM,12:08 PM,07:31 AM,05:28 PM,8,8,11,8,29,68,84,1.1,1022,12,10,98,18,Tunisia
2012-01-18,12,8,0.0,8.7,3,28,02:40 AM,12:55 PM,07:31 AM,05:29 PM,5,8,10,8,20,34,72,0.0,1030,12,10,34,13,Tunisia
