date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,24,23,0.0,11.1,6,68,09:50 PM,09:43 AM,07:01 AM,06:10 PM,16,25,25,24,50,8,61,0.0,1015,24,10,67,35,Cape_Verde
2013-01-02,23,23,0.0,11.1,6,60,10:41 PM,10:23 AM,07:01 AM,06:11 PM,16,25,25,23,45,10,64,0.0,1015,23,10,60,32,Cape_Verde
2013-01-03,23,23,0.0,11.1,6,53,11:34 PM,11:03 AM,07:01 AM,06:11 PM,17,25,25,23,40,7,68,0.0,1017,23,10,62,29,Cape_Verde
2013-01-04,23,23,0.0,11.1,6,46,No moonrise,11:44 AM,07:02 AM,06:12 PM,17,25,25,23,41,3,68,0.0,1019,23,10,54,30,Cape_Verde
2013-01-05,24,23,0.0,11.1,6,38,12:27 AM,12:27 PM,07:02 AM,06:12 PM,16,25,25,23,48,0,65,0.0,1019,24,10,61,34,Cape_Verde
2013-01-06,23,22,0.0,11.1,6,31,01:25 AM,01:15 PM,07:02 AM,06:13 PM,16,25,25,23,45,0,67,0.0,1017,23,10,65,33,Cape_Verde
2013-01-07,23,21,0.0,11.1,6,24,02:24 AM,02:07 PM,07:03 AM,06:14 PM,15,25,25,22,43,0,66,0.0,1017,23,10,62,32,Cape_Verde
2013-01-08,23,21,0.0,11.1,6,17,03:26 AM,03:04 PM,07:03 AM,06:14 PM,15,25,25,22,44,0,65,0.0,1017,23,10,59,32,Cape_Verde
2013-01-09,23,22,0.0,11.1,6,9,04:29 AM,04:05 PM,07:03 AM,06:15 PM,15,25,25,22,40,0,64,0.0,1017,23,10,55,29,Cape_Verde
2013-01-10,22,22,0.0,11.1,6,2,05:32 AM,05:09 PM,07:03 AM,06:15 PM,15,25,25,22,35,0,66,0.0,1015,22,10,59,25,Cape_Verde
2013-01-11,23,22,0.0,11.1,6,0,06:31 AM,06:13 PM,07:03 AM,06:16 PM,16,25,25,22,27,0,68,0.0,1014,23,10,60,20,Cape_Verde
2013-01-12,23,23,0.0,11.1,6,0,07:27 AM,07:17 PM,07:04 AM,06:17 PM,18,25,25,23,34,0,72,0.0,1014,23,10,55,23,Cape_Verde
2013-01-13,23,23,0.0,11.1,6,5,08:17 AM,08:16 PM,07:04 AM,06:17 PM,19,25,25,23,45,0,75,0.0,1014,23,10,47,30,Cape_Verde
2013-01-14,23,23,0.0,11.1,6,12,09:04 AM,09:14 PM,07:04 AM,06:18 PM,18,25,25,23,46,3,73,0.0,1014,23,10,48,32,Cape_Verde
2013-01-15,23,23,0.0,10.1,6,20,09:47 AM,10:08 PM,07:04 AM,06:18 PM,17,25,25,23,48,46,70,0.0,1013,23,10,61,34,Cape_Verde
2013-01-16,23,23,0.0,11.2,6,27,10:28 AM,11:01 PM,07:04 AM,06:19 PM,18,25,25,23,41,37,73,0.0,1014,23,10,70,29,Cape_Verde
2013-01-17,23,23,0.0,11.2,6,34,11:09 AM,11:52 PM,07:04 AM,06:20 PM,17,25,25,23,45,17,68,0.0,1016,23,10,65,32,Cape_Verde
2013-01-18,23,22,0.0,11.2,6,41,11:49 AM,No moonset,07:04 AM,06:20 PM,16,25,25,23,43,20,66,0.0,1017,23,10,49,31,Cape_Verde
2013-01-19,23,22,0.0,11.2,6,49,12:30 PM,12:42 AM,07:04 AM,06:21 PM,17,25,25,23,47,9,69,0.0,1016,23,10,46,34,Cape_Verde
2013-01-20,22,22,0.0,11.2,6,56,01:13 PM,01:32 AM,07:04 AM,06:21 PM,18,25,25,22,42,17,78,0.0,1015,22,10,45,31,Cape_Verde
2013-01-21,22,22,0.0,10.1,6,63,01:57 PM,02:21 AM,07:04 AM,06:22 PM,18,22,24,22,34,33,79,0.0,1015,22,10,44,25,Cape_Verde
2013-01-22,22,21,0.0,11.2,6,70,02:43 PM,03:11 AM,07:04 AM,06:23 PM,18,22,24,22,39,34,78,0.0,1016,22,10,40,29,Cape_Verde
2013-01-23,22,21,0.0,11.2,6,78,03:32 PM,04:00 AM,07:04 AM,06:23 PM,17,22,24,22,52,38,77,0.0,1017,22,10,46,39,Cape_Verde
2013-01-24,21,21,0.0,11.2,6,85,04:21 PM,04:47 AM,07:04 AM,06:24 PM,16,21,23,21,54,17,74,0.0,1018,21,10,42,42,Cape_Verde
2013-01-25,22,21,0.0,11.2,6,92,05:12 PM,05:34 AM,07:04 AM,06:24 PM,16,22,24,22,54,1,72,0.0,1018,22,10,43,40,Cape_Verde
2013-01-26,23,21,0.0,11.2,6,100,06:03 PM,06:18 AM,07:04 AM,06:25 PM,17,25,25,22,53,0,71,0.0,1018,23,10,49,38,Cape_Verde
2013-01-27,22,21,0.0,10.1,6,100,06:55 PM,07:01 AM,07:04 AM,06:25 PM,17,21,23,21,49,30,78,0.0,1019,22,10,47,37,Cape_Verde
2013-01-28,22,21,0.0,11.2,6,86,07:47 PM,07:43 AM,07:04 AM,06:26 PM,17,21,23,21,39,16,78,0.0,1018,22,10,52,28,Cape_Verde
2013-01-29,23,22,0.0,11.2,6,79,08:38 PM,08:23 AM,07:03 AM,06:26 PM,17,25,25,22,36,0,70,0.0,1017,23,10,56,25,Cape_Verde
2013-01-30,23,22,0.0,11.2,6,71,09:31 PM,09:04 AM,07:03 AM,06:27 PM,17,25,25,22,40,0,72,0.0,1016,23,10,62,27,Cape_Verde
2013-01-31,22,22,0.0,11.2,6,68,10:24 PM,09:45 AM,07:03 AM,06:27 PM,17,25,25,22,32,0,72,0.0,1015,22,10,69,23,Cape_Verde
2013-02-01,23,22,0.0,11.3,6,51,11:19 PM,10:27 AM,07:03 AM,06:28 PM,18,25,25,22,31,9,76,0.0,1015,23,10,60,20,Cape_Verde
2013-02-02,23,22,0.0,11.3,6,44,No moonrise,11:13 AM,07:03 AM,06:28 PM,18,25,25,23,42,19,77,0.0,1015,23,10,42,25,Cape_Verde
2013-02-03,22,22,0.0,8.6,6,36,12:16 AM,12:02 PM,07:02 AM,06:29 PM,18,22,25,22,41,46,77,0.0,1015,22,10,59,29,Cape_Verde
2013-02-04,22,21,0.0,11.3,6,29,01:16 AM,12:55 PM,07:02 AM,06:29 PM,17,22,24,22,42,28,76,0.0,1013,22,10,47,30,Cape_Verde
2013-02-05,23,22,0.0,11.3,6,21,02:16 AM,01:52 PM,07:02 AM,06:30 PM,18,25,25,23,24,18,75,0.0,1013,23,10,75,16,Cape_Verde
2013-02-06,23,22,0.0,11.3,6,14,03:17 AM,02:52 PM,07:01 AM,06:30 PM,19,25,25,23,35,4,79,0.0,1014,23,10,63,23,Cape_Verde
2013-02-07,23,23,0.0,11.3,6,6,04:16 AM,03:55 PM,07:01 AM,06:31 PM,18,25,25,23,43,5,78,0.0,1014,23,10,63,29,Cape_Verde
2013-02-08,22,22,0.0,11.3,6,0,05:12 AM,04:57 PM,07:01 AM,06:31 PM,18,25,25,22,46,6,76,0.1,1015,22,10,43,32,Cape_Verde
2013-02-09,21,21,0.0,11.3,6,0,06:04 AM,05:58 PM,07:00 AM,06:32 PM,17,21,23,21,52,12,79,0.0,1015,21,10,35,39,Cape_Verde
2013-02-10,21,20,0.0,7.1,5,0,06:52 AM,06:57 PM,07:00 AM,06:32 PM,16,20,20,20,50,65,78,0.0,1015,21,10,35,38,Cape_Verde
2013-02-11,21,20,0.0,11.6,6,1,07:38 AM,07:53 PM,06:59 AM,06:32 PM,17,21,21,21,42,26,80,0.0,1014,21,10,33,31,Cape_Verde
2013-02-12,22,21,0.0,11.6,6,9,08:21 AM,08:47 PM,06:59 AM,06:33 PM,18,21,23,21,29,1,81,0.0,1012,22,10,17,21,Cape_Verde
2013-02-13,22,21,0.0,11.6,6,16,09:02 AM,09:41 PM,06:59 AM,06:33 PM,18,22,24,22,31,7,78,0.0,1013,22,10,25,22,Cape_Verde
2013-02-14,22,21,0.0,11.6,6,24,09:44 AM,10:32 PM,06:58 AM,06:34 PM,18,22,24,22,45,10,79,0.0,1014,22,10,32,32,Cape_Verde
2013-02-15,22,21,0.0,11.6,6,31,10:25 AM,11:23 PM,06:58 AM,06:34 PM,17,21,24,21,46,31,78,0.0,1015,22,10,30,33,Cape_Verde
2013-02-16,21,20,0.0,11.6,6,39,11:08 AM,No moonset,06:57 AM,06:34 PM,17,21,21,21,45,35,78,0.0,1015,21,10,25,34,Cape_Verde
2013-02-17,21,20,0.0,10.2,6,46,11:52 AM,12:13 AM,06:57 AM,06:35 PM,17,21,21,21,37,38,79,0.0,1015,21,10,21,28,Cape_Verde
2013-02-18,21,21,0.0,11.6,6,54,12:37 PM,01:04 AM,06:56 AM,06:35 PM,17,21,23,21,36,4,80,0.0,1014,21,10,13,27,Cape_Verde
2013-02-19,21,21,0.0,11.6,6,62,01:25 PM,01:53 AM,06:56 AM,06:36 PM,17,21,23,21,43,9,77,0.0,1015,21,10,43,31,Cape_Verde
2013-02-20,21,20,0.0,11.6,6,69,02:13 PM,02:41 AM,06:55 AM,06:36 PM,17,21,22,21,44,28,80,0.0,1015,21,10,50,33,Cape_Verde
2013-02-21,21,21,0.0,11.6,6,77,03:04 PM,03:28 AM,06:54 AM,06:36 PM,17,21,23,21,45,3,78,0.0,1015,21,10,46,33,Cape_Verde
2013-02-22,22,21,0.0,11.6,6,84,03:55 PM,04:13 AM,06:54 AM,06:36 PM,18,21,24,21,43,4,80,0.0,1015,22,10,42,32,Cape_Verde
2013-02-23,22,22,0.0,11.6,6,92,04:46 PM,04:56 AM,06:53 AM,06:37 PM,17,22,24,22,44,0,76,0.0,1014,22,10,49,31,Cape_Verde
2013-02-24,22,22,0.0,11.6,6,99,05:39 PM,05:39 AM,06:53 AM,06:37 PM,17,22,24,22,30,0,76,0.0,1013,22,10,40,21,Cape_Verde
2013-02-25,22,21,0.0,11.6,6,100,06:31 PM,06:20 AM,06:52 AM,06:37 PM,17,21,24,21,26,0,75,0.0,1013,22,10,17,19,Cape_Verde
2013-02-26,21,21,0.0,11.6,6,86,07:24 PM,07:02 AM,06:51 AM,06:38 PM,17,21,24,21,33,6,77,0.0,1014,21,10,27,24,Cape_Verde
2013-02-27,21,21,0.0,11.6,6,78,08:18 PM,07:44 AM,06:51 AM,06:38 PM,17,21,23,21,35,32,79,0.0,1015,21,10,35,26,Cape_Verde
2013-02-28,21,21,0.0,11.6,6,71,09:14 PM,08:26 AM,06:50 AM,06:38 PM,18,21,22,21,32,2,81,0.0,1015,21,10,46,24,Cape_Verde
