date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,30,19,0.0,11.6,6,68,10:22 PM,09:34 AM,06:10 AM,07:40 PM,11,25,25,25,11,17,44,0.4,1007,30,10,196,8,Namibia
2013-01-02,29,20,0.0,11.6,6,60,11:00 PM,10:26 AM,06:11 AM,07:41 PM,11,25,25,24,9,32,46,0.8,1009,29,10,216,7,Namibia
2013-01-03,30,19,0.0,11.6,6,53,11:38 PM,11:21 AM,06:12 AM,07:41 PM,9,24,24,24,11,5,41,0.2,1010,30,10,194,8,Namibia
2013-01-04,30,19,0.0,11.6,6,46,No moonrise,12:16 PM,06:12 AM,07:41 PM,2,24,24,25,12,1,24,0.0,1011,30,10,146,8,Namibia
2013-01-05,31,19,0.0,11.6,7,38,12:18 AM,01:13 PM,06:13 AM,07:41 PM,4,26,26,26,9,0,24,0.0,1009,31,10,171,6,Namibia
2013-01-06,31,20,0.0,11.6,7,31,01:01 AM,02:13 PM,06:14 AM,07:41 PM,7,25,25,26,10,2,31,0.0,1010,31,10,104,8,Namibia
2013-01-07,31,20,0.0,11.6,7,24,01:48 AM,03:16 PM,06:14 AM,07:42 PM,10,26,26,26,20,6,39,0.1,1012,31,10,82,14,Namibia
2013-01-08,32,22,0.0,11.6,7,17,02:40 AM,04:20 PM,06:15 AM,07:42 PM,10,26,26,26,22,6,36,1.6,1011,32,10,81,16,Namibia
2013-01-09,30,20,0.0,11.6,7,9,03:38 AM,05:24 PM,06:16 AM,07:42 PM,12,26,26,25,11,9,45,2.9,1010,30,10,158,8,Namibia
2013-01-10,29,21,0.0,11.6,6,2,04:40 AM,06:24 PM,06:16 AM,07:42 PM,12,25,25,24,9,16,48,3.3,1010,29,10,194,7,Namibia
2013-01-11,30,19,0.0,11.6,6,0,05:46 AM,07:21 PM,06:17 AM,07:42 PM,7,23,23,24,13,5,38,0.0,1009,30,10,231,10,Namibia
2013-01-12,28,19,0.0,11.6,6,0,06:51 AM,08:13 PM,06:18 AM,07:42 PM,9,24,24,24,11,10,38,0.7,1009,28,10,136,8,Namibia
2013-01-13,29,21,0.0,11.6,6,5,07:55 AM,08:59 PM,06:19 AM,07:42 PM,11,26,26,25,8,7,43,0.6,1008,29,10,168,6,Namibia
2013-01-14,29,19,0.0,11.6,6,12,08:57 AM,09:42 PM,06:19 AM,07:42 PM,12,25,25,24,9,8,48,4.1,1008,29,10,70,6,Namibia
2013-01-15,29,20,0.0,11.6,6,20,09:55 AM,10:22 PM,06:20 AM,07:42 PM,13,26,26,25,10,17,49,0.9,1009,29,10,94,8,Namibia
2013-01-16,32,21,0.0,11.6,7,27,10:51 AM,11:01 PM,06:21 AM,07:42 PM,11,26,26,26,12,11,43,3.0,1009,32,10,160,9,Namibia
2013-01-17,28,21,0.0,11.6,6,34,11:45 AM,11:39 PM,06:21 AM,07:42 PM,14,26,26,24,19,15,55,7.5,1009,28,9,155,13,Namibia
2013-01-18,29,20,0.0,11.6,6,41,12:38 PM,No moonset,06:22 AM,07:42 PM,14,25,25,24,17,19,57,5.0,1009,29,10,185,12,Namibia
2013-01-19,29,19,0.0,11.6,6,49,01:30 PM,12:17 AM,06:23 AM,07:42 PM,12,23,23,23,15,8,52,0.3,1009,29,10,215,11,Namibia
2013-01-20,30,18,0.0,11.6,6,56,02:21 PM,12:57 AM,06:24 AM,07:42 PM,11,24,24,24,12,5,46,0.0,1009,30,10,184,9,Namibia
2013-01-21,31,18,0.0,11.6,6,63,03:12 PM,01:39 AM,06:24 AM,07:42 PM,6,24,24,25,12,1,35,0.0,1011,31,10,150,8,Namibia
2013-01-22,32,19,0.0,11.6,7,70,04:02 PM,02:23 AM,06:25 AM,07:41 PM,5,25,25,26,14,3,29,0.0,1011,32,10,134,9,Namibia
2013-01-23,29,20,0.0,11.6,6,78,04:50 PM,03:10 AM,06:26 AM,07:41 PM,10,26,26,25,11,5,40,1.6,1012,29,10,73,7,Namibia
2013-01-24,30,19,0.0,11.6,6,85,05:37 PM,03:59 AM,06:26 AM,07:41 PM,10,25,25,25,14,5,42,0.3,1012,30,10,96,10,Namibia
2013-01-25,31,19,0.0,11.6,7,92,06:21 PM,04:50 AM,06:27 AM,07:41 PM,4,25,25,25,18,1,27,0.0,1012,31,10,82,12,Namibia
2013-01-26,32,18,0.0,11.6,7,100,07:04 PM,05:42 AM,06:28 AM,07:40 PM,1,25,25,26,13,11,20,0.0,1012,32,10,98,9,Namibia
2013-01-27,32,21,0.0,10.3,7,100,07:45 PM,06:35 AM,06:28 AM,07:40 PM,3,26,26,27,14,22,23,0.0,1011,32,10,104,10,Namibia
2013-01-28,32,20,0.0,11.6,7,86,08:23 PM,07:29 AM,06:29 AM,07:40 PM,5,26,26,26,14,15,26,0.1,1012,32,10,138,10,Namibia
2013-01-29,30,20,0.0,11.6,6,79,09:02 PM,08:22 AM,06:30 AM,07:40 PM,8,25,25,25,10,19,36,0.0,1013,30,10,126,7,Namibia
2013-01-30,30,19,0.0,11.6,6,71,09:40 PM,09:17 AM,06:31 AM,07:39 PM,8,24,24,24,10,11,37,0.3,1012,30,10,190,6,Namibia
2013-01-31,33,18,0.0,11.6,6,68,10:19 PM,10:12 AM,06:31 AM,07:39 PM,-3,24,24,25,18,1,17,0.0,1011,33,10,139,11,Namibia
2013-02-01,34,18,0.0,11.6,7,51,11:01 PM,11:08 AM,06:32 AM,07:38 PM,-4,25,25,26,14,0,15,0.0,1011,34,10,148,8,Namibia
2013-02-02,34,19,0.0,11.6,7,44,11:45 PM,12:06 PM,06:33 AM,07:38 PM,4,26,26,26,15,12,26,0.0,1008,34,10,178,9,Namibia
2013-02-03,32,20,0.0,11.6,7,36,No moonrise,01:06 PM,06:33 AM,07:38 PM,7,26,26,25,10,30,33,0.8,1007,32,10,223,7,Namibia
2013-02-04,31,17,0.0,11.6,6,29,12:34 AM,02:08 PM,06:34 AM,07:37 PM,8,23,23,23,11,14,42,0.8,1009,31,10,187,7,Namibia
2013-02-05,31,17,0.0,11.6,6,21,01:28 AM,03:09 PM,06:35 AM,07:37 PM,9,23,23,23,15,23,44,0.4,1011,31,10,159,9,Namibia
2013-02-06,28,19,0.0,11.6,6,14,02:25 AM,04:09 PM,06:35 AM,07:36 PM,10,24,24,24,11,10,43,1.1,1012,28,10,114,7,Namibia
2013-02-07,28,20,0.0,11.6,6,6,03:28 AM,05:07 PM,06:36 AM,07:36 PM,8,25,25,24,9,4,38,0.6,1010,28,10,214,6,Namibia
2013-02-08,29,17,0.0,11.6,6,0,04:31 AM,05:59 PM,06:36 AM,07:35 PM,9,22,22,23,17,4,43,0.8,1009,29,10,201,12,Namibia
2013-02-09,29,14,0.0,11.6,6,0,05:35 AM,06:48 PM,06:37 AM,07:35 PM,-1,22,21,22,16,0,23,0.0,1010,29,10,259,10,Namibia
2013-02-10,30,14,0.0,11.6,6,0,06:37 AM,07:33 PM,06:38 AM,07:34 PM,0,22,21,22,16,0,26,0.0,1011,30,10,224,11,Namibia
2013-02-11,30,13,0.0,11.6,6,1,07:38 AM,08:15 PM,06:38 AM,07:33 PM,-2,22,21,22,15,0,22,0.0,1010,30,10,205,9,Namibia
2013-02-12,30,15,0.0,11.6,6,9,08:35 AM,08:55 PM,06:39 AM,07:33 PM,5,24,24,24,8,11,30,0.0,1009,30,10,152,5,Namibia
2013-02-13,28,16,0.0,11.6,6,16,09:32 AM,09:34 PM,06:39 AM,07:32 PM,9,23,23,23,8,4,42,0.1,1009,28,10,129,5,Namibia
2013-02-14,29,17,0.0,11.6,6,24,10:26 AM,10:13 PM,06:40 AM,07:31 PM,9,23,23,24,9,5,41,0.0,1009,29,10,96,6,Namibia
2013-02-15,31,16,0.0,11.6,6,31,11:20 AM,10:53 PM,06:41 AM,07:31 PM,11,23,23,23,15,18,49,1.3,1010,31,10,113,10,Namibia
2013-02-16,28,17,0.0,11.6,6,39,12:12 PM,11:35 PM,06:41 AM,07:30 PM,12,22,22,22,14,19,57,1.0,1011,28,10,162,9,Namibia
2013-02-17,29,17,0.0,11.6,6,46,01:04 PM,No moonset,06:42 AM,07:29 PM,11,23,23,23,14,9,53,2.9,1010,29,10,116,9,Namibia
2013-02-18,28,16,0.0,11.6,6,54,01:54 PM,12:18 AM,06:42 AM,07:29 PM,9,23,23,23,10,5,41,0.0,1009,28,10,109,7,Namibia
2013-02-19,28,19,0.0,11.6,5,62,02:43 PM,01:04 AM,06:43 AM,07:28 PM,12,24,24,23,11,16,52,2.6,1010,28,10,206,8,Namibia
2013-02-20,28,18,0.0,11.6,6,69,03:31 PM,01:52 AM,06:43 AM,07:27 PM,13,22,22,22,13,15,59,2.5,1013,28,10,159,9,Namibia
2013-02-21,27,17,0.0,11.6,6,77,04:16 PM,02:42 AM,06:44 AM,07:27 PM,12,22,22,22,10,9,57,4.8,1013,27,10,138,6,Namibia
2013-02-22,29,16,0.0,11.6,6,84,04:59 PM,03:34 AM,06:44 AM,07:26 PM,8,23,23,23,6,5,38,0.1,1011,29,10,92,4,Namibia
2013-02-23,31,16,0.0,11.6,6,92,05:41 PM,04:26 AM,06:45 AM,07:25 PM,1,23,23,24,21,7,26,0.0,1012,31,10,116,14,Namibia
2013-02-24,32,18,0.0,11.6,6,99,06:20 PM,05:20 AM,06:45 AM,07:24 PM,4,24,24,24,19,12,28,0.0,1012,32,10,81,12,Namibia
2013-02-25,33,19,0.0,11.6,7,100,07:00 PM,06:14 AM,06:46 AM,07:23 PM,2,25,25,25,17,13,24,0.6,1012,33,10,122,11,Namibia
2013-02-26,31,17,0.0,11.6,6,86,07:39 PM,07:09 AM,06:46 AM,07:23 PM,9,24,24,24,14,20,42,0.1,1014,31,10,244,8,Namibia
2013-02-27,31,17,0.0,11.6,6,78,08:19 PM,08:05 AM,06:47 AM,07:22 PM,10,23,23,24,13,13,47,1.9,1013,31,10,142,8,Namibia
2013-02-28,29,17,0.0,11.6,6,71,09:00 PM,09:02 AM,06:47 AM,07:21 PM,8,22,22,23,13,9,44,0.1,1012,29,10,252,8,Namibia
2013-03-01,29,14,0.0,11.6,6,68,09:45 PM,10:01 AM,06:48 AM,07:20 PM,-1,21,20,21,13,0,25,0.0,1012,29,10,154,8,Namibia
2013-03-02,30,15,0.0,11.6,6,61,10:32 PM,11:01 AM,06:48 AM,07:19 PM,1,22,22,22,18,1,25,0.0,1013,30,10,94,11,Namibia
