date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,35,20,0.0,11.6,7,68,09:49 PM,09:35 AM,06:47 AM,06:23 PM,-4,26,26,27,18,3,13,0.0,1010,35,10,127,10,Nigeria
2013-01-02,36,19,0.0,11.6,7,60,10:37 PM,10:17 AM,06:47 AM,06:23 PM,-2,26,26,27,14,4,15,0.0,1011,36,10,134,8,Nigeria
2013-01-03,37,20,0.0,11.6,7,53,11:27 PM,10:59 AM,06:48 AM,06:24 PM,-1,27,27,28,13,2,16,0.0,1012,37,10,133,7,Nigeria
2013-01-04,36,21,0.0,11.6,7,46,No moonrise,11:43 AM,06:48 AM,06:24 PM,1,27,27,28,15,1,18,0.0,1012,36,10,163,8,Nigeria
2013-01-05,36,21,0.0,11.6,7,38,12:18 AM,12:29 PM,06:48 AM,06:25 PM,2,27,27,28,14,5,19,0.0,1011,36,10,139,8,Nigeria
2013-01-06,35,20,0.0,11.6,7,31,01:12 AM,01:19 PM,06:49 AM,06:25 PM,6,27,27,27,11,3,26,0.0,1011,35,10,149,6,Nigeria
2013-01-07,36,21,0.0,11.6,7,24,02:09 AM,02:12 PM,06:49 AM,06:26 PM,2,26,26,27,13,3,20,0.0,1012,36,10,110,7,Nigeria
2013-01-08,37,20,0.0,11.6,7,17,03:09 AM,03:11 PM,06:49 AM,06:27 PM,2,27,27,28,14,0,20,0.0,1013,37,10,135,7,Nigeria
2013-01-09,37,21,0.0,11.6,7,9,04:11 AM,04:12 PM,06:50 AM,06:27 PM,1,27,27,28,17,0,18,0.0,1012,37,10,128,9,Nigeria
2013-01-10,36,20,0.0,11.6,7,2,05:14 AM,05:16 PM,06:50 AM,06:28 PM,-2,26,26,27,13,1,15,0.0,1012,36,10,128,7,Nigeria
2013-01-11,38,20,0.0,11.6,7,0,06:15 AM,06:18 PM,06:50 AM,06:28 PM,1,27,27,28,15,0,18,0.0,1011,38,10,122,8,Nigeria
2013-01-12,38,20,0.0,11.6,7,0,07:13 AM,07:19 PM,06:51 AM,06:29 PM,1,27,27,28,15,0,19,0.0,1010,38,10,116,8,Nigeria
2013-01-13,38,21,0.0,11.6,7,5,08:06 AM,08:17 PM,06:51 AM,06:29 PM,1,27,27,28,16,2,17,0.0,1009,38,10,137,8,Nigeria
2013-01-14,38,21,0.0,11.6,7,12,08:55 AM,09:12 PM,06:51 AM,06:30 PM,2,27,27,28,10,1,19,0.0,1008,38,10,164,6,Nigeria
