date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01,21,14,0.0,12.6,5,0,05:42 AM,06:21 PM,05:57 AM,06:15 PM,13,17,18,17,5,38,79,1.0,1013,21,10,280,3,Burundi
2014-01-02,22,13,0.0,12.6,5,2,06:44 AM,07:22 PM,05:57 AM,06:16 PM,14,18,18,18,5,30,80,1.0,1013,22,10,251,3,Burundi
2014-01-03,24,14,0.0,12.6,5,10,07:45 AM,08:19 PM,05:58 AM,06:16 PM,14,19,19,19,9,25,78,0.0,1013,24,10,123,5,Burundi
2014-01-04,25,13,0.0,12.6,5,17,08:43 AM,09:13 PM,05:58 AM,06:17 PM,14,19,20,19,7,16,74,0.1,1012,25,10,72,5,Burundi
2014-01-05,25,13,0.0,12.6,5,24,09:38 AM,10:05 PM,05:59 AM,06:17 PM,13,19,20,19,8,19,70,0.9,1012,25,10,261,5,Burundi
2014-01-06,24,13,0.0,12.6,5,31,10:31 AM,10:54 PM,05:59 AM,06:17 PM,13,19,19,19,5,22,71,1.0,1011,24,10,186,3,Burundi
2014-01-07,24,15,0.0,12.2,5,39,11:22 AM,11:42 PM,06:00 AM,06:18 PM,14,19,20,19,5,26,71,2.5,1011,24,10,204,3,Burundi
2014-01-08,22,14,0.0,12.2,5,46,12:11 PM,No moonset,06:00 AM,06:18 PM,14,18,19,18,8,41,79,2.3,1013,22,10,223,6,Burundi
2014-01-09,21,14,0.0,12.2,5,53,01:00 PM,12:28 AM,06:00 AM,06:19 PM,14,18,18,18,4,44,80,1.0,1014,21,9,231,3,Burundi
2014-01-10,24,14,0.0,11.6,4,61,01:49 PM,01:16 AM,06:01 AM,06:19 PM,14,19,20,19,7,26,77,3.5,1013,24,10,153,5,Burundi
2014-01-11,24,13,0.0,11.6,5,68,02:37 PM,02:03 AM,06:01 AM,06:19 PM,14,19,19,19,7,20,74,1.9,1014,24,10,159,5,Burundi
2014-01-12,25,14,0.0,11.6,5,75,03:26 PM,02:51 AM,06:02 AM,06:20 PM,13,20,20,20,7,21,69,0.3,1014,25,10,196,4,Burundi
2014-01-13,22,15,0.0,11.6,5,82,04:14 PM,03:39 AM,06:02 AM,06:20 PM,14,18,19,18,5,32,76,1.3,1014,22,10,245,3,Burundi
2014-01-14,24,14,0.0,11.6,4,90,05:02 PM,04:27 AM,06:03 AM,06:20 PM,14,19,20,19,6,27,74,3.4,1013,24,10,225,4,Burundi
2014-01-15,24,13,0.0,11.6,5,97,05:49 PM,05:15 AM,06:03 AM,06:21 PM,13,19,19,19,6,21,73,0.0,1014,24,10,178,4,Burundi
2014-01-16,24,14,0.0,11.6,5,100,06:34 PM,06:02 AM,06:03 AM,06:21 PM,14,19,20,19,5,20,73,3.9,1015,24,10,98,4,Burundi
2014-01-17,24,14,0.0,11.6,5,89,07:18 PM,06:48 AM,06:04 AM,06:21 PM,14,19,20,19,6,19,74,3.8,1015,24,10,267,4,Burundi
2014-01-18,24,13,0.0,11.6,5,81,08:01 PM,07:34 AM,06:04 AM,06:21 PM,13,19,19,19,5,14,71,1.9,1014,24,10,245,3,Burundi
2014-01-19,25,13,0.0,11.6,5,74,08:43 PM,08:17 AM,06:05 AM,06:22 PM,13,20,20,20,4,18,71,1.0,1014,25,10,240,2,Burundi
