date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01,33,17,0.0,8.7,6,0,06:04 AM,06:00 PM,06:20 AM,05:47 PM,-7,23,23,24,23,0,14,0.0,1012,33,10,106,14,Chad
2014-01-02,33,18,0.0,8.7,6,2,07:04 AM,07:04 PM,06:21 AM,05:47 PM,-3,24,24,25,23,0,16,0.0,1012,33,10,61,13,Chad
2014-01-03,33,18,0.0,8.7,6,10,08:00 AM,08:05 PM,06:21 AM,05:48 PM,-1,24,24,25,26,2,19,0.0,1012,33,10,65,15,Chad
2014-01-04,32,18,0.0,8.7,6,17,08:53 AM,09:05 PM,06:21 AM,05:48 PM,-1,24,24,24,26,0,19,0.0,1013,32,10,25,15,Chad
2014-01-05,32,17,0.0,8.7,6,24,09:43 AM,10:02 PM,06:22 AM,05:49 PM,-1,23,23,24,26,0,21,0.0,1012,32,10,30,16,Chad
2014-01-06,32,16,0.0,8.7,6,31,10:29 AM,10:56 PM,06:22 AM,05:49 PM,-1,23,23,23,26,0,21,0.0,1012,32,10,31,16,Chad
2014-01-07,32,17,0.0,8.7,6,39,11:15 AM,11:49 PM,06:22 AM,05:50 PM,-1,23,23,24,26,0,21,0.0,1012,32,10,24,16,Chad
2014-01-08,32,18,0.0,8.7,6,46,11:59 AM,No moonset,06:23 AM,05:50 PM,-0,23,23,24,27,0,22,0.0,1012,32,10,23,16,Chad
2014-01-09,31,17,0.0,8.7,6,53,12:44 PM,12:41 AM,06:23 AM,05:51 PM,-3,23,23,23,28,0,18,0.0,1013,31,10,32,17,Chad
2014-01-10,30,15,0.0,8.7,6,61,01:29 PM,01:32 AM,06:23 AM,05:51 PM,-1,22,21,22,27,0,23,0.0,1014,30,10,32,17,Chad
2014-01-11,31,14,0.0,8.7,6,68,02:15 PM,02:22 AM,06:23 AM,05:52 PM,-3,22,22,22,26,0,20,0.0,1015,31,10,31,16,Chad
2014-01-12,32,15,0.0,8.7,6,75,03:03 PM,03:12 AM,06:24 AM,05:53 PM,-3,22,22,23,24,0,20,0.0,1015,32,10,67,14,Chad
2014-01-13,32,16,0.0,8.7,6,82,03:51 PM,04:01 AM,06:24 AM,05:53 PM,-2,22,22,23,22,0,21,0.0,1014,32,10,143,12,Chad
2014-01-14,33,16,0.0,8.7,6,90,04:39 PM,04:49 AM,06:24 AM,05:54 PM,-3,22,22,23,19,0,20,0.0,1012,33,10,184,10,Chad
2014-01-15,35,17,0.0,8.7,6,97,05:28 PM,05:36 AM,06:24 AM,05:54 PM,-5,24,24,25,19,0,17,0.0,1012,35,10,222,11,Chad
2014-01-16,35,19,0.0,8.7,7,100,06:16 PM,06:20 AM,06:24 AM,05:55 PM,-5,25,25,26,21,0,15,0.0,1013,35,10,19,13,Chad
2014-01-17,36,19,0.0,8.7,7,89,07:03 PM,07:03 AM,06:25 AM,05:55 PM,-7,26,26,27,27,0,11,0.0,1013,36,10,32,16,Chad
2014-01-18,36,19,0.0,8.7,7,81,07:51 PM,07:44 AM,06:25 AM,05:56 PM,-5,26,26,27,27,1,13,0.0,1013,36,10,22,16,Chad
2014-01-19,36,18,0.0,8.7,7,74,08:37 PM,08:24 AM,06:25 AM,05:56 PM,-7,25,25,26,24,0,12,0.0,1013,36,10,71,14,Chad
