date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01,17,10,0.0,8.7,4,0,06:26 AM,05:23 PM,06:51 AM,05:06 PM,10,15,15,15,9,14,74,0.0,1020,17,10,215,6,Egypt
2014-01-02,18,10,0.0,8.7,4,2,07:23 AM,06:32 PM,06:51 AM,05:07 PM,9,15,15,15,10,7,68,0.0,1020,18,10,109,7,Egypt
2014-01-03,18,10,0.0,8.7,4,10,08:13 AM,07:41 PM,06:51 AM,05:08 PM,10,15,15,15,12,12,70,0.0,1020,18,10,178,8,Egypt
2014-01-04,18,11,0.0,8.7,4,17,09:00 AM,08:47 PM,06:52 AM,05:08 PM,10,14,14,14,17,24,78,0.0,1019,18,10,337,11,Egypt
2014-01-05,18,10,0.0,8.7,4,24,09:42 AM,09:52 PM,06:52 AM,05:09 PM,10,14,14,14,15,22,76,0.0,1019,18,9,209,10,Egypt
2014-01-06,19,10,0.0,8.7,4,31,10:22 AM,10:53 PM,06:52 AM,05:10 PM,9,13,14,13,25,16,72,0.0,1020,19,10,50,17,Egypt
2014-01-07,19,11,0.0,8.7,4,39,11:00 AM,11:53 PM,06:52 AM,05:11 PM,5,14,15,14,19,14,55,0.0,1017,19,10,69,12,Egypt
2014-01-08,20,10,0.0,8.7,4,46,11:39 AM,No moonset,06:52 AM,05:12 PM,4,16,16,16,14,10,44,0.1,1014,20,10,168,9,Egypt
2014-01-09,15,11,0.0,5.6,3,53,12:17 PM,12:51 AM,06:52 AM,05:12 PM,7,13,13,13,11,59,69,0.0,1016,15,10,280,7,Egypt
2014-01-10,17,9,0.0,8.7,4,61,12:58 PM,01:48 AM,06:52 AM,05:13 PM,8,14,14,14,12,10,69,0.0,1020,17,10,296,8,Egypt
2014-01-11,17,9,0.0,8.7,4,68,01:40 PM,02:42 AM,06:52 AM,05:14 PM,10,16,16,16,11,5,70,0.0,1025,17,10,257,8,Egypt
2014-01-12,19,11,0.0,8.7,4,75,02:25 PM,03:35 AM,06:52 AM,05:15 PM,10,17,17,17,9,18,67,0.0,1025,19,10,136,6,Egypt
2014-01-13,19,11,0.0,8.7,4,82,03:13 PM,04:25 AM,06:52 AM,05:16 PM,10,15,16,15,17,23,71,0.0,1021,19,10,45,11,Egypt
2014-01-14,20,12,0.0,8.7,5,90,04:03 PM,05:13 AM,06:52 AM,05:17 PM,11,17,17,17,14,25,69,0.0,1017,20,10,73,9,Egypt
2014-01-15,20,12,0.0,8.7,4,97,04:54 PM,05:57 AM,06:52 AM,05:17 PM,9,15,15,15,22,13,69,0.0,1019,20,10,61,14,Egypt
2014-01-16,22,10,0.0,8.7,5,100,05:46 PM,06:38 AM,06:52 AM,05:18 PM,5,18,18,18,12,13,46,0.0,1017,22,10,181,8,Egypt
2014-01-17,20,12,0.0,8.7,5,89,06:38 PM,07:17 AM,06:51 AM,05:19 PM,7,16,17,16,19,2,57,0.0,1020,20,10,254,13,Egypt
2014-01-18,20,11,0.0,8.7,4,81,07:31 PM,07:53 AM,06:51 AM,05:20 PM,10,14,15,14,23,19,74,0.0,1023,20,8,37,15,Egypt
