date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01,8,1,0.0,8.7,2,0,07:02 AM,05:30 PM,07:45 AM,05:29 PM,-3,1,5,1,32,1,60,0.0,1015,8,10,275,18,South_Sudan
2014-01-02,6,0,0.0,8.7,2,2,07:58 AM,06:40 PM,07:45 AM,05:29 PM,-6,1,3,1,14,21,52,0.0,1021,6,10,186,7,South_Sudan
2014-01-03,9,1,0.0,7.0,2,10,08:48 AM,07:52 PM,07:45 AM,05:30 PM,-7,3,4,3,10,31,48,0.0,1018,9,10,213,5,South_Sudan
2014-01-04,3,-2,0.0,8.7,2,17,09:33 AM,09:02 PM,07:45 AM,05:31 PM,-5,-2,1,-2,15,7,66,0.0,1019,3,10,343,9,South_Sudan
2014-01-05,4,-2,0.0,8.7,2,24,10:13 AM,10:10 PM,07:45 AM,05:32 PM,-7,-1,1,-1,11,15,60,0.0,1023,4,10,219,6,South_Sudan
2014-01-06,5,-2,0.0,8.7,2,31,10:50 AM,11:16 PM,07:45 AM,05:33 PM,-7,-0,1,-0,9,9,55,0.0,1028,5,10,58,6,South_Sudan
2014-01-07,6,-1,0.0,7.0,2,39,11:26 AM,No moonset,07:45 AM,05:34 PM,-5,1,2,1,7,43,59,0.0,1026,6,10,131,4,South_Sudan
2014-01-08,4,-1,0.0,5.4,1,46,12:01 PM,12:19 AM,07:45 AM,05:34 PM,-3,-2,2,-2,22,61,73,0.6,1022,4,9,185,14,South_Sudan
2014-01-09,-2,-6,0.0,8.7,2,53,12:37 PM,01:21 AM,07:45 AM,05:35 PM,-14,-10,-4,-10,30,0,45,0.0,1028,-2,10,295,22,South_Sudan
2014-01-10,1,-7,0.1,3.7,1,61,01:15 PM,02:20 AM,07:45 AM,05:36 PM,-11,-7,-3,-7,14,70,55,0.2,1032,1,10,186,9,South_Sudan
2014-01-11,3,-3,0.0,5.4,1,68,01:55 PM,03:17 AM,07:45 AM,05:37 PM,-5,-1,-1,-1,6,61,72,0.1,1032,3,10,272,4,South_Sudan
2014-01-12,5,-4,0.0,7.0,2,75,02:38 PM,04:12 AM,07:45 AM,05:38 PM,-5,-3,1,-3,21,19,66,0.0,1029,5,10,283,14,South_Sudan
