date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01,30,26,0.0,8.7,7,0,05:53 AM,06:06 PM,06:05 AM,05:52 PM,23,31,31,28,19,15,76,2.1,1010,30,10,205,14,Togo
2014-01-02,31,26,0.0,8.7,7,2,06:53 AM,07:08 PM,06:06 AM,05:53 PM,23,32,32,28,13,13,75,0.9,1009,31,10,189,10,Togo
2014-01-03,32,26,0.0,8.7,7,10,07:52 AM,08:08 PM,06:06 AM,05:53 PM,23,33,33,29,13,11,74,0.3,1010,32,10,210,9,Togo
2014-01-04,32,26,0.0,8.7,7,17,08:46 AM,09:06 PM,06:07 AM,05:54 PM,24,33,33,29,13,11,76,0.0,1010,32,10,204,10,Togo
2014-01-05,31,26,0.0,8.7,7,24,09:38 AM,10:00 PM,06:07 AM,05:54 PM,23,32,32,28,16,18,77,0.1,1010,31,10,203,12,Togo
2014-01-06,32,26,0.0,8.7,7,31,10:26 AM,10:52 PM,06:07 AM,05:55 PM,23,32,32,29,16,12,73,1.2,1009,32,10,205,12,Togo
2014-01-07,32,26,0.0,8.7,7,39,11:14 AM,11:43 PM,06:08 AM,05:55 PM,23,32,32,29,17,10,72,1.5,1009,32,10,217,13,Togo
2014-01-08,32,26,0.0,8.7,7,46,12:00 PM,No moonset,06:08 AM,05:56 PM,23,33,33,29,17,9,72,3.2,1009,32,10,200,13,Togo
2014-01-09,32,26,0.0,8.7,7,53,12:47 PM,12:33 AM,06:08 AM,05:56 PM,23,32,32,28,16,9,74,1.2,1010,32,10,201,12,Togo
2014-01-10,32,26,0.0,8.7,7,61,01:34 PM,01:23 AM,06:09 AM,05:57 PM,23,32,32,29,14,13,72,0.7,1010,32,10,197,11,Togo
2014-01-11,32,26,0.0,8.7,7,68,02:20 PM,02:11 AM,06:09 AM,05:57 PM,24,33,33,29,14,8,74,0.0,1011,32,10,195,10,Togo
2014-01-12,32,26,0.0,8.7,7,75,03:09 PM,03:01 AM,06:09 AM,05:57 PM,24,33,33,29,14,9,74,0.6,1012,32,10,200,11,Togo
