date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01,24,17,0.0,11.6,6,0,06:33 AM,07:03 PM,06:50 AM,06:56 PM,18,21,22,21,8,36,88,0.0,1011,24,7,193,5,Uganda
2014-01-02,25,17,0.0,11.6,6,2,07:36 AM,08:04 PM,06:50 AM,06:57 PM,18,21,22,21,9,22,82,0.6,1011,25,9,194,6,Uganda
2014-01-03,26,16,0.0,11.6,6,10,08:35 AM,09:03 PM,06:51 AM,06:57 PM,18,21,22,21,10,15,81,0.1,1011,26,10,149,6,Uganda
2014-01-04,26,15,0.0,11.6,6,17,09:33 AM,09:58 PM,06:51 AM,06:58 PM,17,21,22,21,10,13,80,0.3,1010,26,10,164,6,Uganda
2014-01-05,27,17,0.0,11.6,6,24,10:26 AM,10:51 PM,06:52 AM,06:58 PM,18,22,23,22,9,12,76,0.0,1009,27,10,95,6,Uganda
2014-01-06,27,14,0.0,11.6,6,31,11:18 AM,11:41 PM,06:52 AM,06:59 PM,16,21,22,21,10,9,72,0.0,1009,27,10,174,6,Uganda
2014-01-07,26,18,0.0,11.6,6,39,12:07 PM,No moonset,06:53 AM,06:59 PM,18,22,23,22,8,16,79,0.1,1009,26,10,136,5,Uganda
2014-01-08,26,17,0.0,11.6,6,46,12:55 PM,12:30 AM,06:53 AM,07:00 PM,18,22,23,22,6,22,82,0.7,1010,26,10,155,4,Uganda
2014-01-09,30,16,0.0,10.3,6,53,01:43 PM,01:19 AM,06:54 AM,07:00 PM,18,21,22,21,6,36,84,0.1,1011,30,10,183,4,Uganda
2014-01-10,25,17,0.0,11.6,6,61,02:31 PM,02:06 AM,06:54 AM,07:00 PM,18,21,22,21,10,18,84,0.8,1012,25,10,157,6,Uganda
2014-01-11,26,15,0.0,11.6,6,68,03:19 PM,02:54 AM,06:54 AM,07:01 PM,18,21,22,21,8,10,82,0.1,1012,26,10,147,5,Uganda
2014-01-12,27,15,0.0,11.6,6,75,04:07 PM,03:43 AM,06:55 AM,07:01 PM,18,22,23,22,7,9,79,0.0,1012,27,10,139,5,Uganda
2014-01-13,27,14,0.0,11.6,6,82,04:56 PM,04:31 AM,06:55 AM,07:02 PM,18,22,23,22,7,8,78,0.0,1011,27,10,115,5,Uganda
2014-01-14,27,16,0.0,11.6,6,90,05:44 PM,05:20 AM,06:56 AM,07:02 PM,17,22,23,22,8,7,75,0.0,1010,27,10,107,5,Uganda
2014-01-15,26,16,0.0,11.6,6,97,06:30 PM,06:07 AM,06:56 AM,07:02 PM,16,22,22,22,13,8,71,0.0,1011,26,10,170,8,Uganda
2014-01-16,25,16,0.0,11.6,6,100,07:17 PM,06:53 AM,06:56 AM,07:03 PM,18,21,22,21,12,13,83,0.7,1013,25,10,164,8,Uganda
2014-01-17,27,15,0.0,11.6,6,89,08:02 PM,07:39 AM,06:57 AM,07:03 PM,18,22,23,22,8,12,80,0.0,1012,27,10,133,5,Uganda
2014-01-18,27,15,0.0,11.6,6,81,08:45 PM,08:23 AM,06:57 AM,07:03 PM,18,22,22,22,10,17,81,0.1,1012,27,9,147,6,Uganda
2014-01-19,26,17,0.0,11.6,6,74,09:29 PM,09:06 AM,06:57 AM,07:04 PM,18,22,23,22,12,15,80,0.4,1011,26,10,166,7,Uganda
2014-01-20,24,17,0.0,11.6,5,67,10:12 PM,09:49 AM,06:58 AM,07:04 PM,18,20,21,20,12,32,88,1.6,1012,24,9,163,7,Uganda
2014-01-21,25,18,0.0,10.3,6,59,10:56 PM,10:32 AM,06:58 AM,07:04 PM,18,21,22,21,9,34,86,1.7,1012,25,8,186,6,Uganda
2014-01-22,26,17,0.0,11.6,6,52,11:41 PM,11:17 AM,06:58 AM,07:05 PM,18,21,22,21,13,16,83,0.2,1011,26,8,157,8,Uganda
2014-01-23,26,16,0.0,11.6,6,45,No moonrise,12:03 PM,06:58 AM,07:05 PM,18,21,22,21,11,21,81,0.2,1010,26,10,185,7,Uganda
2014-01-24,26,16,0.0,11.6,6,38,12:28 AM,12:52 PM,06:59 AM,07:05 PM,18,22,22,22,13,14,82,0.2,1009,26,10,172,8,Uganda
2014-01-25,25,17,0.0,11.6,6,30,01:19 AM,01:44 PM,06:59 AM,07:05 PM,17,21,21,21,14,13,82,0.5,1009,25,10,193,9,Uganda
2014-01-26,25,17,0.0,11.6,6,23,02:13 AM,02:40 PM,06:59 AM,07:05 PM,17,21,22,21,14,11,79,0.2,1010,25,10,185,9,Uganda
2014-01-27,27,16,0.0,11.6,6,16,03:12 AM,03:40 PM,06:59 AM,07:06 PM,18,22,23,22,10,11,79,0.6,1010,27,10,195,6,Uganda
2014-01-28,26,16,0.0,11.6,6,9,04:12 AM,04:40 PM,07:00 AM,07:06 PM,17,21,22,21,13,8,79,0.2,1010,26,10,181,8,Uganda
2014-01-29,26,17,0.0,11.6,6,1,05:14 AM,05:42 PM,07:00 AM,07:06 PM,18,22,22,22,15,12,81,0.1,1010,26,10,187,9,Uganda
2014-01-30,27,16,0.0,11.6,6,0,06:14 AM,06:42 PM,07:00 AM,07:06 PM,18,22,23,22,12,5,78,0.1,1009,27,10,157,8,Uganda
2014-01-31,27,16,0.0,11.6,6,0,07:14 AM,07:41 PM,07:00 AM,07:06 PM,17,22,23,22,12,5,75,0.0,1009,27,10,156,8,Uganda
2014-02-01,27,17,0.0,11.6,6,6,08:10 AM,08:36 PM,07:00 AM,07:07 PM,17,22,23,22,11,11,77,0.4,1009,27,10,183,7,Uganda
2014-02-02,27,16,0.0,11.6,6,14,09:05 AM,09:30 PM,07:00 AM,07:07 PM,17,22,23,22,11,7,75,0.1,1008,27,10,195,7,Uganda
2014-02-03,28,16,0.0,11.6,6,21,09:57 AM,10:21 PM,07:00 AM,07:07 PM,18,22,23,22,9,16,76,0.0,1009,28,10,220,5,Uganda
