date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,10,4,0.0,8.7,3,72,03:01 PM,04:16 AM,08:00 AM,05:42 PM,6,8,10,8,18,31,76,1.2,1032,10,10,143,13,Algeria
2015-01-02,12,4,0.0,8.7,3,80,03:48 PM,05:15 AM,08:01 AM,05:43 PM,5,9,9,9,9,19,77,0.0,1037,12,10,262,6,Algeria
2015-01-03,14,6,0.0,8.7,3,87,04:37 PM,06:10 AM,08:01 AM,05:44 PM,6,11,12,11,15,3,68,0.0,1037,14,10,232,9,Algeria
2015-01-04,17,9,0.0,8.7,4,94,05:30 PM,07:02 AM,08:01 AM,05:45 PM,7,14,14,14,16,1,60,0.0,1032,17,10,251,9,Algeria
2015-01-05,15,7,0.0,8.7,4,100,06:23 PM,07:49 AM,08:01 AM,05:46 PM,7,12,12,12,8,14,72,0.0,1029,15,10,166,5,Algeria
2015-01-06,15,8,0.0,8.7,4,100,07:19 PM,08:30 AM,08:01 AM,05:47 PM,7,12,13,12,11,3,68,0.0,1027,15,10,191,7,Algeria
2015-01-07,13,7,0.0,8.7,3,84,08:13 PM,09:09 AM,08:01 AM,05:47 PM,6,10,11,10,9,24,74,0.0,1030,13,10,104,6,Algeria
2015-01-08,14,6,0.0,8.7,3,77,09:08 PM,09:44 AM,08:01 AM,05:48 PM,8,12,12,12,8,3,79,0.0,1036,14,10,105,5,Algeria
2015-01-09,14,6,0.0,8.7,3,69,10:03 PM,10:16 AM,08:01 AM,05:49 PM,9,13,13,13,8,0,78,0.0,1041,14,10,89,6,Algeria
2015-01-10,17,8,0.0,8.7,4,62,10:57 PM,10:47 AM,08:01 AM,05:50 PM,7,15,15,15,13,0,60,0.0,1035,17,10,230,8,Algeria
2015-01-11,18,10,0.0,8.7,4,55,11:51 PM,11:17 AM,08:01 AM,05:51 PM,3,13,14,13,21,3,52,0.0,1029,18,10,256,12,Algeria
2015-01-12,16,9,0.0,8.7,4,48,No moonrise,11:48 AM,08:00 AM,05:52 PM,7,11,12,11,19,26,75,0.0,1032,16,10,98,11,Algeria
2015-01-13,18,11,0.0,8.7,4,40,12:46 AM,12:20 PM,08:00 AM,05:53 PM,5,13,14,13,25,21,54,0.0,1028,18,10,180,13,Algeria
2015-01-14,17,11,0.0,8.7,4,33,01:43 AM,12:55 PM,08:00 AM,05:54 PM,6,14,14,14,14,25,60,0.0,1026,17,10,208,8,Algeria
2015-01-15,19,12,0.0,8.7,4,26,02:40 AM,01:34 PM,08:00 AM,05:55 PM,9,15,15,15,22,32,67,0.3,1022,19,9,180,12,Algeria
2015-01-16,17,11,0.0,8.7,4,19,03:40 AM,02:18 PM,07:59 AM,05:56 PM,7,12,13,12,34,14,64,0.5,1017,17,10,214,20,Algeria
