date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,22,4,0.0,11.6,4,72,03:15 PM,03:09 AM,06:40 AM,06:17 PM,-3,15,15,15,12,0,32,0.0,1018,22,10,80,8,Ethiopia
2015-01-02,22,4,0.0,11.6,4,80,04:06 PM,04:03 AM,06:41 AM,06:17 PM,-5,15,15,15,11,0,27,0.0,1018,22,10,83,7,Ethiopia
2015-01-03,23,3,0.0,11.6,4,87,04:57 PM,04:55 AM,06:41 AM,06:18 PM,-6,16,15,16,9,0,24,0.0,1018,23,10,87,6,Ethiopia
2015-01-04,23,4,0.0,11.6,4,94,05:48 PM,05:47 AM,06:41 AM,06:18 PM,0,17,17,17,5,0,36,0.0,1017,23,10,102,3,Ethiopia
2015-01-05,23,5,0.0,11.6,4,100,06:38 PM,06:36 AM,06:42 AM,06:19 PM,5,16,16,16,7,2,50,0.0,1016,23,10,107,4,Ethiopia
2015-01-06,23,7,0.0,11.6,4,100,07:28 PM,07:24 AM,06:42 AM,06:19 PM,7,16,16,16,9,7,62,0.0,1017,23,10,105,6,Ethiopia
2015-01-07,23,8,0.0,11.6,4,84,08:16 PM,08:09 AM,06:42 AM,06:20 PM,8,16,16,16,9,25,66,0.0,1018,23,8,101,7,Ethiopia
2015-01-08,21,8,0.0,11.6,4,77,09:02 PM,08:52 AM,06:43 AM,06:20 PM,7,15,15,15,10,7,60,0.0,1018,21,10,100,8,Ethiopia
2015-01-09,22,7,0.0,11.6,4,69,09:48 PM,09:33 AM,06:43 AM,06:21 PM,6,15,16,15,10,10,60,0.0,1018,22,9,101,7,Ethiopia
2015-01-10,23,7,0.0,11.6,4,62,10:32 PM,10:13 AM,06:43 AM,06:21 PM,5,17,17,17,7,3,50,0.0,1016,23,10,138,5,Ethiopia
2015-01-11,23,7,0.0,11.6,4,55,11:17 PM,10:53 AM,06:44 AM,06:22 PM,6,16,16,16,10,6,56,0.0,1017,23,10,115,7,Ethiopia
2015-01-12,21,11,0.0,11.6,4,48,No moonrise,11:33 AM,06:44 AM,06:22 PM,10,14,15,14,11,44,76,0.1,1017,21,7,113,9,Ethiopia
2015-01-13,21,10,0.0,11.6,4,40,12:03 AM,12:14 PM,06:44 AM,06:23 PM,9,14,15,14,12,40,73,0.1,1018,21,7,98,9,Ethiopia
2015-01-14,22,8,0.0,11.6,4,33,12:50 AM,12:57 PM,06:45 AM,06:23 PM,8,15,15,15,10,20,68,0.0,1018,22,7,94,7,Ethiopia
2015-01-15,22,7,0.0,11.6,4,26,01:39 AM,01:44 PM,06:45 AM,06:24 PM,6,16,16,16,9,6,57,0.0,1017,22,10,94,7,Ethiopia
2015-01-16,23,6,0.0,11.6,4,19,02:31 AM,02:34 PM,06:45 AM,06:24 PM,4,16,16,16,7,2,48,0.0,1017,23,10,94,6,Ethiopia
2015-01-17,23,7,0.0,11.6,4,11,03:26 AM,03:28 PM,06:45 AM,06:25 PM,7,15,15,15,10,8,63,0.0,1016,23,10,94,7,Ethiopia
2015-01-18,24,7,0.0,11.6,4,4,04:23 AM,04:25 PM,06:45 AM,06:25 PM,8,16,16,16,6,26,67,0.0,1016,24,7,112,4,Ethiopia
2015-01-19,21,11,0.0,11.6,5,0,05:21 AM,05:26 PM,06:46 AM,06:26 PM,10,16,16,16,6,38,73,1.0,1016,21,9,122,4,Ethiopia
