date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,30,25,0.0,11.6,7,72,03:44 PM,03:32 AM,06:54 AM,06:40 PM,22,30,30,27,16,4,73,0.6,1012,30,10,284,11,Liberia
2015-01-02,30,24,0.0,11.6,7,80,04:34 PM,04:24 AM,06:54 AM,06:40 PM,21,29,29,27,12,15,71,0.0,1012,30,10,176,8,Liberia
2015-01-03,30,24,0.0,11.6,7,87,05:26 PM,05:17 AM,06:55 AM,06:41 PM,22,29,29,27,12,17,75,0.0,1013,30,10,166,8,Liberia
2015-01-04,31,25,0.0,10.2,7,94,06:17 PM,06:08 AM,06:55 AM,06:41 PM,22,30,30,27,12,27,75,0.0,1014,31,10,243,8,Liberia
2015-01-05,31,25,0.0,11.6,7,100,07:07 PM,06:58 AM,06:55 AM,06:42 PM,21,30,30,27,15,5,71,0.9,1013,31,10,240,10,Liberia
2015-01-06,30,24,0.0,11.6,7,100,07:56 PM,07:45 AM,06:56 AM,06:42 PM,21,30,30,28,13,1,67,0.0,1013,30,10,250,8,Liberia
2015-01-07,30,24,0.0,11.6,7,84,08:42 PM,08:30 AM,06:56 AM,06:43 PM,21,29,29,27,14,2,70,0.0,1013,30,10,269,9,Liberia
2015-01-08,30,24,0.0,11.6,7,77,09:28 PM,09:14 AM,06:56 AM,06:43 PM,22,29,29,27,14,4,74,0.0,1013,30,10,268,10,Liberia
2015-01-09,29,24,0.0,11.6,7,69,10:12 PM,09:56 AM,06:57 AM,06:44 PM,22,30,30,27,11,19,76,0.0,1013,29,10,153,8,Liberia
2015-01-10,30,25,0.0,11.6,7,62,10:57 PM,10:36 AM,06:57 AM,06:44 PM,23,30,30,27,10,19,77,0.5,1014,30,10,170,7,Liberia
2015-01-11,30,25,0.0,11.6,7,55,11:41 PM,11:17 AM,06:58 AM,06:45 PM,22,30,30,27,11,18,76,0.0,1014,30,10,166,8,Liberia
2015-01-12,30,24,0.0,11.6,7,48,No moonrise,11:57 AM,06:58 AM,06:45 PM,21,29,29,27,10,8,72,0.0,1013,30,10,187,7,Liberia
2015-01-13,31,24,0.0,11.6,7,40,12:25 AM,12:39 PM,06:58 AM,06:45 PM,20,29,29,27,13,1,67,0.0,1012,31,10,280,9,Liberia
2015-01-14,28,24,0.0,11.6,7,33,01:12 AM,01:24 PM,06:58 AM,06:46 PM,21,28,28,26,13,2,73,0.0,1012,28,10,211,9,Liberia
2015-01-15,29,23,0.0,11.6,7,26,02:01 AM,02:11 PM,06:59 AM,06:46 PM,20,28,28,26,14,3,73,0.0,1013,29,10,151,10,Liberia
2015-01-16,30,24,0.0,11.6,7,19,02:53 AM,03:03 PM,06:59 AM,06:47 PM,22,30,30,27,11,4,74,0.0,1013,30,10,175,8,Liberia
2015-01-17,30,25,0.0,11.6,7,11,03:48 AM,03:57 PM,06:59 AM,06:47 PM,23,30,30,27,15,26,79,0.3,1013,30,10,283,11,Liberia
2015-01-18,29,25,0.0,11.6,7,4,04:45 AM,04:55 PM,06:59 AM,06:48 PM,23,30,30,27,13,27,81,0.0,1013,29,10,229,9,Liberia
2015-01-19,29,25,0.0,11.5,6,0,05:44 AM,05:55 PM,07:00 AM,06:48 PM,23,30,30,27,15,26,81,3.2,1012,29,10,258,10,Liberia
2015-01-20,29,25,0.0,11.5,7,0,06:42 AM,06:56 PM,07:00 AM,06:48 PM,23,30,30,27,16,27,81,0.5,1011,29,10,260,12,Liberia
2015-01-21,29,25,0.0,11.5,7,3,07:40 AM,07:56 PM,07:00 AM,06:49 PM,23,30,30,27,14,17,78,3.9,1011,29,10,194,10,Liberia
2015-01-22,29,25,0.0,11.5,7,10,08:35 AM,08:55 PM,07:00 AM,06:49 PM,23,30,30,27,10,24,78,2.4,1013,29,10,186,7,Liberia
2015-01-23,30,26,0.0,11.5,6,18,09:29 AM,09:52 PM,07:00 AM,06:50 PM,23,31,31,28,10,20,76,1.4,1013,30,10,172,7,Liberia
2015-01-24,29,26,0.0,10.1,7,25,10:20 AM,10:47 PM,07:01 AM,06:50 PM,23,31,31,27,18,29,80,0.3,1011,29,10,268,12,Liberia
2015-01-25,29,26,0.0,10.1,7,32,11:11 AM,11:42 PM,07:01 AM,06:50 PM,23,30,30,27,18,42,81,1.4,1011,29,10,265,13,Liberia
2015-01-26,29,26,0.0,11.5,7,39,12:01 PM,No moonset,07:01 AM,06:51 PM,23,31,31,27,18,44,80,1.7,1012,29,10,267,12,Liberia
2015-01-27,29,26,0.0,11.5,7,47,12:51 PM,12:35 AM,07:01 AM,06:51 PM,24,31,31,27,21,14,81,6.2,1012,29,9,285,14,Liberia
