date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,25,18,0.0,13.0,6,72,03:29 PM,02:24 AM,05:40 AM,06:41 PM,19,21,22,21,22,60,87,1.9,1008,25,9,244,15,Zambia
2015-01-02,24,18,0.0,12.0,6,80,04:22 PM,03:14 AM,05:40 AM,06:41 PM,18,20,21,20,19,60,89,0.6,1009,24,8,300,13,Zambia
2015-01-03,25,18,0.0,10.7,5,87,05:15 PM,04:04 AM,05:41 AM,06:42 PM,20,21,22,21,12,72,91,9.3,1009,25,6,272,8,Zambia
2015-01-04,27,19,0.0,12.0,5,94,06:05 PM,04:55 AM,05:41 AM,06:42 PM,20,22,22,22,15,68,89,4.4,1009,27,6,208,10,Zambia
2015-01-05,27,18,0.0,13.0,6,100,06:53 PM,05:47 AM,05:42 AM,06:42 PM,20,22,23,22,10,58,89,2.7,1009,27,6,123,6,Zambia
2015-01-06,21,17,0.0,12.0,5,100,07:39 PM,06:37 AM,05:43 AM,06:43 PM,17,19,20,19,11,67,90,3.3,1011,21,9,74,7,Zambia
2015-01-07,23,17,0.0,8.1,4,84,08:21 PM,07:27 AM,05:43 AM,06:43 PM,18,19,19,19,9,87,93,4.4,1013,23,5,101,6,Zambia
2015-01-08,20,16,0.0,8.1,4,77,09:01 PM,08:16 AM,05:44 AM,06:43 PM,18,18,18,18,10,100,98,7.4,1014,20,2,104,6,Zambia
2015-01-09,24,15,0.0,13.0,5,69,09:40 PM,09:03 AM,05:44 AM,06:43 PM,18,20,21,20,10,66,88,1.9,1013,24,7,93,6,Zambia
2015-01-10,24,18,0.0,13.0,5,62,10:17 PM,09:50 AM,05:45 AM,06:43 PM,19,21,22,21,9,45,87,1.4,1012,24,7,109,6,Zambia
2015-01-11,27,17,0.0,13.0,5,55,10:55 PM,10:36 AM,05:46 AM,06:44 PM,18,21,22,21,11,26,83,1.9,1011,27,8,115,7,Zambia
2015-01-12,23,16,0.0,13.0,6,48,11:34 PM,11:24 AM,05:46 AM,06:44 PM,18,20,21,20,7,43,86,0.2,1012,23,7,63,5,Zambia
2015-01-13,27,17,0.0,13.0,6,40,No moonrise,12:12 PM,05:47 AM,06:44 PM,19,22,23,22,6,39,85,2.6,1010,27,7,259,4,Zambia
2015-01-14,26,18,0.0,13.0,5,33,12:14 AM,01:02 PM,05:47 AM,06:44 PM,20,23,23,22,15,40,87,11.8,1009,26,8,278,9,Zambia
2015-01-15,26,20,0.0,13.0,6,26,12:58 AM,01:54 PM,05:48 AM,06:44 PM,19,24,24,22,19,44,84,4.7,1010,26,9,257,13,Zambia
2015-01-16,26,19,0.0,13.0,6,19,01:45 AM,02:48 PM,05:49 AM,06:44 PM,19,24,24,22,19,30,82,6.0,1008,26,9,270,12,Zambia
2015-01-17,26,19,0.0,10.7,5,11,02:36 AM,03:46 PM,05:49 AM,06:44 PM,19,22,22,22,24,67,86,2.7,1009,26,10,287,17,Zambia
