date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,20,17,0.0,8.2,4,72,03:20 PM,02:10 AM,05:24 AM,06:34 PM,17,18,18,18,17,90,95,5.3,1011,20,4,67,12,Zimbabwe
2015-01-02,20,17,0.0,8.2,4,80,04:14 PM,02:59 AM,05:25 AM,06:35 PM,18,19,19,19,16,87,95,3.6,1011,20,6,55,11,Zimbabwe
2015-01-03,21,18,0.0,9.5,4,87,05:07 PM,03:49 AM,05:25 AM,06:35 PM,18,19,19,19,13,88,95,8.7,1011,21,6,93,9,Zimbabwe
2015-01-04,19,16,0.0,10.7,4,94,05:58 PM,04:40 AM,05:26 AM,06:35 PM,17,18,18,18,16,87,95,7.9,1011,19,4,129,11,Zimbabwe
2015-01-05,24,16,0.0,10.7,5,100,06:45 PM,05:32 AM,05:27 AM,06:36 PM,17,20,20,20,16,76,84,1.8,1011,24,7,134,11,Zimbabwe
2015-01-06,25,17,0.0,12.0,5,100,07:30 PM,06:23 AM,05:27 AM,06:36 PM,17,20,20,20,11,61,84,1.5,1011,25,7,116,7,Zimbabwe
2015-01-07,24,17,0.0,13.1,5,84,08:12 PM,07:13 AM,05:28 AM,06:36 PM,15,20,20,20,14,29,73,0.2,1014,24,9,121,10,Zimbabwe
2015-01-08,26,16,0.0,12.0,5,77,08:51 PM,08:02 AM,05:28 AM,06:36 PM,16,20,20,20,12,58,78,1.5,1014,26,9,139,8,Zimbabwe
2015-01-09,27,15,0.0,13.1,6,69,09:30 PM,08:51 AM,05:29 AM,06:36 PM,16,21,22,21,9,40,76,1.6,1014,27,8,112,6,Zimbabwe
2015-01-10,26,16,0.0,13.1,5,62,10:06 PM,09:38 AM,05:30 AM,06:37 PM,16,20,20,20,20,44,80,0.3,1014,26,7,146,14,Zimbabwe
2015-01-11,26,14,0.0,13.1,5,55,10:44 PM,10:25 AM,05:30 AM,06:37 PM,14,19,20,19,18,34,73,0.0,1012,26,8,148,13,Zimbabwe
2015-01-12,26,16,0.0,13.1,5,48,11:22 PM,11:13 AM,05:31 AM,06:37 PM,16,19,19,19,14,52,83,4.9,1012,26,8,152,9,Zimbabwe
2015-01-13,26,16,0.0,13.1,6,40,No moonrise,12:02 PM,05:32 AM,06:37 PM,17,21,21,21,15,37,82,3.3,1010,26,8,157,10,Zimbabwe
2015-01-14,27,17,0.0,13.1,6,33,12:01 AM,12:52 PM,05:32 AM,06:37 PM,17,21,22,21,19,40,77,0.9,1010,27,7,149,13,Zimbabwe
2015-01-15,27,16,0.0,13.0,6,26,12:44 AM,01:45 PM,05:33 AM,06:37 PM,16,21,22,21,19,36,73,0.3,1011,27,9,146,13,Zimbabwe
2015-01-16,27,15,0.0,13.0,6,19,01:31 AM,02:40 PM,05:34 AM,06:37 PM,15,22,22,22,13,23,67,0.5,1009,27,10,183,9,Zimbabwe
2015-01-17,28,16,0.0,13.0,6,11,02:21 AM,03:38 PM,05:34 AM,06:37 PM,16,22,23,22,15,28,72,3.3,1009,28,10,156,10,Zimbabwe
2015-01-18,24,16,0.0,13.0,5,4,03:16 AM,04:35 PM,05:35 AM,06:37 PM,17,20,21,20,12,40,84,4.3,1013,24,8,119,7,Zimbabwe
2015-01-19,25,16,0.0,13.0,6,0,04:15 AM,05:34 PM,05:35 AM,06:37 PM,17,20,21,20,8,62,81,4.2,1013,25,7,146,5,Zimbabwe
2015-01-20,23,15,0.0,13.0,5,0,05:18 AM,06:29 PM,05:36 AM,06:37 PM,15,19,19,19,12,53,80,0.3,1015,23,8,103,8,Zimbabwe
2015-01-21,26,15,0.0,13.0,6,3,06:21 AM,07:23 PM,05:37 AM,06:37 PM,14,21,21,21,7,33,68,0.2,1017,26,10,98,5,Zimbabwe
2015-01-22,27,13,0.0,13.0,6,10,07:24 AM,08:14 PM,05:37 AM,06:37 PM,13,20,20,20,15,22,65,0.0,1018,27,10,116,10,Zimbabwe
2015-01-23,26,13,0.0,13.0,5,18,08:26 AM,09:03 PM,05:38 AM,06:37 PM,12,19,20,19,19,14,66,0.0,1016,26,10,145,13,Zimbabwe
2015-01-24,26,12,0.0,13.0,5,25,09:27 AM,09:50 PM,05:38 AM,06:37 PM,13,20,20,20,9,32,69,0.8,1013,26,10,112,5,Zimbabwe
2015-01-25,25,14,0.0,13.0,4,32,10:26 AM,10:36 PM,05:39 AM,06:37 PM,15,20,20,20,13,22,76,1.6,1013,25,9,102,8,Zimbabwe
2015-01-26,30,16,0.0,13.0,6,39,11:24 AM,11:23 PM,05:40 AM,06:37 PM,16,22,23,22,12,21,71,0.2,1014,30,10,75,7,Zimbabwe
2015-01-27,27,16,0.0,13.0,6,47,12:21 PM,No moonset,05:40 AM,06:37 PM,16,21,22,21,11,26,77,0.5,1013,27,9,41,7,Zimbabwe
2015-01-28,25,18,0.0,13.0,5,54,01:17 PM,12:09 AM,05:41 AM,06:36 PM,18,21,22,21,13,36,82,1.6,1011,25,9,50,9,Zimbabwe
2015-01-29,24,16,0.0,13.0,6,61,02:11 PM,12:57 AM,05:41 AM,06:36 PM,18,20,21,20,16,43,85,16.7,1012,24,8,99,11,Zimbabwe
2015-01-30,24,16,0.0,11.9,5,69,03:03 PM,01:46 AM,05:42 AM,06:36 PM,17,20,21,20,17,54,83,5.7,1013,24,9,104,12,Zimbabwe
2015-01-31,25,16,0.0,12.9,6,72,03:54 PM,02:36 AM,05:42 AM,06:36 PM,18,21,22,21,7,47,82,4.4,1012,25,7,84,4,Zimbabwe
2015-02-01,27,16,0.0,12.9,6,86,04:41 PM,03:27 AM,05:43 AM,06:35 PM,17,21,22,21,10,32,80,2.7,1010,27,9,224,7,Zimbabwe
2015-02-02,27,16,0.0,12.9,6,94,05:27 PM,04:17 AM,05:44 AM,06:35 PM,18,21,22,21,7,43,85,9.9,1009,27,6,285,4,Zimbabwe
2015-02-03,23,18,0.0,10.6,5,100,06:09 PM,05:08 AM,05:44 AM,06:35 PM,19,20,21,20,14,81,91,5.3,1009,23,7,208,10,Zimbabwe
2015-02-04,23,18,0.0,11.9,5,100,06:50 PM,05:57 AM,05:45 AM,06:35 PM,19,20,21,20,14,72,90,1.9,1009,23,6,264,10,Zimbabwe
2015-02-05,28,17,0.0,12.9,6,84,07:29 PM,06:46 AM,05:45 AM,06:34 PM,17,22,23,22,14,42,76,0.1,1009,28,8,235,9,Zimbabwe
2015-02-06,28,16,0.0,12.9,6,76,08:06 PM,07:34 AM,05:46 AM,06:34 PM,17,23,23,23,11,20,73,10.7,1010,28,9,181,7,Zimbabwe
2015-02-07,28,16,0.0,12.9,6,69,08:43 PM,08:21 AM,05:46 AM,06:33 PM,17,22,23,22,12,12,75,1.6,1012,28,10,65,8,Zimbabwe
2015-02-08,28,17,0.0,12.9,6,61,09:21 PM,09:08 AM,05:47 AM,06:33 PM,16,22,22,22,14,17,73,0.0,1013,28,9,91,9,Zimbabwe
2015-02-09,26,14,0.0,12.9,5,53,09:59 PM,09:56 AM,05:47 AM,06:33 PM,16,21,22,21,10,27,74,0.8,1014,26,9,65,6,Zimbabwe
2015-02-10,27,14,0.0,12.8,6,46,10:40 PM,10:45 AM,05:48 AM,06:32 PM,15,21,22,21,13,27,72,0.1,1014,27,8,74,8,Zimbabwe
2015-02-11,28,16,0.0,12.8,6,38,11:23 PM,11:36 AM,05:48 AM,06:32 PM,16,21,22,21,9,31,75,1.7,1015,28,9,165,6,Zimbabwe
2015-02-12,27,16,0.0,12.8,6,31,No moonrise,12:28 PM,05:49 AM,06:31 PM,16,22,23,22,10,38,70,0.1,1014,27,10,89,7,Zimbabwe
2015-02-13,28,16,0.0,12.8,6,23,12:10 AM,01:23 PM,05:49 AM,06:31 PM,17,22,23,22,5,33,77,0.4,1012,28,9,130,3,Zimbabwe
2015-02-14,26,18,0.0,12.8,6,16,01:01 AM,02:18 PM,05:49 AM,06:30 PM,17,22,22,22,13,20,79,1.6,1010,26,10,183,9,Zimbabwe
2015-02-15,25,17,0.0,12.8,6,8,01:57 AM,03:15 PM,05:50 AM,06:30 PM,18,21,21,21,16,40,84,4.5,1010,25,8,246,11,Zimbabwe
2015-02-16,21,17,0.0,12.8,5,1,02:56 AM,04:11 PM,05:50 AM,06:29 PM,17,19,19,19,18,65,91,1.1,1013,21,8,161,12,Zimbabwe
2015-02-17,22,14,0.0,12.8,5,0,03:58 AM,05:06 PM,05:51 AM,06:29 PM,13,17,18,17,24,33,79,0.0,1015,22,10,146,18,Zimbabwe
2015-02-18,25,12,0.0,12.8,5,0,05:02 AM,05:59 PM,05:51 AM,06:28 PM,13,18,19,18,13,37,74,0.0,1014,25,9,151,9,Zimbabwe
2015-02-19,28,11,0.0,12.8,5,0,06:05 AM,06:50 PM,05:51 AM,06:28 PM,11,21,21,21,10,5,59,0.0,1013,28,10,129,7,Zimbabwe
2015-02-20,29,17,0.0,12.8,6,7,07:09 AM,07:40 PM,05:52 AM,06:27 PM,12,22,22,22,16,21,55,0.0,1011,29,10,113,10,Zimbabwe
