date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,37,21,0.0,13.8,7,50,11:59 PM,11:40 AM,05:31 AM,07:09 PM,7,29,29,30,14,18,25,0.0,1011,37,10,159,9,Botswana
2016-01-02,35,25,0.0,13.8,7,43,No moonrise,12:29 PM,05:31 AM,07:09 PM,13,29,29,29,18,20,38,1.2,1012,35,10,120,13,Botswana
2016-01-03,35,22,0.0,13.8,7,36,12:34 AM,01:20 PM,05:32 AM,07:09 PM,12,28,28,28,22,7,38,0.0,1014,35,10,66,15,Botswana
2016-01-04,32,22,0.0,12.1,7,28,01:11 AM,02:10 PM,05:33 AM,07:10 PM,12,26,26,26,16,36,47,0.9,1012,32,10,95,11,Botswana
2016-01-05,35,24,0.0,13.8,7,21,01:49 AM,03:02 PM,05:33 AM,07:10 PM,7,28,28,29,17,14,28,0.0,1014,35,10,56,12,Botswana
2016-01-06,40,21,0.0,13.8,8,14,02:30 AM,03:54 PM,05:34 AM,07:10 PM,4,29,29,30,15,0,21,0.0,1010,40,10,109,9,Botswana
2016-01-07,42,24,0.0,13.3,8,7,03:15 AM,04:48 PM,05:35 AM,07:10 PM,4,32,32,33,14,22,18,0.1,1007,42,10,234,9,Botswana
2016-01-08,37,25,0.0,13.8,8,0,04:04 AM,05:42 PM,05:35 AM,07:10 PM,9,30,30,31,27,26,28,2.7,1011,37,10,93,17,Botswana
2016-01-09,35,21,0.0,13.7,7,0,04:57 AM,06:34 PM,05:36 AM,07:10 PM,14,28,28,28,22,16,48,1.5,1013,35,10,48,16,Botswana
2016-01-10,34,21,0.0,13.7,7,0,05:54 AM,07:26 PM,05:37 AM,07:11 PM,14,27,27,27,22,7,48,0.0,1012,34,10,42,16,Botswana
2016-01-11,33,22,0.0,13.7,7,8,06:53 AM,08:15 PM,05:38 AM,07:11 PM,14,28,28,27,23,16,46,0.0,1013,33,10,44,17,Botswana
2016-01-12,33,20,0.0,13.3,7,15,07:53 AM,09:02 PM,05:38 AM,07:11 PM,16,27,27,26,21,25,56,4.2,1011,33,10,85,15,Botswana
2016-01-13,34,21,0.0,13.7,7,22,08:54 AM,09:47 PM,05:39 AM,07:11 PM,14,27,27,27,18,12,50,3.3,1009,34,10,117,12,Botswana
2016-01-14,33,21,0.0,13.7,7,29,09:55 AM,10:31 PM,05:40 AM,07:11 PM,15,27,27,26,17,13,53,3.0,1008,33,10,173,11,Botswana
2016-01-15,33,21,0.0,13.7,7,37,10:56 AM,11:14 PM,05:41 AM,07:11 PM,15,27,27,27,21,11,54,2.7,1009,33,10,63,14,Botswana
2016-01-16,27,20,0.0,13.3,6,44,11:56 AM,11:57 PM,05:41 AM,07:11 PM,16,25,25,23,24,35,68,0.1,1015,27,10,58,18,Botswana
2016-01-17,26,18,0.0,13.7,6,51,12:57 PM,No moonset,05:42 AM,07:11 PM,14,22,22,22,18,34,61,0.0,1016,26,10,88,14,Botswana
