date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,27,23,0.0,8.7,6,50,11:53 PM,11:30 AM,06:27 AM,05:55 PM,19,26,26,25,14,25,72,0.0,1015,27,10,106,11,Djibouti
2016-01-02,27,23,0.0,7.2,5,43,No moonrise,12:08 PM,06:27 AM,05:55 PM,20,27,27,25,11,40,76,0.1,1016,27,10,94,9,Djibouti
2016-01-03,28,24,0.0,7.2,6,36,12:38 AM,12:48 PM,06:27 AM,05:56 PM,21,28,28,25,11,54,78,0.3,1016,28,10,86,9,Djibouti
2016-01-04,26,21,0.0,7.2,5,28,01:25 AM,01:29 PM,06:28 AM,05:56 PM,17,25,25,24,16,46,69,0.0,1015,26,10,115,12,Djibouti
2016-01-05,27,23,0.0,7.2,5,21,02:12 AM,02:11 PM,06:28 AM,05:57 PM,19,27,27,25,20,44,70,0.0,1016,27,10,94,16,Djibouti
2016-01-06,27,23,0.0,8.7,6,14,03:01 AM,02:57 PM,06:29 AM,05:57 PM,19,26,26,25,17,45,70,0.0,1016,27,10,95,14,Djibouti
2016-01-07,27,24,0.0,8.7,7,7,03:52 AM,03:46 PM,06:29 AM,05:58 PM,19,27,27,25,18,41,69,0.1,1016,27,10,98,15,Djibouti
2016-01-08,26,24,0.0,4.2,6,0,04:44 AM,04:37 PM,06:29 AM,05:58 PM,20,27,27,25,20,63,72,0.2,1016,26,10,97,17,Djibouti
2016-01-09,26,24,0.0,5.7,5,0,05:38 AM,05:32 PM,06:29 AM,05:59 PM,20,27,27,25,19,69,76,0.5,1014,26,10,95,16,Djibouti
2016-01-10,27,24,0.0,7.2,6,0,06:31 AM,06:28 PM,06:30 AM,05:59 PM,20,27,27,25,15,50,72,0.1,1014,27,10,96,13,Djibouti
2016-01-11,27,24,0.0,10.2,6,8,07:25 AM,07:25 PM,06:30 AM,06:00 PM,20,27,27,25,18,63,74,0.1,1015,27,10,92,15,Djibouti
2016-01-12,26,24,0.0,10.2,5,15,08:16 AM,08:22 PM,06:30 AM,06:01 PM,20,26,26,25,20,59,74,0.1,1015,26,10,97,16,Djibouti
2016-01-13,27,24,0.0,10.2,6,22,09:06 AM,09:19 PM,06:31 AM,06:01 PM,19,26,26,25,17,56,71,0.0,1015,27,10,97,14,Djibouti
2016-01-14,27,24,0.0,10.2,5,29,09:55 AM,10:14 PM,06:31 AM,06:02 PM,19,26,26,25,16,63,73,0.6,1014,27,10,98,13,Djibouti
2016-01-15,26,23,0.0,8.7,5,37,10:43 AM,11:10 PM,06:31 AM,06:02 PM,20,26,26,24,15,71,76,0.2,1014,26,10,101,13,Djibouti
2016-01-16,27,24,0.0,10.2,7,44,11:31 AM,No moonset,06:31 AM,06:03 PM,20,27,27,25,16,62,74,0.1,1014,27,10,97,13,Djibouti
2016-01-17,27,24,0.0,10.2,6,51,12:19 PM,12:06 AM,06:31 AM,06:03 PM,20,27,27,25,15,54,74,0.0,1013,27,10,103,12,Djibouti
2016-01-18,27,23,0.0,10.2,6,59,01:09 PM,01:02 AM,06:31 AM,06:04 PM,19,26,26,25,14,36,72,0.0,1013,27,10,112,11,Djibouti
2016-01-19,27,23,0.0,10.2,6,66,02:01 PM,01:59 AM,06:32 AM,06:04 PM,19,26,26,25,17,38,71,0.1,1014,27,10,115,14,Djibouti
2016-01-20,27,23,0.0,10.2,6,73,02:55 PM,02:56 AM,06:32 AM,06:05 PM,19,26,26,25,17,53,71,0.2,1015,27,10,109,14,Djibouti
2016-01-21,26,23,0.0,8.7,5,80,03:50 PM,03:53 AM,06:32 AM,06:05 PM,19,26,26,24,21,66,72,0.5,1016,26,10,110,17,Djibouti
2016-01-22,26,23,0.0,10.2,6,88,04:44 PM,04:48 AM,06:32 AM,06:06 PM,18,26,26,24,19,53,68,0.2,1016,26,10,115,16,Djibouti
2016-01-23,26,22,0.0,11.6,6,95,05:39 PM,05:41 AM,06:32 AM,06:06 PM,18,26,26,24,18,26,67,0.0,1015,26,10,107,14,Djibouti
2016-01-24,27,23,0.0,11.6,6,100,06:32 PM,06:31 AM,06:32 AM,06:06 PM,18,26,26,25,18,28,69,0.0,1016,27,10,99,15,Djibouti
2016-01-25,27,24,0.0,10.2,7,100,07:23 PM,07:19 AM,06:32 AM,06:07 PM,19,27,27,25,14,42,71,0.0,1016,27,10,100,11,Djibouti
2016-01-26,29,23,0.0,11.6,7,83,08:12 PM,08:03 AM,06:32 AM,06:07 PM,20,28,28,26,9,10,69,0.0,1015,29,10,112,7,Djibouti
2016-01-27,30,24,0.0,8.7,7,76,09:00 PM,08:45 AM,06:32 AM,06:08 PM,21,29,29,27,14,46,70,0.0,1015,30,10,58,11,Djibouti
2016-01-28,30,25,0.0,11.6,7,69,09:46 PM,09:26 AM,06:32 AM,06:08 PM,19,28,28,27,22,33,62,0.0,1015,30,10,300,18,Djibouti
2016-01-29,28,24,0.0,11.6,7,61,10:32 PM,10:05 AM,06:32 AM,06:09 PM,18,27,27,26,19,41,64,0.0,1016,28,10,144,16,Djibouti
2016-01-30,26,23,0.0,10.2,6,54,11:18 PM,10:44 AM,06:32 AM,06:09 PM,19,26,26,24,19,57,72,1.0,1018,26,10,78,15,Djibouti
2016-01-31,25,22,0.0,5.9,5,50,No moonrise,11:24 AM,06:32 AM,06:09 PM,20,25,25,23,14,86,80,2.0,1017,25,10,92,11,Djibouti
2016-02-01,26,23,0.0,10.2,6,34,12:04 AM,12:05 PM,06:32 AM,06:10 PM,19,26,26,24,18,61,72,0.0,1018,26,10,105,15,Djibouti
2016-02-02,26,22,0.0,10.2,6,26,12:52 AM,12:49 PM,06:32 AM,06:10 PM,18,26,26,24,16,47,70,0.1,1017,26,10,111,13,Djibouti
2016-02-03,26,23,0.0,10.2,6,18,01:41 AM,01:36 PM,06:31 AM,06:11 PM,19,26,26,24,18,58,71,0.1,1017,26,10,103,15,Djibouti
2016-02-04,27,23,0.0,10.2,6,11,02:32 AM,02:25 PM,06:31 AM,06:11 PM,18,26,26,24,15,35,69,0.0,1017,27,10,105,13,Djibouti
2016-02-05,27,23,0.0,10.2,5,3,03:25 AM,03:18 PM,06:31 AM,06:11 PM,19,26,26,24,17,45,72,0.2,1017,27,10,115,14,Djibouti
2016-02-06,27,23,0.0,10.2,6,0,04:17 AM,04:13 PM,06:31 AM,06:12 PM,19,26,26,24,19,37,70,0.0,1015,27,10,110,15,Djibouti
2016-02-07,27,23,0.0,11.6,6,0,05:11 AM,05:10 PM,06:31 AM,06:12 PM,18,26,26,24,18,27,68,0.0,1015,27,10,103,15,Djibouti
2016-02-08,27,22,0.0,11.6,6,0,06:04 AM,06:08 PM,06:31 AM,06:12 PM,18,26,26,24,14,29,70,0.0,1015,27,10,109,11,Djibouti
2016-02-09,26,22,0.0,10.2,6,4,06:56 AM,07:07 PM,06:30 AM,06:13 PM,19,26,26,24,13,40,74,0.0,1015,26,10,101,11,Djibouti
2016-02-10,26,23,0.0,10.2,5,12,07:48 AM,08:05 PM,06:30 AM,06:13 PM,19,26,26,24,19,55,72,0.1,1015,26,10,105,16,Djibouti
2016-02-11,26,22,0.0,11.6,6,19,08:37 AM,09:03 PM,06:30 AM,06:13 PM,17,26,26,24,13,20,65,0.0,1015,26,10,109,10,Djibouti
2016-02-12,27,22,0.0,11.6,6,27,09:27 AM,10:00 PM,06:30 AM,06:13 PM,17,26,26,24,12,5,65,0.0,1015,27,10,109,10,Djibouti
2016-02-13,27,22,0.0,11.6,6,34,10:17 AM,10:58 PM,06:29 AM,06:14 PM,18,26,26,24,14,10,68,0.0,1015,27,10,106,11,Djibouti
2016-02-14,27,22,0.0,10.2,6,42,11:07 AM,11:55 PM,06:29 AM,06:14 PM,18,26,26,24,17,28,70,0.0,1015,27,10,108,14,Djibouti
2016-02-15,26,23,0.0,10.2,5,49,11:59 AM,No moonset,06:29 AM,06:14 PM,18,26,26,24,21,35,70,0.2,1016,26,10,100,18,Djibouti
2016-02-16,26,21,0.0,11.6,6,57,12:51 PM,12:52 AM,06:28 AM,06:14 PM,18,26,26,24,18,24,69,0.0,1016,26,10,106,15,Djibouti
2016-02-17,27,22,0.0,11.6,6,64,01:45 PM,01:48 AM,06:28 AM,06:15 PM,17,26,26,24,18,22,67,0.0,1016,27,10,101,15,Djibouti
2016-02-18,27,22,0.0,11.6,6,72,02:38 PM,02:43 AM,06:28 AM,06:15 PM,16,26,26,24,18,2,61,0.0,1016,27,10,107,15,Djibouti
2016-02-19,27,22,0.0,11.6,6,79,03:33 PM,03:36 AM,06:27 AM,06:15 PM,15,26,26,24,21,0,58,0.0,1016,27,10,110,17,Djibouti
2016-02-20,27,22,0.0,11.6,6,87,04:25 PM,04:26 AM,06:27 AM,06:15 PM,16,26,26,24,24,6,61,0.0,1017,27,10,108,19,Djibouti
2016-02-21,26,22,0.0,11.6,6,95,05:16 PM,05:14 AM,06:26 AM,06:16 PM,17,26,26,24,24,20,65,0.0,1016,26,10,103,19,Djibouti
2016-02-22,25,23,0.0,8.8,6,100,06:05 PM,05:58 AM,06:26 AM,06:16 PM,20,26,26,24,25,62,79,0.8,1013,25,9,94,20,Djibouti
2016-02-23,26,24,0.0,7.4,5,100,06:53 PM,06:41 AM,06:26 AM,06:16 PM,22,27,27,25,21,81,85,0.4,1013,26,9,85,17,Djibouti
