date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,28,27,0.0,11.6,7,50,No moonrise,11:51 AM,06:31 AM,06:25 PM,23,31,31,27,14,16,76,0.0,1012,28,10,269,10,Equatorial_Guinea
2016-01-02,29,27,0.0,11.6,7,43,12:13 AM,12:32 PM,06:31 AM,06:26 PM,23,31,31,28,13,7,75,0.0,1011,29,10,236,9,Equatorial_Guinea
2016-01-03,29,27,0.0,11.6,7,36,12:57 AM,01:14 PM,06:31 AM,06:26 PM,23,32,32,28,12,5,72,0.0,1011,29,10,250,8,Equatorial_Guinea
2016-01-04,28,26,0.0,8.8,6,28,01:41 AM,01:57 PM,06:32 AM,06:27 PM,23,30,30,27,14,43,79,0.5,1011,28,10,236,10,Equatorial_Guinea
2016-01-05,28,27,0.0,11.6,7,21,02:27 AM,02:41 PM,06:32 AM,06:27 PM,23,31,31,28,15,20,76,0.0,1011,28,10,204,11,Equatorial_Guinea
2016-01-06,29,27,0.0,11.6,7,14,03:15 AM,03:29 PM,06:33 AM,06:28 PM,23,31,31,28,14,12,76,0.3,1011,29,10,270,10,Equatorial_Guinea
2016-01-07,29,27,0.0,11.6,7,7,04:04 AM,04:18 PM,06:33 AM,06:28 PM,23,32,32,28,15,6,75,0.4,1012,29,10,261,11,Equatorial_Guinea
2016-01-08,29,27,0.0,11.6,7,0,04:56 AM,05:11 PM,06:34 AM,06:29 PM,24,32,32,28,17,14,79,0.2,1012,29,10,248,13,Equatorial_Guinea
2016-01-09,28,27,0.0,11.6,7,0,05:50 AM,06:05 PM,06:34 AM,06:29 PM,24,31,31,28,18,14,79,2.2,1013,28,10,267,13,Equatorial_Guinea
2016-01-10,28,27,0.0,11.6,7,0,06:44 AM,07:01 PM,06:34 AM,06:30 PM,24,31,31,27,15,13,83,1.6,1012,28,10,271,11,Equatorial_Guinea
2016-01-11,28,27,0.0,11.6,7,8,07:38 AM,07:56 PM,06:35 AM,06:30 PM,24,32,32,28,14,14,80,0.0,1011,28,10,259,10,Equatorial_Guinea
2016-01-12,28,27,0.0,11.6,7,15,08:31 AM,08:51 PM,06:35 AM,06:30 PM,24,32,32,28,13,13,80,0.0,1010,28,10,274,10,Equatorial_Guinea
2016-01-13,28,28,0.0,11.6,7,22,09:24 AM,09:45 PM,06:35 AM,06:31 PM,24,32,32,28,15,12,78,0.5,1010,28,10,267,11,Equatorial_Guinea
2016-01-14,29,28,0.0,11.6,7,29,10:15 AM,10:38 PM,06:36 AM,06:31 PM,24,33,33,28,16,8,79,0.9,1010,29,10,272,11,Equatorial_Guinea
2016-01-15,29,28,0.0,11.6,7,37,11:05 AM,11:31 PM,06:36 AM,06:32 PM,24,32,32,28,15,7,78,0.0,1010,29,10,273,11,Equatorial_Guinea
2016-01-16,28,27,0.0,11.6,7,44,11:56 AM,No moonset,06:36 AM,06:32 PM,24,32,32,28,17,14,78,0.8,1011,28,10,258,12,Equatorial_Guinea
2016-01-17,28,27,0.0,11.6,7,51,12:47 PM,12:24 AM,06:37 AM,06:33 PM,23,31,31,28,15,15,78,0.5,1011,28,10,253,11,Equatorial_Guinea
2016-01-18,28,27,0.0,11.6,7,59,01:40 PM,01:18 AM,06:37 AM,06:33 PM,23,31,31,28,12,6,76,3.1,1011,28,10,240,9,Equatorial_Guinea
2016-01-19,28,28,0.0,11.6,7,66,02:33 PM,02:13 AM,06:37 AM,06:33 PM,23,32,32,28,14,11,77,2.3,1011,28,10,264,10,Equatorial_Guinea
2016-01-20,28,27,0.0,11.6,7,73,03:28 PM,03:09 AM,06:37 AM,06:34 PM,24,31,31,27,15,11,80,0.2,1010,28,10,267,11,Equatorial_Guinea
2016-01-21,28,27,0.0,11.6,7,80,04:23 PM,04:04 AM,06:38 AM,06:34 PM,24,31,31,27,16,7,82,1.4,1011,28,10,260,11,Equatorial_Guinea
2016-01-22,28,27,0.0,11.6,7,88,05:18 PM,05:00 AM,06:38 AM,06:34 PM,24,31,31,27,15,13,80,0.7,1012,28,10,274,11,Equatorial_Guinea
2016-01-23,28,27,0.0,11.6,7,95,06:11 PM,05:53 AM,06:38 AM,06:35 PM,23,31,31,27,14,13,79,0.0,1013,28,10,261,10,Equatorial_Guinea
2016-01-24,28,27,0.0,11.6,7,100,07:03 PM,06:44 AM,06:38 AM,06:35 PM,23,31,31,28,13,9,76,0.6,1014,28,10,278,10,Equatorial_Guinea
2016-01-25,28,27,0.0,11.6,7,100,07:52 PM,07:34 AM,06:38 AM,06:35 PM,23,31,31,28,11,10,74,0.3,1013,28,10,234,8,Equatorial_Guinea
2016-01-26,28,28,0.0,11.6,7,83,08:38 PM,08:19 AM,06:39 AM,06:36 PM,22,31,31,28,11,9,72,0.1,1014,28,10,190,8,Equatorial_Guinea
2016-01-27,29,27,0.0,11.6,7,76,09:24 PM,09:03 AM,06:39 AM,06:36 PM,22,31,31,28,8,5,70,0.0,1013,29,10,185,6,Equatorial_Guinea
2016-01-28,29,27,0.0,11.6,7,69,10:08 PM,09:46 AM,06:39 AM,06:36 PM,23,32,32,28,9,3,71,0.4,1012,29,10,183,7,Equatorial_Guinea
2016-01-29,29,27,0.0,11.6,7,61,10:51 PM,10:27 AM,06:39 AM,06:36 PM,22,31,31,28,14,1,71,0.0,1011,29,10,234,9,Equatorial_Guinea
2016-01-30,28,27,0.0,11.6,7,54,11:35 PM,11:09 AM,06:39 AM,06:37 PM,22,31,31,28,14,2,72,0.0,1011,28,10,212,9,Equatorial_Guinea
2016-01-31,28,27,0.0,11.6,7,50,No moonrise,11:51 AM,06:39 AM,06:37 PM,21,30,30,28,11,2,68,0.0,1012,28,10,246,8,Equatorial_Guinea
2016-02-01,28,26,0.0,11.6,7,34,12:19 AM,12:34 PM,06:39 AM,06:37 PM,22,30,30,27,14,2,73,0.0,1011,28,10,269,10,Equatorial_Guinea
