date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,25,16,0.0,11.6,6,50,No moonrise,11:47 AM,06:50 AM,06:05 PM,11,21,22,21,4,7,55,0.4,1016,25,10,220,3,Eritrea
2016-01-02,23,16,0.0,11.5,5,43,12:11 AM,12:24 PM,06:51 AM,06:05 PM,13,20,20,20,8,10,66,0.1,1018,23,10,56,7,Eritrea
2016-01-03,23,15,0.0,11.6,5,36,12:58 AM,01:03 PM,06:51 AM,06:06 PM,13,19,19,19,11,12,71,0.0,1017,23,10,60,9,Eritrea
2016-01-04,24,13,0.0,11.6,5,28,01:45 AM,01:43 PM,06:51 AM,06:06 PM,11,19,19,19,11,16,63,0.0,1014,24,10,79,8,Eritrea
2016-01-05,24,17,0.0,11.6,6,21,02:33 AM,02:25 PM,06:52 AM,06:07 PM,13,21,22,21,11,10,64,0.0,1015,24,10,55,9,Eritrea
2016-01-06,24,16,0.0,11.6,5,14,03:23 AM,03:10 PM,06:52 AM,06:07 PM,14,20,21,20,8,8,69,0.0,1015,24,10,63,6,Eritrea
2016-01-07,25,16,0.0,11.6,6,7,04:14 AM,03:58 PM,06:52 AM,06:08 PM,13,21,21,21,6,7,63,0.0,1015,25,10,138,5,Eritrea
2016-01-08,26,16,0.0,11.6,6,0,05:07 AM,04:49 PM,06:53 AM,06:09 PM,9,23,23,23,5,1,43,0.0,1015,26,10,142,4,Eritrea
2016-01-09,26,15,0.0,11.6,5,0,06:01 AM,05:44 PM,06:53 AM,06:09 PM,10,22,22,22,6,2,50,0.0,1014,26,10,114,5,Eritrea
2016-01-10,25,15,0.0,11.6,5,0,06:54 AM,06:40 PM,06:53 AM,06:10 PM,12,20,20,20,8,8,65,0.0,1014,25,10,104,6,Eritrea
2016-01-11,25,15,0.0,11.6,5,8,07:47 AM,07:39 PM,06:53 AM,06:10 PM,12,21,21,21,6,7,62,1.2,1014,25,10,102,5,Eritrea
2016-01-12,25,15,0.0,11.6,6,15,08:37 AM,08:36 PM,06:54 AM,06:11 PM,11,22,22,22,6,3,54,2.0,1013,25,10,154,4,Eritrea
2016-01-13,25,16,0.0,11.6,5,22,09:26 AM,09:34 PM,06:54 AM,06:12 PM,11,21,22,21,5,4,53,4.7,1014,25,10,129,4,Eritrea
2016-01-14,25,16,0.0,11.6,6,29,10:13 AM,10:31 PM,06:54 AM,06:12 PM,11,21,22,21,6,4,54,3.4,1013,25,10,107,4,Eritrea
2016-01-15,24,15,0.0,11.6,5,37,11:00 AM,11:29 PM,06:54 AM,06:13 PM,11,21,22,21,6,4,55,4.3,1013,24,10,172,4,Eritrea
2016-01-16,24,15,0.0,11.6,5,44,11:47 AM,No moonset,06:54 AM,06:13 PM,11,21,21,21,6,5,55,0.2,1014,24,10,162,4,Eritrea
2016-01-17,25,15,0.0,11.6,5,51,12:34 PM,12:25 AM,06:54 AM,06:14 PM,10,22,22,22,5,2,52,0.0,1014,25,10,182,4,Eritrea
