date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,30,15,0.0,8.6,5,50,No moonrise,12:19 PM,07:16 AM,06:36 PM,-1,21,21,21,30,62,23,0.0,1017,30,10,72,19,Niger
2016-01-02,30,15,0.0,11.2,6,43,12:44 AM,12:58 PM,07:17 AM,06:37 PM,-1,21,21,21,33,5,23,0.0,1016,30,10,69,20,Niger
2016-01-03,30,15,0.0,5.6,5,36,01:30 AM,01:37 PM,07:17 AM,06:37 PM,-2,21,21,21,31,70,22,0.0,1016,30,10,67,19,Niger
2016-01-04,32,15,0.0,11.2,6,28,02:17 AM,02:17 PM,07:17 AM,06:38 PM,-6,22,22,22,25,7,16,0.0,1014,32,10,65,15,Niger
2016-01-05,32,18,0.0,10.1,6,21,03:05 AM,03:00 PM,07:18 AM,06:38 PM,-7,23,23,24,24,21,14,0.0,1014,32,10,69,15,Niger
2016-01-06,33,16,0.0,7.1,5,14,03:55 AM,03:46 PM,07:18 AM,06:39 PM,-8,23,23,24,24,43,12,0.0,1015,33,10,32,14,Niger
2016-01-07,35,18,0.0,11.2,6,7,04:46 AM,04:34 PM,07:18 AM,06:40 PM,-9,24,24,25,27,3,11,0.0,1015,35,10,49,17,Niger
2016-01-08,35,19,0.0,11.2,7,0,05:39 AM,05:26 PM,07:19 AM,06:40 PM,-11,25,25,26,28,30,8,0.0,1015,35,10,123,16,Niger
2016-01-09,37,20,0.0,11.2,7,0,06:32 AM,06:20 PM,07:19 AM,06:41 PM,-8,26,26,27,24,30,11,0.0,1014,37,10,59,14,Niger
2016-01-10,37,19,0.0,8.6,7,0,07:26 AM,07:17 PM,07:19 AM,06:41 PM,-7,26,26,27,25,55,11,0.0,1014,37,10,65,15,Niger
2016-01-11,37,19,0.0,11.2,7,8,08:18 AM,08:15 PM,07:19 AM,06:42 PM,-8,26,26,27,28,8,11,0.0,1013,37,10,61,17,Niger
2016-01-12,35,18,0.0,11.2,7,15,09:09 AM,09:12 PM,07:20 AM,06:42 PM,-8,25,25,26,30,0,11,0.0,1013,35,10,69,18,Niger
2016-01-13,34,17,0.0,11.2,6,22,09:59 AM,10:09 PM,07:20 AM,06:43 PM,-7,23,23,24,29,0,13,0.0,1014,34,10,68,18,Niger
2016-01-14,34,16,0.0,11.2,6,29,10:46 AM,11:06 PM,07:20 AM,06:44 PM,-6,23,23,24,28,0,14,0.0,1013,34,10,69,17,Niger
2016-01-15,34,16,0.0,11.2,6,37,11:34 AM,No moonset,07:20 AM,06:44 PM,-7,23,23,24,26,0,13,0.0,1013,34,10,67,16,Niger
2016-01-16,34,16,0.0,11.3,6,44,12:21 PM,12:03 AM,07:20 AM,06:45 PM,-6,23,23,24,24,20,14,0.0,1013,34,10,59,14,Niger
2016-01-17,35,17,0.0,11.2,6,51,01:09 PM,12:59 AM,07:21 AM,06:45 PM,-7,24,24,25,24,1,13,0.0,1013,35,10,61,14,Niger
2016-01-18,35,17,0.0,11.3,6,59,01:59 PM,01:56 AM,07:21 AM,06:46 PM,-10,24,24,25,27,0,10,0.0,1013,35,10,72,16,Niger
2016-01-19,34,16,0.0,11.3,6,66,02:50 PM,02:53 AM,07:21 AM,06:46 PM,-7,23,23,24,28,12,14,0.0,1014,34,10,76,17,Niger
2016-01-20,34,15,0.0,11.3,6,73,03:44 PM,03:51 AM,07:21 AM,06:47 PM,-11,23,23,23,27,0,10,0.0,1013,34,10,70,17,Niger
2016-01-21,35,16,0.0,11.3,6,80,04:38 PM,04:47 AM,07:21 AM,06:47 PM,-12,23,23,24,27,3,9,0.0,1014,35,10,64,16,Niger
2016-01-22,35,17,0.0,11.3,6,88,05:34 PM,05:43 AM,07:21 AM,06:48 PM,-12,24,24,25,28,4,8,0.0,1015,35,10,48,17,Niger
2016-01-23,33,17,0.0,11.3,6,95,06:28 PM,06:35 AM,07:21 AM,06:48 PM,-12,23,23,24,28,17,9,0.0,1016,33,10,61,17,Niger
2016-01-24,29,17,0.0,11.3,6,100,07:21 PM,07:25 AM,07:21 AM,06:49 PM,-8,22,22,23,34,36,12,0.0,1019,29,10,69,21,Niger
2016-01-25,30,17,0.0,10.1,6,100,08:13 PM,08:11 AM,07:21 AM,06:49 PM,-4,22,22,23,31,34,16,0.0,1019,30,10,68,20,Niger
2016-01-26,31,19,0.0,11.3,6,83,09:02 PM,08:55 AM,07:21 AM,06:50 PM,-5,22,22,23,37,16,16,0.0,1019,31,10,70,23,Niger
2016-01-27,31,18,0.0,11.3,6,76,09:50 PM,09:36 AM,07:21 AM,06:50 PM,-6,22,22,23,34,29,15,0.0,1018,31,10,73,21,Niger
2016-01-28,30,14,0.0,11.3,6,69,10:37 PM,10:15 AM,07:21 AM,06:51 PM,-8,21,21,21,31,8,15,0.0,1018,30,10,62,19,Niger
2016-01-29,29,14,0.0,11.3,6,61,11:24 PM,10:54 AM,07:21 AM,06:51 PM,-7,21,20,21,32,24,15,0.0,1017,29,10,61,20,Niger
2016-01-30,31,14,0.0,11.3,6,54,No moonrise,11:33 AM,07:21 AM,06:52 PM,-5,22,21,22,30,0,17,0.0,1016,31,10,68,19,Niger
2016-01-31,31,14,0.0,11.3,6,50,12:10 AM,12:13 PM,07:20 AM,06:52 PM,-10,21,21,21,28,0,12,0.0,1016,31,10,70,17,Niger
2016-02-01,31,14,0.0,11.3,6,34,12:57 AM,12:54 PM,07:20 AM,06:53 PM,-11,21,20,21,21,2,11,0.0,1014,31,10,66,13,Niger
2016-02-02,34,14,0.0,11.3,6,26,01:45 AM,01:38 PM,07:20 AM,06:53 PM,-11,22,22,23,18,1,10,0.0,1013,34,10,44,10,Niger
2016-02-03,34,16,0.0,11.3,6,18,02:35 AM,02:23 PM,07:20 AM,06:54 PM,-8,23,23,23,28,0,12,0.0,1013,34,10,49,17,Niger
2016-02-04,35,16,0.0,11.3,6,11,03:26 AM,03:13 PM,07:20 AM,06:54 PM,-4,23,23,24,26,0,16,0.0,1014,35,10,44,15,Niger
2016-02-05,35,17,0.0,11.3,6,3,04:19 AM,04:06 PM,07:20 AM,06:54 PM,-4,24,24,25,27,0,15,0.0,1014,35,10,60,16,Niger
2016-02-06,35,17,0.0,11.4,6,0,05:12 AM,05:02 PM,07:19 AM,06:55 PM,-5,24,24,25,30,0,15,0.0,1015,35,10,56,18,Niger
2016-02-07,33,15,0.0,11.4,6,0,06:05 AM,06:00 PM,07:19 AM,06:55 PM,-4,23,23,23,29,0,17,0.0,1017,33,10,53,18,Niger
2016-02-08,34,15,0.0,11.4,6,0,06:58 AM,06:58 PM,07:19 AM,06:56 PM,-5,23,23,23,27,1,16,0.0,1017,34,10,59,17,Niger
2016-02-09,34,16,0.0,11.4,6,4,07:50 AM,07:58 PM,07:18 AM,06:56 PM,-8,23,23,23,29,0,13,0.0,1017,34,10,70,18,Niger
2016-02-10,33,14,0.0,11.4,6,12,08:39 AM,08:56 PM,07:18 AM,06:56 PM,-7,22,22,23,30,0,13,0.0,1015,33,10,64,19,Niger
2016-02-11,34,14,0.0,11.4,6,19,09:29 AM,09:55 PM,07:18 AM,06:57 PM,-8,22,22,23,29,0,14,0.0,1014,34,10,68,18,Niger
2016-02-12,34,15,0.0,11.4,6,27,10:17 AM,10:53 PM,07:18 AM,06:57 PM,-10,22,22,23,27,0,11,0.0,1014,34,10,65,17,Niger
2016-02-13,34,15,0.0,11.4,6,34,11:07 AM,11:51 PM,07:17 AM,06:57 PM,-12,22,22,23,25,0,9,0.0,1014,34,10,62,15,Niger
2016-02-14,35,15,0.0,11.4,6,42,11:57 AM,No moonset,07:17 AM,06:58 PM,-12,23,23,23,20,8,11,0.0,1013,35,10,58,12,Niger
2016-02-15,37,17,0.0,11.4,7,49,12:48 PM,12:49 AM,07:16 AM,06:58 PM,-14,25,25,26,19,14,7,0.0,1010,37,10,161,11,Niger
2016-02-16,39,20,0.0,10.1,7,57,01:40 PM,01:47 AM,07:16 AM,06:58 PM,-11,28,28,29,19,52,7,0.0,1011,39,10,210,11,Niger
2016-02-17,39,22,0.0,11.4,8,64,02:33 PM,02:42 AM,07:16 AM,06:59 PM,-5,29,29,30,19,18,10,0.0,1012,39,10,105,11,Niger
2016-02-18,38,21,0.0,11.4,7,72,03:28 PM,03:38 AM,07:15 AM,06:59 PM,-6,27,27,28,28,1,11,0.0,1011,38,10,68,17,Niger
2016-02-19,40,21,0.0,11.4,7,79,04:21 PM,04:30 AM,07:15 AM,06:59 PM,-4,28,28,29,24,0,12,0.0,1009,40,10,61,14,Niger
2016-02-20,41,22,0.0,11.5,8,87,05:14 PM,05:20 AM,07:14 AM,06:59 PM,-7,29,29,30,31,1,9,0.0,1010,41,10,83,19,Niger
2016-02-21,39,21,0.0,11.6,7,95,06:05 PM,06:06 AM,07:14 AM,07:00 PM,-7,28,28,29,32,0,10,0.0,1011,39,10,86,20,Niger
2016-02-22,39,21,0.0,11.6,7,100,06:55 PM,06:50 AM,07:13 AM,07:00 PM,-6,28,28,29,30,0,11,0.0,1011,39,10,70,19,Niger
