date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,33,23,0.0,11.4,7,50,12:00 AM,12:21 PM,07:07 AM,06:45 PM,16,28,28,27,14,11,53,0.0,1012,33,10,192,7,Sierra_Leone
2016-01-02,33,22,0.0,11.4,7,43,12:45 AM,01:01 PM,07:08 AM,06:46 PM,17,28,28,27,17,8,55,0.0,1012,33,10,180,10,Sierra_Leone
2016-01-03,33,23,0.0,11.4,7,36,01:30 AM,01:42 PM,07:08 AM,06:46 PM,17,28,28,27,11,6,57,0.0,1012,33,10,131,7,Sierra_Leone
2016-01-04,31,24,0.0,11.4,7,28,02:15 AM,02:23 PM,07:08 AM,06:47 PM,20,30,30,28,13,17,65,0.0,1012,31,10,213,8,Sierra_Leone
2016-01-05,26,21,0.0,7.2,5,21,03:02 AM,03:08 PM,07:09 AM,06:48 PM,18,26,26,24,25,78,70,2.2,1014,26,9,160,15,Sierra_Leone
2016-01-06,28,21,0.0,11.4,6,14,03:51 AM,03:54 PM,07:09 AM,06:48 PM,19,25,25,24,18,57,76,0.2,1014,28,9,79,12,Sierra_Leone
2016-01-07,31,22,0.0,11.4,7,7,04:41 AM,04:43 PM,07:10 AM,06:49 PM,20,28,28,26,10,27,69,0.1,1013,31,10,139,7,Sierra_Leone
2016-01-08,29,24,0.0,7.2,6,0,05:34 AM,05:36 PM,07:10 AM,06:49 PM,21,29,29,26,12,59,71,0.0,1014,29,10,149,8,Sierra_Leone
2016-01-09,33,25,0.0,11.4,7,0,06:27 AM,06:30 PM,07:10 AM,06:50 PM,20,30,30,28,13,22,62,0.0,1013,33,10,124,8,Sierra_Leone
2016-01-10,33,25,0.0,11.4,7,0,07:21 AM,07:26 PM,07:11 AM,06:50 PM,20,30,30,28,18,12,64,0.0,1012,33,10,166,11,Sierra_Leone
2016-01-11,32,24,0.0,11.4,7,8,08:14 AM,08:22 PM,07:11 AM,06:51 PM,23,32,32,28,12,10,73,0.0,1011,32,10,239,8,Sierra_Leone
2016-01-12,31,25,0.0,11.4,7,15,09:07 AM,09:19 PM,07:11 AM,06:51 PM,23,31,31,28,16,25,77,0.0,1011,31,10,292,11,Sierra_Leone
2016-01-13,32,24,0.0,11.4,7,22,09:58 AM,10:14 PM,07:11 AM,06:52 PM,23,32,32,28,13,5,77,0.0,1011,32,10,270,9,Sierra_Leone
2016-01-14,31,25,0.0,10.1,6,29,10:47 AM,11:09 PM,07:12 AM,06:52 PM,23,31,31,27,17,31,80,0.1,1011,31,10,285,11,Sierra_Leone
2016-01-15,31,25,0.0,11.4,7,37,11:36 AM,No moonset,07:12 AM,06:53 PM,22,30,30,27,20,13,77,0.0,1012,31,10,305,13,Sierra_Leone
2016-01-16,32,24,0.0,11.4,7,44,12:25 PM,12:04 AM,07:12 AM,06:53 PM,23,32,32,28,13,5,75,0.0,1011,32,10,278,9,Sierra_Leone
2016-01-17,32,24,0.0,11.4,7,51,01:15 PM,12:58 AM,07:12 AM,06:54 PM,23,32,32,28,11,3,74,0.0,1011,32,10,248,8,Sierra_Leone
2016-01-18,31,25,0.0,11.4,7,59,02:06 PM,01:54 AM,07:13 AM,06:54 PM,23,31,31,27,16,23,78,0.0,1011,31,10,282,11,Sierra_Leone
2016-01-19,32,25,0.0,11.4,7,66,02:59 PM,02:50 AM,07:13 AM,06:54 PM,23,32,32,28,11,21,76,0.0,1011,32,10,282,8,Sierra_Leone
2016-01-20,30,25,0.0,11.4,7,73,03:53 PM,03:47 AM,07:13 AM,06:55 PM,23,31,31,28,14,32,75,0.4,1011,30,10,273,10,Sierra_Leone
2016-01-21,31,25,0.0,7.2,7,80,04:48 PM,04:42 AM,07:13 AM,06:55 PM,23,31,31,28,11,61,75,0.6,1012,31,9,282,8,Sierra_Leone
2016-01-22,31,25,0.0,10.1,6,88,05:43 PM,05:38 AM,07:13 AM,06:56 PM,18,28,28,27,16,69,59,1.5,1013,31,10,97,9,Sierra_Leone
2016-01-23,33,26,0.0,11.4,7,95,06:37 PM,06:31 AM,07:13 AM,06:56 PM,16,30,30,29,21,37,46,0.0,1013,33,10,79,13,Sierra_Leone
2016-01-24,34,24,0.0,11.4,7,100,07:29 PM,07:21 AM,07:13 AM,06:57 PM,19,30,30,29,16,0,61,0.0,1014,34,10,185,10,Sierra_Leone
2016-01-25,32,24,0.0,11.4,7,100,08:19 PM,08:08 AM,07:14 AM,06:57 PM,22,31,31,28,12,8,73,0.0,1015,32,10,183,8,Sierra_Leone
2016-01-26,32,24,0.0,11.4,7,83,09:07 PM,08:53 AM,07:14 AM,06:57 PM,23,31,31,28,13,25,76,0.0,1015,32,10,248,9,Sierra_Leone
2016-01-27,33,25,0.0,11.4,7,76,09:54 PM,09:36 AM,07:14 AM,06:58 PM,22,31,31,28,13,14,70,0.0,1013,33,10,196,9,Sierra_Leone
2016-01-28,34,24,0.0,11.4,7,69,10:39 PM,10:17 AM,07:14 AM,06:58 PM,15,29,29,28,17,29,49,0.0,1012,34,10,69,11,Sierra_Leone
2016-01-29,35,24,0.0,11.4,7,61,11:24 PM,10:57 AM,07:14 AM,06:58 PM,10,28,28,29,24,2,33,0.0,1011,35,10,110,14,Sierra_Leone
2016-01-30,33,22,0.0,11.5,7,54,No moonrise,11:38 AM,07:14 AM,06:59 PM,17,29,29,28,13,0,53,0.0,1013,33,10,166,8,Sierra_Leone
2016-01-31,32,23,0.0,11.5,7,50,12:08 AM,12:18 PM,07:14 AM,06:59 PM,21,31,31,28,11,1,68,0.0,1014,32,10,226,8,Sierra_Leone
2016-02-01,32,23,0.0,11.6,7,34,12:54 AM,01:01 PM,07:14 AM,07:00 PM,19,28,28,27,20,0,65,0.0,1013,32,10,235,12,Sierra_Leone
2016-02-02,34,23,0.0,11.6,7,26,01:42 AM,01:46 PM,07:14 AM,07:00 PM,17,28,28,27,20,0,59,0.0,1011,34,10,162,12,Sierra_Leone
2016-02-03,32,22,0.0,11.6,7,18,02:30 AM,02:32 PM,07:14 AM,07:00 PM,20,29,29,27,15,0,65,0.0,1011,32,10,148,10,Sierra_Leone
2016-02-04,32,23,0.0,11.6,7,11,03:22 AM,03:23 PM,07:13 AM,07:00 PM,23,31,31,28,12,9,76,0.0,1013,32,10,204,9,Sierra_Leone
2016-02-05,32,23,0.0,11.6,7,3,04:14 AM,04:16 PM,07:13 AM,07:01 PM,22,30,30,27,16,1,75,0.0,1013,32,10,305,11,Sierra_Leone
2016-02-06,33,23,0.0,11.6,7,0,05:07 AM,05:11 PM,07:13 AM,07:01 PM,22,31,31,28,15,1,73,0.0,1013,33,10,292,10,Sierra_Leone
2016-02-07,34,22,0.0,11.6,7,0,06:01 AM,06:08 PM,07:13 AM,07:01 PM,22,32,32,28,13,1,72,0.0,1013,34,10,207,9,Sierra_Leone
2016-02-08,33,22,0.0,11.6,7,0,06:55 AM,07:06 PM,07:13 AM,07:01 PM,22,30,30,27,11,11,77,0.0,1014,33,10,156,7,Sierra_Leone
2016-02-09,32,24,0.0,11.6,7,4,07:48 AM,08:03 PM,07:13 AM,07:02 PM,22,30,30,27,15,27,74,0.0,1015,32,9,296,11,Sierra_Leone
2016-02-10,33,23,0.0,11.6,7,12,08:39 AM,09:00 PM,07:13 AM,07:02 PM,20,29,29,27,17,17,70,0.0,1012,33,10,228,11,Sierra_Leone
2016-02-11,32,22,0.0,11.6,7,19,09:31 AM,09:57 PM,07:12 AM,07:02 PM,22,30,30,27,14,7,72,0.0,1012,32,10,250,9,Sierra_Leone
2016-02-12,33,23,0.0,11.6,7,27,10:21 AM,10:53 PM,07:12 AM,07:02 PM,21,30,30,27,17,18,70,0.0,1012,33,10,254,11,Sierra_Leone
2016-02-13,33,23,0.0,11.6,7,34,11:12 AM,11:50 PM,07:12 AM,07:03 PM,20,30,30,28,13,18,65,0.0,1011,33,10,227,8,Sierra_Leone
