date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,28,27,0.0,12.9,7,20,08:17 AM,09:05 PM,05:47 AM,06:34 PM,23,31,31,28,20,19,75,0.0,1011,28,10,223,15,Comoros
2017-01-02,28,28,0.0,12.9,7,27,09:09 AM,09:51 PM,05:47 AM,06:35 PM,24,32,32,28,24,21,78,0.3,1011,28,10,177,18,Comoros
2017-01-03,28,28,0.0,12.9,7,34,10:01 AM,10:36 PM,05:48 AM,06:35 PM,23,31,31,28,25,17,76,0.0,1012,28,10,136,19,Comoros
2017-01-04,29,27,0.0,12.9,7,41,10:54 AM,11:21 PM,05:49 AM,06:36 PM,23,31,31,28,23,15,73,0.0,1012,29,10,181,17,Comoros
2017-01-05,28,27,0.0,12.9,7,49,11:47 AM,No moonset,05:49 AM,06:36 PM,23,31,31,28,22,26,73,0.0,1011,28,10,103,17,Comoros
2017-01-06,29,28,0.0,12.9,7,56,12:41 PM,12:07 AM,05:50 AM,06:36 PM,22,31,31,28,15,8,69,0.0,1012,29,10,142,11,Comoros
2017-01-07,29,28,0.0,12.9,7,63,01:38 PM,12:55 AM,05:50 AM,06:36 PM,21,31,31,28,5,23,64,0.6,1011,29,10,153,4,Comoros
2017-01-08,28,27,0.0,10.6,7,70,02:36 PM,01:45 AM,05:51 AM,06:37 PM,22,31,31,28,21,60,72,2.6,1009,28,10,184,15,Comoros
2017-01-09,28,27,0.0,11.9,7,78,03:37 PM,02:38 AM,05:51 AM,06:37 PM,22,30,30,28,17,57,71,0.8,1009,28,10,146,13,Comoros
2017-01-10,28,28,0.0,12.9,6,85,04:38 PM,03:35 AM,05:52 AM,06:37 PM,23,31,31,28,29,49,75,1.6,1010,28,10,346,22,Comoros
2017-01-11,28,27,0.0,12.9,7,92,05:40 PM,04:34 AM,05:52 AM,06:38 PM,23,31,31,28,36,55,77,2.3,1011,28,10,57,27,Comoros
2017-01-12,28,27,0.0,12.9,7,100,06:38 PM,05:35 AM,05:53 AM,06:38 PM,23,31,31,28,24,41,75,0.1,1013,28,10,12,18,Comoros
2017-01-13,28,27,0.0,12.9,7,100,07:34 PM,06:35 AM,05:53 AM,06:38 PM,22,30,30,27,10,23,71,0.0,1011,28,10,221,7,Comoros
2017-01-14,28,27,0.0,12.8,7,86,08:25 PM,07:34 AM,05:54 AM,06:38 PM,22,30,30,28,18,11,70,0.0,1009,28,10,187,13,Comoros
2017-01-15,29,28,0.0,12.8,7,79,09:13 PM,08:29 AM,05:55 AM,06:38 PM,23,31,31,28,23,26,72,0.0,1011,29,10,44,17,Comoros
2017-01-16,28,28,0.0,12.8,7,71,09:57 PM,09:22 AM,05:55 AM,06:38 PM,23,32,32,28,25,40,75,0.3,1012,28,10,48,18,Comoros
2017-01-17,29,28,0.0,12.8,7,64,10:38 PM,10:12 AM,05:56 AM,06:39 PM,22,31,31,28,21,21,71,0.0,1012,29,10,44,15,Comoros
2017-01-18,28,27,0.0,12.8,7,57,11:19 PM,11:00 AM,05:56 AM,06:39 PM,22,31,31,28,19,36,73,2.4,1012,28,10,70,14,Comoros
2017-01-19,28,27,0.0,12.8,7,50,11:59 PM,11:47 AM,05:57 AM,06:39 PM,22,30,30,28,11,32,70,4.2,1012,28,10,95,8,Comoros
2017-01-20,28,28,0.0,12.8,7,42,No moonrise,12:34 PM,05:57 AM,06:39 PM,23,31,31,28,17,33,72,0.1,1011,28,10,10,13,Comoros
2017-01-21,28,28,0.0,12.8,7,35,12:39 AM,01:21 PM,05:58 AM,06:39 PM,23,31,31,28,18,24,73,2.9,1012,28,10,22,13,Comoros
2017-01-22,28,27,0.0,12.8,7,28,01:21 AM,02:08 PM,05:58 AM,06:39 PM,22,30,30,28,10,18,71,0.0,1013,28,10,164,8,Comoros
2017-01-23,28,27,0.0,12.8,7,20,02:04 AM,02:56 PM,05:59 AM,06:39 PM,22,30,30,28,10,15,70,0.8,1013,28,10,57,7,Comoros
2017-01-24,28,27,0.0,12.8,7,13,02:50 AM,03:45 PM,05:59 AM,06:39 PM,22,31,31,28,10,22,70,9.3,1012,28,10,48,7,Comoros
2017-01-25,29,28,0.0,12.8,7,6,03:38 AM,04:34 PM,05:59 AM,06:39 PM,22,31,31,28,11,17,69,1.8,1012,29,10,54,8,Comoros
2017-01-26,29,28,0.0,12.4,7,0,04:27 AM,05:24 PM,06:00 AM,06:39 PM,22,32,32,28,15,19,71,0.0,1013,29,10,27,11,Comoros
