date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,33,23,0.0,11.2,7,20,09:52 AM,09:48 PM,07:30 AM,06:51 PM,9,27,27,27,29,3,33,0.0,1012,33,10,124,16,Gambia
2017-01-02,33,24,0.0,11.2,7,27,10:37 AM,10:41 PM,07:30 AM,06:51 PM,9,27,27,27,27,14,32,0.0,1011,33,10,125,14,Gambia
2017-01-03,33,23,0.0,11.2,7,34,11:23 AM,11:34 PM,07:30 AM,06:52 PM,8,27,27,28,30,10,30,0.0,1012,33,10,49,16,Gambia
2017-01-04,32,23,0.0,11.2,7,41,12:07 PM,No moonset,07:31 AM,06:52 PM,7,27,27,27,35,4,28,0.0,1014,32,10,44,20,Gambia
2017-01-05,31,22,0.0,11.2,7,49,12:52 PM,12:27 AM,07:31 AM,06:53 PM,4,25,25,26,32,1,26,0.0,1013,31,10,121,19,Gambia
2017-01-06,31,21,0.0,11.2,7,56,01:38 PM,01:22 AM,07:31 AM,06:53 PM,6,25,25,25,28,0,29,0.0,1011,31,10,152,15,Gambia
2017-01-07,32,22,0.0,11.2,7,63,02:26 PM,02:18 AM,07:32 AM,06:54 PM,7,26,26,26,25,23,30,0.0,1011,32,10,144,13,Gambia
2017-01-08,31,23,0.0,8.6,7,70,03:19 PM,03:17 AM,07:32 AM,06:55 PM,9,26,26,26,22,44,36,0.0,1012,31,10,207,12,Gambia
2017-01-09,33,23,0.0,8.6,6,78,04:13 PM,04:17 AM,07:32 AM,06:55 PM,8,27,27,27,31,64,31,0.0,1012,33,10,72,16,Gambia
2017-01-10,33,25,0.0,8.6,7,85,05:12 PM,05:19 AM,07:33 AM,06:56 PM,5,27,27,28,40,58,23,0.0,1012,33,10,51,21,Gambia
2017-01-11,30,23,0.0,11.2,7,92,06:12 PM,06:20 AM,07:33 AM,06:56 PM,5,25,25,26,35,17,26,0.0,1012,30,10,37,20,Gambia
2017-01-12,30,21,0.0,11.2,6,100,07:14 PM,07:20 AM,07:33 AM,06:57 PM,5,25,25,25,29,5,28,0.0,1012,30,10,112,17,Gambia
2017-01-13,30,20,0.0,11.2,6,100,08:13 PM,08:16 AM,07:33 AM,06:57 PM,5,25,25,25,25,0,28,0.0,1012,30,10,126,14,Gambia
2017-01-14,30,20,0.0,11.3,6,86,09:10 PM,09:09 AM,07:33 AM,06:58 PM,6,24,24,24,25,2,30,0.0,1011,30,10,119,14,Gambia
2017-01-15,30,21,0.0,11.3,6,79,10:04 PM,09:57 AM,07:33 AM,06:59 PM,9,25,25,24,24,3,39,0.0,1011,30,10,183,13,Gambia
2017-01-16,29,21,0.0,11.3,6,71,10:55 PM,10:41 AM,07:34 AM,06:59 PM,10,25,25,24,25,5,41,0.0,1011,29,10,168,14,Gambia
2017-01-17,29,21,0.0,11.6,6,64,11:45 PM,11:24 AM,07:34 AM,07:00 PM,11,25,25,24,22,12,45,0.0,1010,29,10,199,13,Gambia
2017-01-18,27,21,0.0,11.6,6,57,No moonrise,12:04 PM,07:34 AM,07:00 PM,13,25,25,23,20,12,55,0.0,1010,27,10,319,12,Gambia
2017-01-19,30,20,0.0,11.6,6,50,12:32 AM,12:43 PM,07:34 AM,07:01 PM,11,25,25,24,22,2,44,0.0,1012,30,10,287,12,Gambia
2017-01-20,31,22,0.0,11.6,7,42,01:20 AM,01:23 PM,07:34 AM,07:01 PM,10,26,26,26,28,6,37,0.0,1012,31,10,172,15,Gambia
2017-01-21,31,23,0.0,11.6,7,35,02:07 AM,02:04 PM,07:34 AM,07:02 PM,9,26,26,26,33,5,34,0.0,1012,31,10,146,19,Gambia
2017-01-22,30,22,0.0,11.6,7,28,02:54 AM,02:46 PM,07:34 AM,07:02 PM,5,25,25,25,35,7,28,0.0,1013,30,10,37,21,Gambia
2017-01-23,29,21,0.0,11.6,6,20,03:43 AM,03:30 PM,07:34 AM,07:03 PM,5,24,24,24,35,3,29,0.0,1014,29,10,39,22,Gambia
2017-01-24,29,20,0.0,11.6,6,13,04:31 AM,04:17 PM,07:34 AM,07:03 PM,7,24,24,24,31,0,36,0.0,1014,29,10,106,19,Gambia
2017-01-25,31,20,0.0,11.6,6,6,05:21 AM,05:06 PM,07:34 AM,07:04 PM,7,24,24,24,31,5,34,0.0,1014,31,10,142,17,Gambia
2017-01-26,31,20,0.0,11.6,6,0,06:10 AM,05:57 PM,07:34 AM,07:04 PM,6,24,24,24,29,1,32,0.0,1014,31,10,184,16,Gambia
2017-01-27,32,21,0.0,11.6,7,0,07:00 AM,06:49 PM,07:34 AM,07:05 PM,6,25,25,26,32,2,30,0.0,1015,32,10,155,17,Gambia
2017-01-28,33,22,0.0,11.6,7,1,07:48 AM,07:43 PM,07:34 AM,07:05 PM,6,26,26,27,35,3,27,0.0,1014,33,10,118,18,Gambia
2017-01-29,32,22,0.0,11.6,7,8,08:35 AM,08:36 PM,07:34 AM,07:06 PM,6,26,26,26,35,4,28,0.0,1013,32,10,144,18,Gambia
2017-01-30,31,21,0.0,11.6,6,16,09:21 AM,09:30 PM,07:34 AM,07:06 PM,7,25,25,25,35,4,32,0.0,1013,31,10,178,20,Gambia
2017-01-31,30,21,0.0,10.2,6,20,10:06 AM,10:23 PM,07:34 AM,07:07 PM,9,25,25,25,33,32,37,0.0,1013,30,10,177,20,Gambia
2017-02-01,30,21,0.0,11.6,6,31,10:51 AM,11:18 PM,07:33 AM,07:07 PM,7,25,25,24,33,7,33,0.0,1013,30,10,142,21,Gambia
2017-02-02,30,20,0.0,11.6,6,39,11:37 AM,No moonset,07:33 AM,07:07 PM,6,24,24,24,34,0,32,0.0,1014,30,10,64,21,Gambia
2017-02-03,30,19,0.0,11.6,6,46,12:24 PM,12:13 AM,07:33 AM,07:08 PM,5,24,24,24,33,0,30,0.0,1014,30,10,31,18,Gambia
2017-02-04,31,20,0.0,11.6,6,54,01:14 PM,01:10 AM,07:33 AM,07:08 PM,3,24,24,25,34,0,26,0.0,1013,31,10,37,18,Gambia
2017-02-05,31,21,0.0,11.6,7,62,02:06 PM,02:08 AM,07:33 AM,07:09 PM,3,25,25,26,40,0,24,0.0,1013,31,10,48,22,Gambia
2017-02-06,32,21,0.0,11.6,7,69,03:01 PM,03:07 AM,07:32 AM,07:09 PM,5,25,25,25,37,0,26,0.0,1013,32,10,118,20,Gambia
2017-02-07,33,22,0.0,11.6,7,77,03:59 PM,04:07 AM,07:32 AM,07:09 PM,5,26,26,26,36,0,26,0.0,1012,33,10,79,19,Gambia
2017-02-08,33,22,0.0,11.6,7,84,04:57 PM,05:06 AM,07:32 AM,07:10 PM,5,26,26,26,37,3,26,0.0,1011,33,10,117,19,Gambia
2017-02-09,32,21,0.0,11.6,7,92,05:57 PM,06:02 AM,07:32 AM,07:10 PM,5,25,25,26,34,3,27,0.0,1011,32,10,103,17,Gambia
2017-02-10,31,21,0.0,11.6,6,99,06:54 PM,06:56 AM,07:31 AM,07:10 PM,6,25,25,25,33,24,31,0.0,1011,31,10,179,17,Gambia
2017-02-11,29,21,0.0,8.8,6,100,07:50 PM,07:46 AM,07:31 AM,07:11 PM,7,24,24,24,33,51,35,0.0,1010,29,10,175,18,Gambia
2017-02-12,29,22,0.0,11.6,6,86,08:43 PM,08:32 AM,07:31 AM,07:11 PM,11,25,25,24,31,20,43,0.0,1010,29,10,169,18,Gambia
2017-02-13,29,20,0.0,11.6,6,78,09:34 PM,09:16 AM,07:30 AM,07:11 PM,10,24,24,24,30,12,43,0.0,1011,29,10,222,17,Gambia
2017-02-14,30,21,0.0,11.6,6,71,10:23 PM,09:58 AM,07:30 AM,07:12 PM,12,25,25,24,32,13,48,0.0,1012,30,10,211,18,Gambia
2017-02-15,31,21,0.0,11.6,6,63,11:12 PM,10:38 AM,07:29 AM,07:12 PM,12,26,26,25,39,4,47,0.0,1012,31,10,170,22,Gambia
2017-02-16,29,20,0.0,11.6,6,55,11:59 PM,11:18 AM,07:29 AM,07:12 PM,13,24,24,23,36,3,53,0.0,1012,29,10,253,21,Gambia
2017-02-17,28,20,0.0,11.6,6,48,No moonrise,11:59 AM,07:29 AM,07:13 PM,13,24,24,23,27,2,57,0.0,1011,28,10,244,16,Gambia
2017-02-18,28,19,0.0,11.6,6,40,12:47 AM,12:40 PM,07:28 AM,07:13 PM,14,23,23,22,25,5,60,0.0,1013,28,10,279,14,Gambia
2017-02-19,27,21,0.0,11.6,6,33,01:35 AM,01:24 PM,07:28 AM,07:13 PM,12,25,25,23,29,13,50,0.0,1013,27,10,319,16,Gambia
2017-02-20,28,20,0.0,11.6,6,25,02:23 AM,02:09 PM,07:27 AM,07:13 PM,13,25,25,23,36,5,54,0.0,1012,28,10,327,19,Gambia
