date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,31,22,0.0,11.4,7,20,09:36 AM,09:40 PM,07:11 AM,06:46 PM,20,30,30,28,13,1,63,0.0,1011,31,10,246,9,Guinea
2017-01-02,31,22,0.0,11.3,7,27,10:22 AM,10:31 PM,07:12 AM,06:46 PM,21,30,30,28,11,0,70,0.0,1011,31,10,242,9,Guinea
2017-01-03,31,22,0.0,11.4,7,34,11:09 AM,11:23 PM,07:12 AM,06:47 PM,22,32,32,28,11,1,71,0.0,1012,31,10,208,8,Guinea
2017-01-04,32,22,0.0,11.4,7,41,11:54 AM,No moonset,07:12 AM,06:48 PM,21,31,31,28,13,0,67,0.0,1012,32,10,179,9,Guinea
2017-01-05,31,22,0.0,11.4,7,49,12:40 PM,12:15 AM,07:13 AM,06:48 PM,21,31,31,28,10,2,69,0.0,1011,31,10,239,8,Guinea
2017-01-06,31,22,0.0,11.4,7,56,01:28 PM,01:09 AM,07:13 AM,06:49 PM,21,31,31,28,10,1,68,0.0,1011,31,10,194,7,Guinea
2017-01-07,32,23,0.0,11.4,7,63,02:18 PM,02:03 AM,07:13 AM,06:49 PM,20,30,30,28,12,1,65,0.0,1011,32,10,240,8,Guinea
2017-01-08,30,22,0.0,11.4,7,70,03:11 PM,03:01 AM,07:14 AM,06:50 PM,23,31,31,28,11,4,76,0.0,1012,30,10,289,8,Guinea
2017-01-09,32,22,0.0,11.4,7,78,04:07 PM,04:00 AM,07:14 AM,06:50 PM,19,29,29,28,14,5,62,0.0,1011,32,10,309,10,Guinea
2017-01-10,32,22,0.0,11.4,7,85,05:06 PM,05:01 AM,07:14 AM,06:51 PM,17,28,28,27,12,9,58,0.0,1010,32,10,204,8,Guinea
2017-01-11,31,21,0.0,11.4,7,92,06:06 PM,06:02 AM,07:15 AM,06:51 PM,19,28,28,27,11,9,67,0.0,1010,31,10,192,8,Guinea
