date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,13,9,0.0,10.0,4,20,10:14 AM,09:22 PM,08:10 AM,06:12 PM,6,10,11,10,12,63,70,0.0,1028,13,10,255,8,Libya
2017-01-02,14,9,0.0,10.0,4,27,10:54 AM,10:21 PM,08:10 AM,06:13 PM,3,10,11,10,21,29,59,0.0,1027,14,10,247,14,Libya
2017-01-03,14,8,0.0,10.0,4,34,11:33 AM,11:21 PM,08:10 AM,06:13 PM,1,9,11,9,32,2,50,0.0,1027,14,10,247,21,Libya
2017-01-04,15,9,0.0,10.0,4,41,12:09 PM,No moonset,08:10 AM,06:14 PM,-0,9,12,9,35,20,44,0.0,1023,15,10,256,22,Libya
2017-01-05,15,9,0.0,10.0,4,49,12:47 PM,12:22 AM,08:11 AM,06:15 PM,0,10,12,10,37,3,44,0.0,1017,15,10,257,23,Libya
2017-01-06,14,11,0.0,6.7,3,56,01:25 PM,01:24 AM,08:11 AM,06:16 PM,4,9,12,9,49,56,57,1.6,1020,14,10,307,35,Libya
2017-01-07,12,10,0.0,5.0,3,63,02:06 PM,02:28 AM,08:11 AM,06:16 PM,4,8,11,8,42,90,62,1.2,1026,12,9,310,32,Libya
2017-01-08,13,9,0.0,5.0,3,70,02:51 PM,03:34 AM,08:11 AM,06:17 PM,5,9,11,9,35,77,64,2.0,1024,13,10,288,25,Libya
2017-01-09,13,9,0.0,6.7,4,78,03:41 PM,04:40 AM,08:11 AM,06:18 PM,4,7,10,7,42,66,67,7.2,1016,13,10,257,29,Libya
2017-01-10,12,8,0.0,10.0,4,85,04:35 PM,05:46 AM,08:11 AM,06:19 PM,3,8,10,8,30,41,63,0.4,1016,12,10,265,21,Libya
2017-01-11,14,7,0.0,10.0,4,92,05:35 PM,06:50 AM,08:11 AM,06:20 PM,0,9,11,9,23,13,47,0.0,1015,14,10,161,13,Libya
2017-01-12,17,10,0.0,10.1,4,100,06:37 PM,07:49 AM,08:10 AM,06:21 PM,4,12,13,12,25,8,55,0.0,1023,17,10,80,15,Libya
2017-01-13,17,10,0.0,10.1,4,100,07:42 PM,08:42 AM,08:10 AM,06:22 PM,4,13,14,13,21,23,55,0.0,1020,17,10,196,13,Libya
2017-01-14,15,10,0.0,10.1,4,86,08:45 PM,09:30 AM,08:10 AM,06:23 PM,5,10,12,10,26,19,64,1.3,1017,15,10,273,17,Libya
2017-01-15,13,10,0.0,10.1,4,79,09:46 PM,10:11 AM,08:10 AM,06:23 PM,4,9,11,9,32,28,60,0.7,1016,13,10,264,22,Libya
2017-01-16,12,8,0.0,10.1,3,71,10:45 PM,10:50 AM,08:10 AM,06:24 PM,-0,6,10,6,43,9,51,0.0,1015,12,10,253,29,Libya
2017-01-17,15,8,0.0,10.2,4,64,11:41 PM,11:25 AM,08:09 AM,06:25 PM,0,8,11,8,54,16,47,0.0,1011,15,10,243,37,Libya
2017-01-18,14,10,0.0,10.2,4,57,No moonrise,11:58 AM,08:09 AM,06:26 PM,-0,9,12,9,42,12,44,0.0,1014,14,10,252,28,Libya
2017-01-19,17,8,0.0,10.2,4,50,12:36 AM,12:31 PM,08:09 AM,06:27 PM,1,12,13,12,20,19,44,0.0,1020,17,10,157,12,Libya
2017-01-20,20,11,0.0,10.2,5,42,01:30 AM,01:05 PM,08:09 AM,06:28 PM,4,14,15,14,47,3,50,0.0,1017,20,10,124,29,Libya
2017-01-21,18,12,0.0,10.0,4,35,02:23 AM,01:40 PM,08:08 AM,06:29 PM,2,14,15,14,30,41,42,0.0,1014,18,10,228,19,Libya
2017-01-22,16,9,0.0,10.0,4,28,03:16 AM,02:17 PM,08:08 AM,06:30 PM,0,13,13,13,14,16,41,0.0,1015,16,10,263,9,Libya
2017-01-23,16,9,0.0,10.2,4,20,04:08 AM,02:57 PM,08:07 AM,06:31 PM,-0,12,13,12,25,6,42,0.0,1014,16,10,243,15,Libya
2017-01-24,16,10,0.0,10.3,4,13,05:01 AM,03:41 PM,08:07 AM,06:32 PM,2,11,12,11,40,16,49,0.0,1015,16,10,247,26,Libya
2017-01-25,15,9,0.0,10.3,4,6,05:52 AM,04:29 PM,08:06 AM,06:33 PM,4,9,12,9,32,10,59,0.3,1018,15,10,266,21,Libya
2017-01-26,15,9,0.0,10.3,4,0,06:41 AM,05:21 PM,08:06 AM,06:34 PM,4,10,12,10,25,15,61,0.0,1025,15,10,272,17,Libya
2017-01-27,17,9,0.0,10.0,4,0,07:28 AM,06:16 PM,08:05 AM,06:35 PM,3,12,13,12,17,22,51,0.0,1026,17,10,145,10,Libya
2017-01-28,19,10,0.0,10.3,4,1,08:12 AM,07:14 PM,08:05 AM,06:36 PM,2,13,14,13,30,9,46,0.0,1021,19,10,207,18,Libya
2017-01-29,15,10,0.0,10.3,4,8,08:54 AM,08:14 PM,08:04 AM,06:37 PM,5,11,12,11,32,26,61,1.4,1019,15,10,276,22,Libya
2017-01-30,15,11,0.0,10.3,3,16,09:34 AM,09:15 PM,08:04 AM,06:38 PM,8,12,13,12,17,45,74,1.4,1024,15,10,317,12,Libya
2017-01-31,16,9,0.0,10.4,4,20,10:11 AM,10:16 PM,08:03 AM,06:39 PM,8,13,13,13,14,13,68,0.0,1027,16,10,188,9,Libya
2017-02-01,18,11,0.0,10.4,4,31,10:49 AM,11:18 PM,08:02 AM,06:40 PM,3,13,14,13,27,25,48,0.0,1026,18,10,158,15,Libya
2017-02-02,20,11,0.0,10.4,5,39,11:27 AM,No moonset,08:02 AM,06:41 PM,3,15,15,15,29,24,43,0.0,1024,20,10,155,16,Libya
2017-02-03,20,13,0.0,10.4,5,46,12:06 PM,12:21 AM,08:01 AM,06:42 PM,3,16,17,16,18,29,41,0.0,1022,20,10,209,10,Libya
2017-02-04,20,12,0.0,10.4,5,54,12:49 PM,01:25 AM,08:00 AM,06:42 PM,6,16,16,16,18,5,51,0.0,1024,20,10,264,12,Libya
2017-02-05,21,13,0.0,10.8,5,62,01:35 PM,02:29 AM,07:59 AM,06:43 PM,3,16,17,16,34,1,39,0.0,1021,21,10,234,19,Libya
2017-02-06,17,13,0.0,10.9,5,69,02:25 PM,03:34 AM,07:59 AM,06:44 PM,1,14,15,14,45,8,39,0.0,1016,17,10,269,29,Libya
2017-02-07,16,10,0.0,10.9,4,77,03:21 PM,04:36 AM,07:58 AM,06:45 PM,3,11,13,11,40,19,51,0.1,1016,16,10,284,27,Libya
2017-02-08,17,11,0.0,10.1,4,84,04:21 PM,05:35 AM,07:57 AM,06:46 PM,7,13,14,13,22,33,65,0.1,1017,17,10,248,14,Libya
2017-02-09,16,12,0.0,10.9,4,92,05:23 PM,06:29 AM,07:56 AM,06:47 PM,2,13,14,13,34,12,45,0.0,1015,16,10,254,22,Libya
2017-02-10,16,10,0.0,10.9,4,99,06:26 PM,07:19 AM,07:55 AM,06:48 PM,3,11,13,11,39,9,55,0.0,1017,16,10,277,27,Libya
2017-02-11,16,9,0.0,11.0,4,100,07:28 PM,08:04 AM,07:54 AM,06:49 PM,8,13,14,13,16,10,68,0.0,1021,16,10,154,11,Libya
2017-02-12,20,10,0.0,11.0,4,86,08:28 PM,08:44 AM,07:54 AM,06:50 PM,5,13,15,13,30,17,57,0.0,1022,20,10,141,18,Libya
2017-02-13,22,11,0.0,11.0,5,78,09:27 PM,09:21 AM,07:53 AM,06:51 PM,5,15,17,15,34,6,49,0.0,1022,22,10,143,19,Libya
2017-02-14,23,13,0.0,11.0,5,71,10:23 PM,09:56 AM,07:52 AM,06:52 PM,3,17,18,17,36,21,39,0.0,1021,23,10,123,20,Libya
2017-02-15,19,13,0.0,11.0,5,63,11:19 PM,10:29 AM,07:51 AM,06:53 PM,9,14,15,14,43,13,68,0.0,1028,19,10,106,31,Libya
2017-02-16,19,11,0.0,11.0,4,55,No moonrise,11:03 AM,07:50 AM,06:53 PM,8,13,14,13,31,0,65,0.0,1030,19,10,112,21,Libya
2017-02-17,21,11,0.0,11.1,5,48,12:12 AM,11:38 AM,07:49 AM,06:54 PM,5,15,16,15,23,4,49,0.0,1027,21,10,131,13,Libya
2017-02-18,23,14,0.0,11.1,5,40,01:06 AM,12:13 PM,07:48 AM,06:55 PM,3,18,19,18,19,5,35,0.0,1020,23,10,179,10,Libya
2017-02-19,15,12,0.0,5.5,3,33,01:59 AM,12:52 PM,07:47 AM,06:56 PM,10,13,14,13,29,53,75,0.2,1020,15,10,286,19,Libya
2017-02-20,17,11,0.0,11.1,4,25,02:51 AM,01:35 PM,07:46 AM,06:57 PM,8,13,14,13,17,27,69,0.0,1024,17,10,269,12,Libya
2017-02-21,17,11,0.0,11.1,4,18,03:42 AM,02:20 PM,07:45 AM,06:58 PM,7,14,14,14,14,3,63,0.0,1024,17,10,27,11,Libya
2017-02-22,19,9,0.0,11.2,4,10,04:32 AM,03:10 PM,07:43 AM,06:59 PM,7,17,17,17,9,0,54,0.0,1024,19,10,147,6,Libya
2017-02-23,23,13,0.0,11.6,5,3,05:20 AM,04:04 PM,07:42 AM,07:00 PM,7,20,20,20,12,3,43,0.0,1021,23,10,155,7,Libya
2017-02-24,28,18,0.0,11.6,6,0,06:05 AM,05:01 PM,07:41 AM,07:00 PM,5,22,22,23,32,8,32,0.1,1016,28,10,179,16,Libya
2017-02-25,24,14,0.0,11.6,5,0,06:48 AM,06:00 PM,07:40 AM,07:01 PM,6,20,20,20,37,21,48,0.9,1013,24,10,157,22,Libya
