date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,31,16,0.0,13.8,6,20,08:02 AM,09:23 PM,05:20 AM,07:02 PM,13,25,25,25,8,8,51,0.0,1014,31,10,153,5,South_Africa
2017-01-02,31,17,0.0,13.8,6,27,08:58 AM,10:04 PM,05:20 AM,07:03 PM,13,25,25,25,10,12,50,0.0,1013,31,10,254,6,South_Africa
2017-01-03,30,18,0.0,13.8,6,34,09:55 AM,10:44 PM,05:21 AM,07:03 PM,13,25,25,24,20,17,53,1.3,1012,30,10,170,14,South_Africa
2017-01-04,24,17,0.0,13.3,6,41,10:52 AM,11:25 PM,05:22 AM,07:03 PM,14,21,21,21,27,49,68,1.9,1016,24,10,89,19,South_Africa
2017-01-05,26,15,0.0,13.8,6,49,11:51 AM,No moonset,05:22 AM,07:03 PM,11,21,21,21,19,19,58,0.4,1013,26,10,46,14,South_Africa
2017-01-06,28,15,0.0,13.8,6,56,12:50 PM,12:05 AM,05:23 AM,07:03 PM,14,22,23,22,13,25,63,4.1,1012,28,10,45,9,South_Africa
2017-01-07,22,18,0.0,8.6,4,63,01:52 PM,12:48 AM,05:24 AM,07:03 PM,18,20,20,20,13,77,89,19.2,1013,22,8,99,9,South_Africa
2017-01-08,20,16,0.0,9.8,4,70,02:55 PM,01:33 AM,05:25 AM,07:04 PM,16,18,18,18,16,75,88,3.9,1015,20,8,104,12,South_Africa
2017-01-09,24,16,0.0,13.8,5,78,04:00 PM,02:22 AM,05:25 AM,07:04 PM,16,20,20,20,9,35,78,0.1,1013,24,10,199,7,South_Africa
2017-01-10,27,16,0.0,13.8,6,85,05:04 PM,03:16 AM,05:26 AM,07:04 PM,14,22,22,22,13,32,63,0.5,1013,27,10,89,10,South_Africa
2017-01-11,26,17,0.0,13.8,6,92,06:05 PM,04:14 AM,05:27 AM,07:04 PM,15,22,22,22,13,37,66,1.9,1014,26,10,65,10,South_Africa
2017-01-12,27,16,0.0,13.8,6,100,07:03 PM,05:16 AM,05:28 AM,07:04 PM,14,23,23,23,9,27,62,0.0,1013,27,10,195,6,South_Africa
2017-01-13,28,19,0.0,13.8,6,100,07:55 PM,06:18 AM,05:28 AM,07:04 PM,17,24,24,23,10,31,70,5.5,1011,28,9,125,7,South_Africa
2017-01-14,27,18,0.0,13.8,6,86,08:42 PM,07:20 AM,05:29 AM,07:04 PM,16,24,24,23,13,31,68,4.1,1009,27,10,130,8,South_Africa
2017-01-15,28,17,0.0,13.7,6,79,09:25 PM,08:19 AM,05:30 AM,07:04 PM,15,23,23,23,14,27,65,0.0,1010,28,10,132,9,South_Africa
2017-01-16,29,17,0.0,13.7,6,71,10:04 PM,09:17 AM,05:31 AM,07:03 PM,15,23,23,22,24,13,65,0.0,1010,29,10,128,18,South_Africa
2017-01-17,25,14,0.0,13.7,5,64,10:41 PM,10:11 AM,05:32 AM,07:03 PM,10,19,19,19,29,12,58,0.0,1016,25,10,112,22,South_Africa
2017-01-18,27,10,0.0,13.7,5,57,11:17 PM,11:04 AM,05:32 AM,07:03 PM,8,19,19,19,15,2,51,0.0,1017,27,10,105,11,South_Africa
2017-01-19,29,12,0.0,13.7,6,50,11:53 PM,11:56 AM,05:33 AM,07:03 PM,10,23,23,23,9,2,47,0.0,1012,29,10,220,6,South_Africa
2017-01-20,30,14,0.0,13.7,6,42,No moonrise,12:46 PM,05:34 AM,07:03 PM,11,26,26,26,7,3,45,0.5,1010,30,10,274,5,South_Africa
