date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,33,18,0.0,8.7,6,20,08:32 AM,08:22 PM,06:17 AM,05:31 PM,9,24,24,24,34,0,40,0.0,1013,33,10,181,21,Sudan
2017-01-02,32,16,0.0,8.7,6,27,09:17 AM,09:16 PM,06:17 AM,05:31 PM,7,23,23,24,34,0,35,0.0,1014,32,10,184,21,Sudan
2017-01-03,33,16,0.0,8.7,6,34,10:01 AM,10:09 PM,06:17 AM,05:32 PM,6,23,23,23,35,0,33,0.0,1015,33,10,186,22,Sudan
2017-01-04,32,16,0.0,8.7,6,41,10:45 AM,11:03 PM,06:18 AM,05:32 PM,4,23,23,23,39,0,30,0.0,1015,32,10,181,25,Sudan
2017-01-05,34,15,0.0,8.7,6,49,11:29 AM,11:58 PM,06:18 AM,05:33 PM,3,23,23,23,31,0,28,0.0,1013,34,10,190,19,Sudan
2017-01-06,34,18,0.0,8.7,7,56,12:14 PM,No moonset,06:18 AM,05:33 PM,8,25,25,25,29,0,36,0.0,1013,34,10,185,17,Sudan
2017-01-07,36,19,0.0,8.7,7,63,01:02 PM,12:55 AM,06:18 AM,05:34 PM,3,25,25,26,31,0,27,0.0,1013,36,10,180,18,Sudan
2017-01-08,33,18,0.0,8.7,6,70,01:53 PM,01:54 AM,06:19 AM,05:35 PM,-3,23,23,24,33,0,18,0.0,1014,33,10,265,20,Sudan
2017-01-09,30,15,0.0,8.7,6,78,02:47 PM,02:55 AM,06:19 AM,05:35 PM,-4,21,21,21,34,0,18,0.0,1014,30,10,180,22,Sudan
2017-01-10,33,14,0.0,8.7,6,85,03:45 PM,03:57 AM,06:19 AM,05:36 PM,0,22,22,22,27,0,23,0.0,1012,33,10,190,16,Sudan
2017-01-11,36,17,0.0,8.7,7,92,04:44 PM,04:59 AM,06:19 AM,05:36 PM,6,25,25,26,32,0,32,0.0,1012,36,10,72,19,Sudan
2017-01-12,36,20,0.0,8.7,7,100,05:46 PM,05:59 AM,06:20 AM,05:37 PM,8,27,27,27,37,0,34,0.0,1013,36,10,30,23,Sudan
2017-01-13,35,19,0.0,8.7,7,100,06:46 PM,06:55 AM,06:20 AM,05:38 PM,4,26,26,26,30,0,29,0.0,1011,35,10,44,18,Sudan
2017-01-14,34,19,0.0,8.7,7,86,07:44 PM,07:48 AM,06:20 AM,05:38 PM,1,25,25,26,18,0,21,0.0,1010,34,10,133,10,Sudan
2017-01-15,36,19,0.0,8.7,7,79,08:39 PM,08:35 AM,06:20 AM,05:39 PM,-1,26,26,27,23,1,18,0.0,1010,36,10,33,13,Sudan
2017-01-16,37,19,0.0,8.7,7,71,09:32 PM,09:20 AM,06:20 AM,05:39 PM,-2,26,26,27,30,0,17,0.0,1011,37,10,17,18,Sudan
2017-01-17,37,20,0.0,8.7,7,64,10:21 PM,10:02 AM,06:20 AM,05:40 PM,3,27,27,27,32,0,23,0.0,1011,37,10,22,19,Sudan
