date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,25,0.0,12.8,7,97,05:59 PM,04:59 AM,05:52 AM,06:29 PM,23,29,29,26,13,40,81,1.9,1011,28,10,200,10,Angola
2018-01-02,27,25,0.0,11.9,7,100,07:03 PM,06:03 AM,05:52 AM,06:30 PM,23,28,28,26,18,65,83,6.8,1011,27,9,193,12,Angola
2018-01-03,28,24,0.0,12.8,7,89,08:03 PM,07:07 AM,05:53 AM,06:30 PM,22,29,29,26,16,44,79,0.0,1011,28,10,199,12,Angola
2018-01-04,28,25,0.0,12.8,7,81,09:00 PM,08:09 AM,05:53 AM,06:30 PM,22,28,28,26,17,45,78,0.3,1012,28,10,223,13,Angola
2018-01-05,27,24,0.0,11.9,7,74,09:53 PM,09:09 AM,05:54 AM,06:31 PM,21,28,28,26,11,57,77,0.2,1012,27,10,226,8,Angola
2018-01-06,29,24,0.0,10.6,6,67,10:41 PM,10:05 AM,05:54 AM,06:31 PM,22,29,29,26,11,53,76,0.3,1011,29,10,200,9,Angola
2018-01-07,29,24,0.0,12.8,7,59,11:26 PM,10:58 AM,05:55 AM,06:32 PM,22,29,29,27,10,43,76,0.8,1012,29,10,253,8,Angola
2018-01-08,29,25,0.0,11.9,6,52,No moonrise,11:48 AM,05:56 AM,06:32 PM,22,29,29,27,11,40,76,0.1,1013,29,10,190,9,Angola
2018-01-09,29,24,0.0,12.8,7,45,12:09 AM,12:36 PM,05:56 AM,06:32 PM,22,29,29,27,17,35,77,0.0,1013,29,10,184,13,Angola
2018-01-10,29,24,0.0,12.8,7,38,12:51 AM,01:24 PM,05:57 AM,06:32 PM,22,29,29,27,16,30,75,0.0,1012,29,10,205,12,Angola
2018-01-11,29,25,0.0,12.8,7,30,01:34 AM,02:11 PM,05:57 AM,06:33 PM,22,29,29,27,14,47,76,0.2,1011,29,10,209,11,Angola
2018-01-12,28,25,0.0,10.6,7,23,02:16 AM,02:58 PM,05:58 AM,06:33 PM,22,30,30,27,13,66,77,0.0,1011,28,10,226,10,Angola
2018-01-13,29,24,0.0,10.6,6,16,03:01 AM,03:46 PM,05:58 AM,06:33 PM,22,29,29,26,17,62,80,7.9,1012,29,9,240,12,Angola
2018-01-14,29,24,0.0,12.7,7,9,03:46 AM,04:34 PM,05:59 AM,06:33 PM,22,29,29,27,11,39,77,4.0,1012,29,10,228,8,Angola
2018-01-15,29,25,0.0,12.8,7,1,04:33 AM,05:23 PM,05:59 AM,06:34 PM,22,30,30,27,15,14,76,0.0,1012,29,10,213,11,Angola
2018-01-16,30,25,0.0,12.8,7,0,05:21 AM,06:10 PM,05:59 AM,06:34 PM,23,30,30,27,15,39,77,1.7,1011,30,10,200,11,Angola
2018-01-17,29,25,0.0,11.8,7,0,06:09 AM,06:57 PM,06:00 AM,06:34 PM,23,30,30,27,15,50,81,0.1,1010,29,10,198,12,Angola
2018-01-18,28,25,0.0,11.8,7,6,06:58 AM,07:43 PM,06:00 AM,06:34 PM,23,29,29,26,16,60,80,0.2,1011,28,10,217,12,Angola
2018-01-19,29,25,0.0,11.6,7,13,07:47 AM,08:26 PM,06:01 AM,06:34 PM,22,29,29,27,14,37,76,0.3,1011,29,10,222,11,Angola
2018-01-20,29,25,0.0,11.6,7,20,08:34 AM,09:09 PM,06:01 AM,06:35 PM,22,30,30,27,13,35,77,2.2,1010,29,10,228,10,Angola
2018-01-21,29,25,0.0,11.6,7,28,09:23 AM,09:52 PM,06:02 AM,06:35 PM,23,30,30,27,12,36,78,3.9,1011,29,10,206,9,Angola
2018-01-22,29,25,0.0,11.6,7,35,10:10 AM,10:34 PM,06:02 AM,06:35 PM,23,30,30,27,16,26,77,6.7,1011,29,9,200,11,Angola
2018-01-23,30,25,0.0,11.6,7,42,10:59 AM,11:18 PM,06:03 AM,06:35 PM,23,30,30,27,14,35,78,0.2,1010,30,10,212,11,Angola
2018-01-24,28,25,0.0,8.9,7,49,11:49 AM,No moonset,06:03 AM,06:35 PM,23,30,30,27,10,52,82,4.3,1011,28,10,249,7,Angola
2018-01-25,30,25,0.0,11.6,7,57,12:42 PM,12:03 AM,06:03 AM,06:35 PM,24,31,31,27,12,37,80,0.6,1010,30,10,184,9,Angola
2018-01-26,30,26,0.0,11.6,7,64,01:38 PM,12:52 AM,06:04 AM,06:35 PM,24,31,31,27,17,40,80,1.8,1010,30,10,187,12,Angola
2018-01-27,30,26,0.0,11.6,7,71,02:36 PM,01:44 AM,06:04 AM,06:35 PM,23,31,31,28,16,47,79,0.0,1009,30,10,206,12,Angola
2018-01-28,30,25,0.0,7.5,6,78,03:38 PM,02:40 AM,06:05 AM,06:35 PM,24,31,31,27,16,76,83,2.1,1010,30,10,216,12,Angola
2018-01-29,29,26,0.0,10.2,7,86,04:40 PM,03:41 AM,06:05 AM,06:35 PM,24,31,31,27,15,57,82,3.3,1011,29,10,188,11,Angola
2018-01-30,30,26,0.0,11.6,7,93,05:42 PM,04:43 AM,06:05 AM,06:35 PM,23,31,31,28,18,28,78,0.1,1010,30,10,206,13,Angola
2018-01-31,30,26,0.0,11.6,7,97,06:41 PM,05:47 AM,06:06 AM,06:35 PM,23,31,31,28,17,40,74,0.1,1008,30,10,204,13,Angola
