date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,27,21,0.0,11.9,6,97,05:44 PM,04:58 AM,05:51 AM,06:13 PM,21,26,26,23,7,64,85,3.8,1012,27,10,213,5,Democratic_Republic_of_Congo
2018-01-02,31,20,0.0,12.6,6,100,06:47 PM,06:01 AM,05:52 AM,06:14 PM,20,27,27,25,7,39,79,1.3,1011,31,9,232,4,Democratic_Republic_of_Congo
2018-01-03,32,21,0.0,12.6,6,89,07:49 PM,07:05 AM,05:52 AM,06:14 PM,21,28,28,25,8,37,79,4.6,1011,32,10,264,5,Democratic_Republic_of_Congo
2018-01-04,29,21,0.0,12.6,6,81,08:47 PM,08:06 AM,05:53 AM,06:14 PM,21,26,26,24,11,47,84,6.3,1012,29,9,257,7,Democratic_Republic_of_Congo
2018-01-05,30,19,0.0,12.6,6,74,09:41 PM,09:05 AM,05:53 AM,06:15 PM,19,26,26,24,10,32,76,0.7,1012,30,8,263,6,Democratic_Republic_of_Congo
2018-01-06,29,20,0.0,12.6,6,67,10:30 PM,09:59 AM,05:54 AM,06:15 PM,20,25,25,24,9,30,79,0.2,1012,29,9,271,6,Democratic_Republic_of_Congo
2018-01-07,28,20,0.0,12.6,6,59,11:17 PM,10:50 AM,05:54 AM,06:16 PM,20,25,25,24,7,35,83,5.4,1012,28,9,276,4,Democratic_Republic_of_Congo
2018-01-08,30,20,0.0,12.6,6,52,No moonrise,11:39 AM,05:55 AM,06:16 PM,20,27,27,25,6,27,78,1.4,1013,30,10,253,3,Democratic_Republic_of_Congo
2018-01-09,29,21,0.0,12.6,6,45,12:02 AM,12:25 PM,05:55 AM,06:16 PM,20,27,27,25,9,17,78,1.2,1013,29,10,240,6,Democratic_Republic_of_Congo
2018-01-10,32,20,0.0,12.6,6,38,12:45 AM,01:12 PM,05:56 AM,06:17 PM,20,27,27,25,8,21,74,0.9,1012,32,10,254,5,Democratic_Republic_of_Congo
2018-01-11,32,20,0.0,12.6,7,30,01:29 AM,01:58 PM,05:56 AM,06:17 PM,20,27,27,25,8,25,75,3.6,1011,32,10,261,5,Democratic_Republic_of_Congo
2018-01-12,27,21,0.0,12.6,6,23,02:13 AM,02:44 PM,05:57 AM,06:17 PM,21,26,26,24,10,40,85,8.3,1012,27,9,267,6,Democratic_Republic_of_Congo
2018-01-13,29,20,0.0,12.6,6,16,02:58 AM,03:32 PM,05:57 AM,06:18 PM,20,26,26,24,10,40,82,2.9,1012,29,8,252,6,Democratic_Republic_of_Congo
2018-01-14,29,20,0.0,11.9,6,9,03:44 AM,04:19 PM,05:58 AM,06:18 PM,20,26,26,24,6,47,80,1.4,1012,29,8,237,4,Democratic_Republic_of_Congo
2018-01-15,33,21,0.0,12.6,7,1,04:31 AM,05:07 PM,05:58 AM,06:18 PM,20,28,28,26,6,25,73,0.6,1012,33,10,226,4,Democratic_Republic_of_Congo
2018-01-16,34,21,0.0,12.6,7,0,05:20 AM,05:55 PM,05:58 AM,06:19 PM,21,29,29,26,6,29,73,4.3,1011,34,9,197,3,Democratic_Republic_of_Congo
2018-01-17,33,21,0.0,12.6,7,0,06:07 AM,06:42 PM,05:59 AM,06:19 PM,21,29,29,26,6,19,74,3.2,1010,33,10,240,4,Democratic_Republic_of_Congo
2018-01-18,31,22,0.0,12.6,6,6,06:55 AM,07:29 PM,05:59 AM,06:19 PM,21,27,27,25,11,29,80,5.3,1011,31,9,260,7,Democratic_Republic_of_Congo
2018-01-19,26,21,0.0,7.6,5,13,07:43 AM,08:13 PM,06:00 AM,06:19 PM,21,26,26,23,5,63,85,5.3,1012,26,10,242,4,Democratic_Republic_of_Congo
2018-01-20,29,20,0.0,12.2,6,20,08:30 AM,08:58 PM,06:00 AM,06:20 PM,20,26,26,24,8,36,80,7.1,1011,29,10,281,5,Democratic_Republic_of_Congo
2018-01-21,30,21,0.0,12.2,5,28,09:16 AM,09:42 PM,06:00 AM,06:20 PM,20,27,27,25,8,33,78,6.5,1011,30,10,258,5,Democratic_Republic_of_Congo
2018-01-22,30,21,0.0,11.6,6,35,10:03 AM,10:25 PM,06:01 AM,06:20 PM,20,27,27,25,9,22,76,5.4,1011,30,10,248,6,Democratic_Republic_of_Congo
2018-01-23,26,21,0.0,7.5,5,42,10:50 AM,11:11 PM,06:01 AM,06:20 PM,20,25,25,23,8,70,88,8.9,1011,26,8,229,5,Democratic_Republic_of_Congo
2018-01-24,33,20,0.0,11.6,6,49,11:39 AM,11:58 PM,06:01 AM,06:20 PM,20,27,27,25,7,48,76,3.1,1011,33,7,252,4,Democratic_Republic_of_Congo
2018-01-25,32,20,0.0,11.6,7,57,12:30 PM,No moonset,06:02 AM,06:20 PM,21,28,28,25,6,31,77,4.5,1010,32,9,146,3,Democratic_Republic_of_Congo
2018-01-26,32,21,0.0,11.6,6,64,01:24 PM,12:47 AM,06:02 AM,06:20 PM,20,28,28,26,4,34,74,2.7,1010,32,10,232,3,Democratic_Republic_of_Congo
2018-01-27,34,21,0.0,11.6,7,71,02:21 PM,01:41 AM,06:02 AM,06:21 PM,20,29,29,27,4,29,71,2.3,1009,34,10,207,3,Democratic_Republic_of_Congo
2018-01-28,30,21,0.0,11.6,7,78,03:22 PM,02:38 AM,06:02 AM,06:21 PM,21,28,28,25,9,37,81,10.9,1010,30,9,236,5,Democratic_Republic_of_Congo
2018-01-29,32,22,0.0,11.6,7,86,04:24 PM,03:39 AM,06:03 AM,06:21 PM,21,28,28,25,9,38,81,3.8,1010,32,10,245,5,Democratic_Republic_of_Congo
2018-01-30,32,21,0.0,11.6,7,93,05:27 PM,04:42 AM,06:03 AM,06:21 PM,21,28,28,26,8,24,76,6.0,1010,32,9,244,5,Democratic_Republic_of_Congo
2018-01-31,33,22,0.0,11.6,7,97,06:27 PM,05:45 AM,06:03 AM,06:21 PM,21,29,29,27,7,29,72,2.7,1009,33,10,220,4,Democratic_Republic_of_Congo
2018-02-01,35,23,0.0,11.6,7,88,07:24 PM,06:45 AM,06:03 AM,06:21 PM,20,31,31,28,6,33,65,0.1,1008,35,10,272,3,Democratic_Republic_of_Congo
2018-02-02,31,23,0.0,11.6,7,81,08:17 PM,07:43 AM,06:04 AM,06:21 PM,22,29,29,26,9,27,79,11.3,1009,31,9,242,5,Democratic_Republic_of_Congo
2018-02-03,34,22,0.0,11.6,7,73,09:07 PM,08:37 AM,06:04 AM,06:21 PM,20,29,29,27,7,17,68,0.0,1010,34,10,237,5,Democratic_Republic_of_Congo
2018-02-04,36,24,0.0,11.6,7,66,09:54 PM,09:29 AM,06:04 AM,06:21 PM,20,32,32,29,4,18,59,0.0,1008,36,10,144,3,Democratic_Republic_of_Congo
2018-02-05,32,24,0.0,11.6,7,58,10:40 PM,10:18 AM,06:04 AM,06:21 PM,22,30,30,27,12,24,74,5.8,1008,32,9,250,7,Democratic_Republic_of_Congo
2018-02-06,37,23,0.0,11.6,7,51,11:25 PM,11:06 AM,06:04 AM,06:21 PM,22,31,31,28,10,24,72,7.3,1008,37,10,247,6,Democratic_Republic_of_Congo
2018-02-07,33,22,0.0,11.6,7,43,No moonrise,11:53 AM,06:05 AM,06:21 PM,22,29,29,27,11,24,76,6.3,1009,33,9,257,6,Democratic_Republic_of_Congo
2018-02-08,34,22,0.0,11.6,7,36,12:09 AM,12:40 PM,06:05 AM,06:21 PM,22,30,30,27,12,22,76,10.6,1009,34,9,262,7,Democratic_Republic_of_Congo
2018-02-09,29,23,0.0,11.6,7,28,12:54 AM,01:27 PM,06:05 AM,06:21 PM,22,28,28,25,13,41,84,8.1,1009,29,10,254,9,Democratic_Republic_of_Congo
2018-02-10,30,23,0.0,11.6,6,20,01:40 AM,02:15 PM,06:05 AM,06:21 PM,22,28,28,26,11,40,82,2.8,1009,30,10,255,7,Democratic_Republic_of_Congo
2018-02-11,34,22,0.0,11.6,7,13,02:27 AM,03:03 PM,06:05 AM,06:20 PM,21,30,30,28,7,21,72,2.1,1009,34,10,267,4,Democratic_Republic_of_Congo
2018-02-12,33,23,0.0,11.6,6,5,03:15 AM,03:51 PM,06:05 AM,06:20 PM,22,30,30,27,9,24,74,9.3,1010,33,9,248,5,Democratic_Republic_of_Congo
2018-02-13,28,23,0.0,10.2,7,0,04:03 AM,04:38 PM,06:05 AM,06:20 PM,22,28,28,25,8,46,80,2.2,1011,28,10,206,5,Democratic_Republic_of_Congo
2018-02-14,33,21,0.0,11.6,7,0,04:51 AM,05:25 PM,06:05 AM,06:20 PM,20,30,30,27,6,37,70,0.2,1010,33,10,121,4,Democratic_Republic_of_Congo
2018-02-15,35,23,0.0,11.6,7,0,05:39 AM,06:11 PM,06:06 AM,06:20 PM,21,30,30,27,8,46,72,4.0,1010,35,10,256,5,Democratic_Republic_of_Congo
2018-02-16,34,22,0.0,11.6,7,2,06:27 AM,06:56 PM,06:06 AM,06:20 PM,21,31,31,28,5,19,69,2.8,1010,34,10,208,3,Democratic_Republic_of_Congo
2018-02-17,29,23,0.0,11.6,6,10,07:14 AM,07:41 PM,06:06 AM,06:20 PM,22,27,27,25,15,39,82,1.8,1011,29,10,248,10,Democratic_Republic_of_Congo
2018-02-18,31,21,0.0,10.2,6,17,08:01 AM,08:24 PM,06:06 AM,06:19 PM,21,28,28,26,7,50,78,1.8,1010,31,8,249,5,Democratic_Republic_of_Congo
2018-02-19,25,22,0.0,6.1,5,25,08:48 AM,09:10 PM,06:06 AM,06:19 PM,21,26,26,23,5,75,88,8.3,1011,25,9,159,3,Democratic_Republic_of_Congo
2018-02-20,30,22,0.0,11.6,6,32,09:37 AM,09:56 PM,06:06 AM,06:19 PM,22,27,27,24,8,55,86,11.6,1010,30,6,260,5,Democratic_Republic_of_Congo
2018-02-21,32,21,0.0,11.6,7,40,10:26 AM,10:44 PM,06:06 AM,06:19 PM,21,29,29,26,7,27,75,2.7,1009,32,9,193,4,Democratic_Republic_of_Congo
2018-02-22,29,21,0.0,11.6,6,47,11:18 AM,11:35 PM,06:06 AM,06:18 PM,21,27,27,25,13,35,81,5.1,1009,29,9,247,8,Democratic_Republic_of_Congo
2018-02-23,28,22,0.0,6.1,5,55,12:13 PM,No moonset,06:06 AM,06:18 PM,21,27,27,25,6,54,80,3.4,1010,28,9,282,3,Democratic_Republic_of_Congo
2018-02-24,34,22,0.0,11.6,7,62,01:10 PM,12:28 AM,06:06 AM,06:18 PM,21,30,30,27,7,34,69,4.2,1009,34,9,243,4,Democratic_Republic_of_Congo
