date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,24,0.0,8.8,7,97,06:01 PM,05:29 AM,06:22 AM,06:29 PM,22,28,28,26,12,61,81,7.3,1012,28,10,255,9,Gabon
2018-01-02,28,24,0.0,10.2,7,100,07:05 PM,06:33 AM,06:23 AM,06:29 PM,22,28,28,25,10,60,83,4.6,1011,28,10,212,7,Gabon
2018-01-03,29,24,0.0,11.6,7,89,08:07 PM,07:36 AM,06:23 AM,06:30 PM,22,29,29,26,10,33,79,4.4,1011,29,10,236,7,Gabon
2018-01-04,28,25,0.0,11.6,7,81,09:06 PM,08:36 AM,06:24 AM,06:30 PM,22,28,28,26,12,36,81,5.0,1012,28,9,284,9,Gabon
2018-01-05,29,24,0.0,11.6,7,74,10:01 PM,09:34 AM,06:24 AM,06:30 PM,22,29,29,26,12,26,80,3.3,1012,29,10,244,9,Gabon
2018-01-06,28,24,0.0,11.6,7,67,10:52 PM,10:26 AM,06:25 AM,06:31 PM,21,28,28,26,12,29,77,3.7,1012,28,10,277,9,Gabon
2018-01-07,29,24,0.0,11.6,7,59,11:41 PM,11:16 AM,06:25 AM,06:31 PM,22,29,29,26,11,31,76,3.3,1012,29,9,301,8,Gabon
2018-01-08,28,25,0.0,8.8,7,52,No moonrise,12:03 PM,06:26 AM,06:32 PM,21,28,28,26,10,47,76,4.8,1013,28,10,280,7,Gabon
2018-01-09,29,25,0.0,10.2,7,45,12:27 AM,12:48 PM,06:26 AM,06:32 PM,22,29,29,26,12,39,77,2.0,1013,29,10,225,9,Gabon
2018-01-10,30,25,0.0,11.6,7,38,01:12 AM,01:33 PM,06:26 AM,06:33 PM,22,29,29,26,13,20,78,4.0,1012,30,10,215,9,Gabon
2018-01-11,30,24,0.0,11.6,7,30,01:57 AM,02:17 PM,06:27 AM,06:33 PM,22,29,29,27,11,17,76,1.0,1011,30,10,229,8,Gabon
2018-01-12,29,25,0.0,11.6,7,23,02:42 AM,03:03 PM,06:27 AM,06:33 PM,22,29,29,27,13,34,79,7.1,1012,29,9,268,10,Gabon
2018-01-13,29,25,0.0,10.2,6,16,03:28 AM,03:49 PM,06:28 AM,06:34 PM,22,29,29,26,15,51,81,6.9,1012,29,9,244,11,Gabon
2018-01-14,29,24,0.0,10.2,7,9,04:15 AM,04:36 PM,06:28 AM,06:34 PM,22,29,29,26,14,43,81,2.5,1012,29,10,217,10,Gabon
2018-01-15,29,24,0.0,11.6,7,1,05:03 AM,05:24 PM,06:28 AM,06:34 PM,22,29,29,26,14,25,80,4.5,1012,29,10,223,10,Gabon
2018-01-16,29,25,0.0,8.8,7,0,05:51 AM,06:12 PM,06:29 AM,06:35 PM,23,30,30,27,12,48,79,4.6,1012,29,10,236,9,Gabon
2018-01-17,29,25,0.0,10.2,6,0,06:38 AM,07:00 PM,06:29 AM,06:35 PM,22,29,29,26,14,38,79,5.9,1011,29,10,256,9,Gabon
2018-01-18,29,25,0.0,10.2,7,6,07:26 AM,07:47 PM,06:29 AM,06:35 PM,23,29,29,26,14,46,82,7.6,1011,29,9,241,10,Gabon
2018-01-19,29,25,0.0,11.6,6,13,08:12 AM,08:33 PM,06:30 AM,06:36 PM,22,29,29,27,9,36,79,2.1,1011,29,10,249,7,Gabon
2018-01-20,29,25,0.0,10.2,7,20,08:58 AM,09:19 PM,06:30 AM,06:36 PM,22,29,29,27,12,50,75,7.8,1011,29,10,290,9,Gabon
2018-01-21,30,25,0.0,8.8,7,28,09:43 AM,10:04 PM,06:30 AM,06:36 PM,22,30,30,27,9,50,74,0.0,1011,30,10,301,7,Gabon
2018-01-22,30,25,0.0,11.6,7,35,10:28 AM,10:49 PM,06:30 AM,06:37 PM,23,30,30,27,12,39,78,3.3,1011,30,10,220,9,Gabon
2018-01-23,27,25,0.0,6.0,6,42,11:14 AM,11:36 PM,06:31 AM,06:37 PM,22,28,28,26,13,86,81,8.2,1011,27,9,212,9,Gabon
2018-01-24,30,24,0.0,11.6,7,49,12:01 PM,No moonset,06:31 AM,06:37 PM,22,29,29,26,9,43,78,0.0,1011,30,10,215,7,Gabon
2018-01-25,29,25,0.0,11.6,7,57,12:50 PM,12:24 AM,06:31 AM,06:37 PM,23,29,29,26,13,50,80,9.3,1010,29,9,251,9,Gabon
2018-01-26,29,25,0.0,11.6,7,64,01:43 PM,01:16 AM,06:31 AM,06:38 PM,22,29,29,26,12,38,78,8.2,1010,29,10,230,8,Gabon
2018-01-27,28,25,0.0,8.8,7,71,02:40 PM,02:11 AM,06:32 AM,06:38 PM,22,29,29,26,11,44,79,7.5,1009,28,10,261,7,Gabon
2018-01-28,29,25,0.0,11.6,7,78,03:40 PM,03:09 AM,06:32 AM,06:38 PM,23,30,30,27,13,40,78,2.6,1010,29,10,271,9,Gabon
2018-01-29,29,25,0.0,10.2,7,86,04:42 PM,04:10 AM,06:32 AM,06:38 PM,22,30,30,27,10,35,77,0.6,1011,29,10,268,8,Gabon
2018-01-30,30,25,0.0,11.6,7,93,05:45 PM,05:13 AM,06:32 AM,06:38 PM,23,30,30,27,11,32,79,1.2,1010,30,10,301,8,Gabon
2018-01-31,30,25,0.0,11.6,7,97,06:46 PM,06:15 AM,06:32 AM,06:38 PM,22,30,30,27,10,32,76,2.9,1009,30,10,222,8,Gabon
2018-02-01,31,26,0.0,11.6,7,88,07:44 PM,07:15 AM,06:33 AM,06:39 PM,23,31,31,28,12,29,77,0.9,1008,31,10,264,9,Gabon
2018-02-02,29,25,0.0,11.6,7,81,08:38 PM,08:11 AM,06:33 AM,06:39 PM,23,30,30,27,11,24,77,2.1,1009,29,10,255,8,Gabon
2018-02-03,31,26,0.0,11.6,7,73,09:30 PM,09:04 AM,06:33 AM,06:39 PM,24,31,31,28,10,47,79,4.2,1009,31,10,269,7,Gabon
2018-02-04,30,26,0.0,8.8,7,66,10:19 PM,09:54 AM,06:33 AM,06:39 PM,24,31,31,27,12,51,82,2.3,1008,30,10,279,9,Gabon
2018-02-05,31,26,0.0,11.6,6,58,11:06 PM,10:41 AM,06:33 AM,06:39 PM,24,32,32,28,12,43,78,2.0,1008,31,10,235,9,Gabon
2018-02-06,30,26,0.0,11.6,7,51,11:52 PM,11:28 AM,06:33 AM,06:39 PM,23,32,32,28,14,30,78,7.0,1009,30,9,224,10,Gabon
2018-02-07,31,26,0.0,11.6,7,43,No moonrise,12:13 PM,06:33 AM,06:39 PM,24,32,32,28,13,31,78,4.4,1009,31,9,243,10,Gabon
2018-02-08,31,26,0.0,11.6,7,36,12:38 AM,12:59 PM,06:33 AM,06:39 PM,24,32,32,28,14,27,78,3.3,1009,31,10,256,10,Gabon
2018-02-09,29,26,0.0,11.6,7,28,01:24 AM,01:45 PM,06:33 AM,06:39 PM,24,31,31,27,17,36,81,6.1,1010,29,9,236,12,Gabon
2018-02-10,31,26,0.0,8.8,7,20,02:11 AM,02:32 PM,06:33 AM,06:39 PM,24,31,31,28,12,41,80,1.6,1008,31,10,216,9,Gabon
2018-02-11,31,26,0.0,10.2,6,13,02:58 AM,03:20 PM,06:33 AM,06:39 PM,24,31,31,27,17,49,81,6.2,1009,31,10,206,12,Gabon
2018-02-12,31,26,0.0,11.6,7,5,03:46 AM,04:08 PM,06:33 AM,06:39 PM,24,31,31,28,14,30,79,2.2,1010,31,10,216,10,Gabon
2018-02-13,31,26,0.0,11.6,7,0,04:34 AM,04:56 PM,06:33 AM,06:39 PM,23,31,31,28,14,32,78,7.4,1010,31,9,217,10,Gabon
2018-02-14,29,26,0.0,10.2,7,0,05:22 AM,05:43 PM,06:33 AM,06:39 PM,24,31,31,27,12,37,81,4.1,1010,29,10,210,9,Gabon
2018-02-15,30,26,0.0,11.6,7,0,06:09 AM,06:30 PM,06:33 AM,06:39 PM,24,32,32,28,12,36,80,3.3,1010,30,10,242,9,Gabon
2018-02-16,29,26,0.0,11.6,7,2,06:55 AM,07:17 PM,06:33 AM,06:39 PM,23,31,31,27,15,42,79,5.0,1011,29,10,239,11,Gabon
2018-02-17,30,26,0.0,10.2,6,10,07:41 AM,08:02 PM,06:33 AM,06:39 PM,23,30,30,27,19,48,79,12.7,1011,30,9,211,12,Gabon
2018-02-18,30,25,0.0,11.6,7,17,08:26 AM,08:48 PM,06:33 AM,06:39 PM,22,29,29,27,10,32,79,2.2,1010,30,10,195,7,Gabon
2018-02-19,29,26,0.0,7.4,6,25,09:12 AM,09:35 PM,06:33 AM,06:39 PM,23,30,30,27,10,62,80,1.9,1010,29,10,206,7,Gabon
2018-02-20,31,25,0.0,10.2,7,32,09:59 AM,10:22 PM,06:33 AM,06:39 PM,23,30,30,27,11,46,76,0.7,1009,31,9,214,8,Gabon
2018-02-21,28,26,0.0,8.8,6,40,10:47 AM,11:12 PM,06:33 AM,06:39 PM,23,29,29,26,12,68,81,7.0,1009,28,10,241,8,Gabon
2018-02-22,30,25,0.0,11.6,7,47,11:38 AM,No moonset,06:32 AM,06:39 PM,23,30,30,27,12,41,79,5.4,1009,30,10,208,9,Gabon
2018-02-23,29,25,0.0,8.8,6,55,12:31 PM,12:04 AM,06:32 AM,06:38 PM,23,30,30,27,8,65,80,9.6,1009,29,9,194,6,Gabon
2018-02-24,30,26,0.0,10.2,6,62,01:28 PM,12:59 AM,06:32 AM,06:38 PM,24,31,31,27,15,56,81,9.5,1009,30,9,232,10,Gabon
2018-02-25,29,25,0.0,8.8,6,70,02:27 PM,01:57 AM,06:32 AM,06:38 PM,23,29,29,26,14,51,82,11.8,1011,29,9,221,9,Gabon
2018-02-26,29,24,0.0,7.4,6,77,03:28 PM,02:57 AM,06:32 AM,06:38 PM,23,29,29,26,22,67,82,15.1,1011,29,9,201,15,Gabon
