date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,25,17,0.0,13.2,6,97,05:52 PM,04:20 AM,05:16 AM,06:31 PM,18,21,21,21,15,48,84,10.7,1010,25,9,113,10,Madagascar
2018-01-02,26,17,0.0,13.1,6,100,06:56 PM,05:23 AM,05:17 AM,06:31 PM,17,21,22,21,15,37,79,7.7,1009,26,8,105,11,Madagascar
2018-01-03,26,17,0.0,13.1,6,89,07:55 PM,06:28 AM,05:17 AM,06:31 PM,16,21,22,21,18,21,75,1.7,1009,26,10,137,13,Madagascar
2018-01-04,22,18,0.0,13.1,5,81,08:50 PM,07:33 AM,05:18 AM,06:32 PM,17,20,20,20,24,45,82,0.4,1008,22,9,153,17,Madagascar
2018-01-05,20,19,0.0,9.5,4,74,09:39 PM,08:36 AM,05:19 AM,06:32 PM,17,19,19,19,32,76,89,14.7,1002,20,9,182,20,Madagascar
2018-01-06,20,18,0.0,9.5,4,67,10:24 PM,09:36 AM,05:19 AM,06:32 PM,18,19,19,19,34,73,92,11.7,998,20,9,294,23,Madagascar
2018-01-07,20,18,0.0,10.7,5,59,11:06 PM,10:32 AM,05:20 AM,06:32 PM,17,19,19,19,41,67,91,15.8,1003,20,9,299,28,Madagascar
2018-01-08,23,16,0.0,12.0,5,52,11:46 PM,11:26 AM,05:21 AM,06:32 PM,16,19,19,19,30,61,87,0.1,1006,23,10,296,22,Madagascar
2018-01-09,25,18,0.0,13.1,6,45,No moonrise,12:18 PM,05:21 AM,06:33 PM,17,21,21,21,20,38,83,1.8,1009,25,10,286,15,Madagascar
2018-01-10,26,16,0.0,13.1,6,38,12:25 AM,01:09 PM,05:22 AM,06:33 PM,18,21,21,21,9,42,85,6.4,1012,26,8,159,6,Madagascar
2018-01-11,23,17,0.0,12.0,5,30,01:04 AM,01:59 PM,05:23 AM,06:33 PM,16,19,20,19,19,51,83,3.7,1014,23,10,118,15,Madagascar
2018-01-12,25,15,0.0,13.1,5,23,01:44 AM,02:49 PM,05:23 AM,06:33 PM,15,19,19,19,21,32,77,0.9,1015,25,10,118,16,Madagascar
2018-01-13,25,15,0.0,13.1,5,16,02:26 AM,03:39 PM,05:24 AM,06:33 PM,15,20,21,20,19,22,75,0.0,1014,25,10,124,14,Madagascar
2018-01-14,25,16,0.0,13.1,5,9,03:10 AM,04:28 PM,05:25 AM,06:33 PM,15,20,21,20,21,27,77,0.0,1013,25,10,122,16,Madagascar
2018-01-15,24,16,0.0,13.1,5,1,03:55 AM,05:17 PM,05:25 AM,06:33 PM,15,20,20,20,27,33,78,0.0,1014,24,10,118,20,Madagascar
2018-01-16,24,15,0.0,13.1,5,0,04:43 AM,06:04 PM,05:26 AM,06:33 PM,14,19,19,19,22,22,73,0.0,1015,24,10,124,16,Madagascar
2018-01-17,25,14,0.0,13.1,5,0,05:33 AM,06:50 PM,05:26 AM,06:33 PM,12,19,19,19,19,13,69,0.0,1014,25,10,123,14,Madagascar
2018-01-18,26,13,0.0,13.1,5,6,06:22 AM,07:34 PM,05:27 AM,06:33 PM,12,20,20,20,12,14,66,0.0,1012,26,10,146,8,Madagascar
2018-01-19,26,15,0.0,13.1,5,13,07:13 AM,08:15 PM,05:28 AM,06:33 PM,14,20,21,20,16,18,72,0.0,1010,26,10,250,12,Madagascar
2018-01-20,23,17,0.0,10.7,4,20,08:04 AM,08:56 PM,05:28 AM,06:33 PM,17,20,21,20,15,60,86,2.1,1011,23,9,302,11,Madagascar
2018-01-21,22,17,0.0,13.0,5,28,08:55 AM,09:35 PM,05:29 AM,06:33 PM,18,20,21,20,12,66,90,9.7,1011,22,6,267,8,Madagascar
2018-01-22,24,17,0.0,13.0,5,35,09:46 AM,10:14 PM,05:30 AM,06:33 PM,18,21,22,21,6,49,83,3.9,1011,24,7,209,4,Madagascar
2018-01-23,24,17,0.0,13.0,6,42,10:38 AM,10:54 PM,05:30 AM,06:33 PM,17,21,22,21,5,46,81,6.8,1012,24,10,193,4,Madagascar
2018-01-24,26,17,0.0,13.0,6,49,11:32 AM,11:36 PM,05:31 AM,06:33 PM,18,21,21,21,8,49,83,7.1,1012,26,9,93,5,Madagascar
2018-01-25,25,16,0.0,13.0,6,57,12:27 PM,No moonset,05:32 AM,06:33 PM,17,21,21,21,12,31,81,5.2,1012,25,9,108,9,Madagascar
2018-01-26,24,16,0.0,13.0,5,64,01:26 PM,12:20 AM,05:32 AM,06:33 PM,17,20,21,20,15,47,84,1.1,1013,24,9,112,11,Madagascar
2018-01-27,26,17,0.0,13.0,6,71,02:27 PM,01:09 AM,05:33 AM,06:32 PM,16,21,22,21,12,32,78,1.0,1014,26,10,99,9,Madagascar
2018-01-28,27,17,0.0,13.0,6,78,03:31 PM,02:03 AM,05:33 AM,06:32 PM,18,22,22,22,7,39,80,7.7,1013,27,6,156,5,Madagascar
2018-01-29,26,18,0.0,13.0,6,86,04:33 PM,03:01 AM,05:34 AM,06:32 PM,18,22,22,22,8,40,80,3.2,1012,26,10,192,6,Madagascar
2018-01-30,26,17,0.0,13.0,5,93,05:35 PM,04:04 AM,05:35 AM,06:32 PM,18,21,22,21,8,35,82,13.3,1012,26,8,205,5,Madagascar
2018-01-31,26,18,0.0,13.0,6,97,06:32 PM,05:09 AM,05:35 AM,06:31 PM,18,21,22,21,10,36,82,13.6,1014,26,9,129,7,Madagascar
2018-02-01,26,18,0.0,13.0,5,88,07:25 PM,06:14 AM,05:36 AM,06:31 PM,18,22,22,22,12,40,81,7.3,1015,26,9,72,8,Madagascar
2018-02-02,27,15,0.0,13.0,6,81,08:14 PM,07:17 AM,05:36 AM,06:31 PM,15,22,22,22,10,25,71,2.5,1015,27,8,78,7,Madagascar
2018-02-03,29,17,0.0,12.9,6,73,08:59 PM,08:16 AM,05:37 AM,06:30 PM,17,22,23,22,8,26,76,2.6,1014,29,9,215,5,Madagascar
2018-02-04,26,18,0.0,12.9,6,66,09:41 PM,09:14 AM,05:37 AM,06:30 PM,18,22,23,22,9,29,78,11.0,1011,26,9,156,6,Madagascar
2018-02-05,25,17,0.0,12.9,6,58,10:21 PM,10:08 AM,05:38 AM,06:30 PM,18,21,21,21,7,41,83,8.3,1011,25,7,183,5,Madagascar
2018-02-06,25,16,0.0,12.9,5,51,11:01 PM,11:01 AM,05:39 AM,06:29 PM,17,20,21,20,7,36,82,0.1,1011,25,8,183,5,Madagascar
