date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,19,0.0,11.6,5,97,06:21 PM,05:30 AM,06:26 AM,06:55 PM,17,24,24,23,10,42,70,6.5,1012,28,10,288,7,Tanzania
2018-01-02,26,19,0.0,10.2,5,100,07:25 PM,06:33 AM,06:26 AM,06:55 PM,17,22,23,22,6,55,75,1.9,1012,26,10,224,5,Tanzania
2018-01-03,28,18,0.0,11.6,6,89,08:26 PM,07:37 AM,06:27 AM,06:56 PM,18,24,24,23,6,26,71,2.6,1011,28,10,157,4,Tanzania
2018-01-04,24,20,0.0,11.6,5,81,09:24 PM,08:39 AM,06:28 AM,06:56 PM,19,22,23,22,10,50,82,12.1,1012,24,9,262,6,Tanzania
2018-01-05,24,19,0.0,7.5,5,74,10:17 PM,09:38 AM,06:28 AM,06:56 PM,18,21,22,21,6,64,83,5.1,1013,24,9,174,4,Tanzania
2018-01-06,25,18,0.0,10.2,6,67,11:07 PM,10:33 AM,06:29 AM,06:57 PM,18,22,22,22,7,47,79,1.1,1012,25,9,259,5,Tanzania
2018-01-07,28,19,0.0,11.6,6,59,11:53 PM,11:25 AM,06:29 AM,06:57 PM,17,24,24,23,10,39,70,0.4,1012,28,10,299,7,Tanzania
2018-01-08,27,20,0.0,11.6,5,52,No moonrise,12:14 PM,06:30 AM,06:58 PM,17,24,24,23,8,26,72,7.3,1013,27,9,293,5,Tanzania
2018-01-09,25,20,0.0,11.6,6,45,12:37 AM,01:02 PM,06:30 AM,06:58 PM,17,22,23,22,8,28,77,3.8,1014,25,10,331,6,Tanzania
2018-01-10,30,18,0.0,11.6,6,38,01:20 AM,01:49 PM,06:31 AM,06:58 PM,16,25,25,24,6,20,66,0.0,1013,30,10,278,4,Tanzania
2018-01-11,24,19,0.0,11.6,5,30,02:03 AM,02:35 PM,06:31 AM,06:59 PM,18,21,23,21,6,50,83,12.3,1013,24,9,76,4,Tanzania
2018-01-12,24,19,0.0,11.6,6,23,02:46 AM,03:22 PM,06:31 AM,06:59 PM,18,21,22,21,5,50,85,6.0,1014,24,9,97,3,Tanzania
2018-01-13,29,17,0.0,11.6,6,16,03:31 AM,04:09 PM,06:32 AM,06:59 PM,18,23,23,23,6,33,77,3.0,1013,29,10,77,4,Tanzania
2018-01-14,29,18,0.0,11.6,5,9,04:17 AM,04:57 PM,06:32 AM,06:59 PM,18,24,24,23,5,25,76,3.2,1012,29,10,146,3,Tanzania
2018-01-15,28,18,0.0,11.6,6,1,05:04 AM,05:46 PM,06:33 AM,07:00 PM,18,24,24,23,5,19,75,5.4,1013,28,9,240,3,Tanzania
2018-01-16,28,18,0.0,11.6,6,0,05:52 AM,06:33 PM,06:33 AM,07:00 PM,17,24,24,23,7,23,71,0.1,1013,28,10,263,5,Tanzania
2018-01-17,25,19,0.0,10.3,6,0,06:40 AM,07:20 PM,06:34 AM,07:00 PM,18,22,22,22,5,54,81,10.0,1012,25,9,234,3,Tanzania
2018-01-18,28,18,0.0,10.3,5,6,07:29 AM,08:06 PM,06:34 AM,07:00 PM,17,24,24,23,6,46,72,0.4,1012,28,10,215,4,Tanzania
2018-01-19,29,18,0.0,10.3,6,13,08:16 AM,08:51 PM,06:35 AM,07:01 PM,17,24,24,23,5,33,70,0.1,1012,29,10,149,3,Tanzania
2018-01-20,28,18,0.0,11.6,6,20,09:04 AM,09:35 PM,06:35 AM,07:01 PM,18,24,24,23,5,27,75,0.0,1013,28,10,91,3,Tanzania
2018-01-21,30,17,0.0,11.6,6,28,09:51 AM,10:18 PM,06:35 AM,07:01 PM,18,25,25,24,5,23,72,1.0,1013,30,10,153,3,Tanzania
2018-01-22,28,18,0.0,11.6,6,35,10:38 AM,11:01 PM,06:36 AM,07:01 PM,18,23,23,23,6,40,75,0.9,1012,28,10,104,4,Tanzania
2018-01-23,29,18,0.0,10.3,5,42,11:26 AM,11:46 PM,06:36 AM,07:01 PM,17,24,24,23,7,38,70,0.0,1012,29,10,77,5,Tanzania
2018-01-24,30,17,0.0,11.6,6,49,12:15 PM,No moonset,06:37 AM,07:01 PM,16,25,25,24,6,14,64,0.0,1012,30,10,84,4,Tanzania
2018-01-25,32,18,0.0,11.6,6,57,01:06 PM,12:32 AM,06:37 AM,07:01 PM,16,26,26,25,6,20,60,0.0,1011,32,10,123,3,Tanzania
2018-01-26,31,18,0.0,11.6,6,64,02:01 PM,01:21 AM,06:37 AM,07:02 PM,17,26,26,24,7,28,63,0.0,1011,31,10,47,4,Tanzania
2018-01-27,31,18,0.0,11.6,6,71,02:59 PM,02:13 AM,06:38 AM,07:02 PM,17,25,25,24,8,22,67,0.1,1012,31,10,70,5,Tanzania
2018-01-28,30,18,0.0,11.6,6,78,04:00 PM,03:11 AM,06:38 AM,07:02 PM,17,25,25,24,8,17,70,1.1,1012,30,10,75,5,Tanzania
2018-01-29,31,18,0.0,11.6,6,86,05:02 PM,04:11 AM,06:38 AM,07:02 PM,17,25,25,25,9,27,66,0.0,1011,31,10,81,6,Tanzania
2018-01-30,31,18,0.0,11.6,6,93,06:04 PM,05:14 AM,06:39 AM,07:02 PM,16,25,25,24,9,24,65,0.2,1011,31,10,84,5,Tanzania
2018-01-31,28,20,0.0,11.6,6,97,07:04 PM,06:16 AM,06:39 AM,07:02 PM,18,24,24,24,7,35,72,1.0,1013,28,10,99,5,Tanzania
